"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","current_position","num_moves_made","min_moves","start_state","goal_state","condition","problem_id","problem_time","correct","exp_id"
"88748","13","text","0","88752","0.0-0.0","s491","","","","","","","","","","","","","","","","","",""
"58170","89","poldrack-text","1","147928","0.0-1.0","s491","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","58170","500","fmri_response_test","","","","","","","","","","","","","",""
"3401","71","poldrack-text","2","151833","0.0-2.0","s491","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","3401","500","fmri_response_test","","","","","","","","","","","","","",""
"1913","82","poldrack-text","3","154248","0.0-3.0","s491","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","1913","500","fmri_response_test","","","","","","","","","","","","","",""
"10934","32","poldrack-single-stim","4","165690","0.0-4.0","s491","","10934","0","instructions","<div class = centerbox><div class = center-text>Solve the Tower Tasks!<br><br>Plan ahead first and work swiftly!<br><br>We'll start with some practice.</div></div>","32","10934","","","","","","","","","","",""
"83608","32","poldrack-text","5","249299","0.0-5.0","s491","<div class = centerbox><div style = 'font-size: 50px', class = center-text>Scan will start after scanner calibration</p></div>","83608","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"983","84","poldrack-text","6","250283","0.0-6.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","983","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","7","250964","0.0-7.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"678","84","poldrack-text","8","251643","0.0-8.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"678","84","poldrack-text","9","252322","0.0-9.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","10","253003","0.0-10.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","11","253683","0.0-11.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","12","254363","0.0-12.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","13","255043","0.0-13.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"678","84","poldrack-text","14","255722","0.0-14.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"694","84","poldrack-text","15","256417","0.0-15.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","694","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"665","84","poldrack-text","16","257083","0.0-16.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","665","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"678","84","poldrack-text","17","257762","0.0-17.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","18","258441","0.0-18.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","19","259122","0.0-19.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","20","259801","0.0-20.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","21","260482","0.0-21.0","s491","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","22","261487","0.0-22.0","s491","","1000","0","fmri_buffer","","none","1000","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","23","262991","0.0-23.0","s491","","1500","500","practice_start_block","<div class = centerbox><div class = center-text>About to start practice</p></div>","none","1500","","","","","","","","","","",""
