"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1448","89","1448","500","fmri_response_test","poldrack-text","0","1451","0.0-0.0","stroop","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","673","71","673","500","fmri_response_test","poldrack-text","1","2630","0.0-1.0","stroop","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","1199","82","1199","500","fmri_response_test","poldrack-text","2","4335","0.0-2.0","stroop","","","","","","","","","","","",""
"","22727","32","22727","500","instructions","poldrack-single-stim","3","27570","0.0-3.0","stroop","","<div class = centerbox><div class = center-text>Respond to the <strong>ink color</strong> of the word!<br><br><span style = ""color:red;padding-left:30px"">WORD</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">WORD</span>: Middle<br><span style = ""color:#4FE829;"">WORD</span>: Ring<br><br>We will start with practice</div></div>","32","22727","","","","","","","",""
"","922","89","1500","0","stim","poldrack-categorize","4","30086","0.0-4.0-0.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","1","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","5","30341","0.0-4.0-1.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","647","71","1500","0","stim","poldrack-categorize","6","32352","0.0-4.0-2.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","2","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","7","32608","0.0-4.0-3.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","975","82","1500","0","stim","poldrack-categorize","8","34618","0.0-4.0-4.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","500","incongruent","green","blue","3","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","9","34875","0.0-4.0-5.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
