rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,correct,correct_response,feedback_duration,condition,stim_color,stim_word,trial_num,exp_stage,exp_id
488,71,poldrack-single-stim,45,129062,0.0-26.0-2.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,2,test,
544,82,poldrack-single-stim,46,131067,0.0-26.0-3.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,3,test,
510,71,poldrack-single-stim,47,133072,0.0-26.0-4.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,4,test,
534,82,poldrack-single-stim,48,135350,0.0-26.0-5.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,5,test,
531,89,poldrack-single-stim,49,137355,0.0-26.0-6.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82",1500,false,82,,incongruent,green,red,6,test,
637,89,poldrack-single-stim,50,139360,0.0-26.0-7.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,7,test,
828,71,poldrack-single-stim,51,141499,0.0-26.0-8.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,,incongruent,blue,red,8,test,
1118,89,poldrack-single-stim,52,143504,0.0-26.0-9.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82",1500,true,89,,incongruent,red,blue,9,test,
829,71,poldrack-single-stim,53,145781,0.0-26.0-10.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,,incongruent,blue,red,10,test,
677,89,poldrack-single-stim,54,147920,0.0-26.0-11.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,11,test,
671,82,poldrack-single-stim,55,150331,0.0-26.0-12.0,s638,,2408,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82",1500,true,82,,incongruent,green,red,12,test,
510,82,poldrack-single-stim,56,152336,0.0-26.0-13.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,13,test,
502,71,poldrack-single-stim,57,154341,0.0-26.0-14.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,14,test,
709,89,poldrack-single-stim,58,157163,0.0-26.0-15.0,s638,,2816,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,,incongruent,red,green,15,test,
833,89,poldrack-single-stim,59,159168,0.0-26.0-16.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82",1500,true,89,,incongruent,red,blue,16,test,
933,82,poldrack-single-stim,60,161172,0.0-26.0-17.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82",1500,true,82,,incongruent,green,red,17,test,
497,82,poldrack-single-stim,61,163312,0.0-26.0-18.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,18,test,
493,82,poldrack-single-stim,62,165317,0.0-26.0-19.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,19,test,
693,71,poldrack-single-stim,63,167322,0.0-26.0-20.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,,incongruent,blue,green,20,test,
573,82,poldrack-single-stim,64,169328,0.0-26.0-21.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,21,test,
653,89,poldrack-single-stim,65,171333,0.0-26.0-22.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,,incongruent,red,green,22,test,
559,82,poldrack-single-stim,66,173338,0.0-26.0-23.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,23,test,
1014,82,poldrack-single-stim,67,175343,0.0-26.0-24.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,,incongruent,green,blue,24,test,
503,82,poldrack-single-stim,68,177348,0.0-26.0-25.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,25,test,
746,71,poldrack-single-stim,69,179626,0.0-26.0-26.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,,incongruent,blue,red,26,test,
595,71,poldrack-single-stim,70,181631,0.0-26.0-27.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,,incongruent,blue,green,27,test,
513,82,poldrack-single-stim,71,183772,0.0-26.0-28.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,28,test,
523,89,poldrack-single-stim,72,185775,0.0-26.0-29.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,29,test,
555,71,poldrack-single-stim,73,187914,0.0-26.0-30.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,30,test,
449,82,poldrack-single-stim,74,189919,0.0-26.0-31.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,31,test,
583,82,poldrack-single-stim,75,191925,0.0-26.0-32.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,32,test,
754,71,poldrack-single-stim,76,193930,0.0-26.0-33.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,,incongruent,blue,red,33,test,
457,82,poldrack-single-stim,77,196209,0.0-26.0-34.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,,incongruent,green,blue,34,test,
551,89,poldrack-single-stim,78,198213,0.0-26.0-35.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82",1500,true,89,,incongruent,red,blue,35,test,
569,82,poldrack-single-stim,79,200351,0.0-26.0-36.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,,incongruent,green,blue,36,test,
592,89,poldrack-single-stim,80,202761,0.0-26.0-37.0,s638,,2408,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,37,test,
826,71,poldrack-single-stim,81,205039,0.0-26.0-38.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,,incongruent,blue,red,38,test,
497,89,poldrack-single-stim,82,207722,0.0-26.0-39.0,s638,,2680,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,39,test,
