"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","survey","item_responses","item_coding","item_text","options","response","coded_response","exp_id"
"1764","13","text","0","1766","0.0-0.0","s631","","","","","","","","","","","","","","",""
"2167","66","poldrack-text","1","4936","0.0-1.0","s631","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb</p></div>","2167","500","fmri_response_test","","","","","","","","","","",""
"881","89","poldrack-text","2","6318","0.0-2.0","s631","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","881","500","fmri_response_test","","","","","","","","","","",""
"504","71","poldrack-text","3","7323","0.0-3.0","s631","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","504","500","fmri_response_test","","","","","","","","","","",""
"682","82","poldrack-text","4","8507","0.0-4.0","s631","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","682","500","fmri_response_test","","","","","","","","","","",""
"589","77","poldrack-text","5","9598","0.0-5.0","s631","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>","589","500","fmri_response_test","","","","","","","","","","",""
"8694","32","poldrack-single-stim","6","18796","0.0-6.0","s631","","8694","0","instructions","<div class = centerbox><div class = center-text>Respond to the questions!</div></div>","32","8694","","","","","","","",""
"22422","32","poldrack-text","7","41219","0.0-7.0","s631","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","22422","0","fmri_scanner_wait","","","","","","","","","","",""
"1427","84","poldrack-text","8","42646","0.0-8.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1427","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","9","43326","0.0-9.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","10","44006","0.0-10.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","11","44686","0.0-11.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","12","45366","0.0-12.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","13","46046","0.0-13.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","14","46726","0.0-14.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","15","47406","0.0-15.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","16","48086","0.0-16.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","17","48765","0.0-17.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"681","84","poldrack-text","18","49446","0.0-18.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","19","50125","0.0-19.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","20","50805","0.0-20.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"681","84","poldrack-text","21","51486","0.0-21.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","0","fmri_trigger_wait","","","","","","","","","","",""
"678","84","poldrack-text","22","52164","0.0-22.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","","",""
"681","84","poldrack-text","23","52845","0.0-23.0","s631","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","0","fmri_trigger_wait","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","24","53848","0.0-24.0","s631","","1000","0","fmri_buffer","","none","1000","","","","","","","",""
"4096","77","poldrack-single-stim","25","64211","0.0-25.0-0.0","s631","","10360","0","","<div class = centerbox><p class=item-text>Pleasure and fun sometimes keep me from getting work done.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","66,89,71,82,77","reverse","Pleasure and fun sometimes keep me from getting work done.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","5","1",""
"9012","66","poldrack-single-stim","26","73894","0.0-25.0-1.0","s631","","9680","0","","<div class = centerbox><p class=item-text>Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.</p></div><div class=response-text><div class=response-item><span style=""font-size: 30px"">Disagree Strongly</span></div><div class=response-item><span style=""font-size: 30px"">Disagree Some</span></div><div class=response-item><span style=""font-size: 30px"">Agree Some</span></div><div class=response-item><span style=""font-size: 30px"">Agree Strongly</span></div></div>","66,89,71,82,77","8500","upps","66,89,71,82","forward","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","1","1",""
