onset	duration	response_time	correct	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	trial_type	trigger_times	worker_id	junk
3.527864	0.576	-0.04398449612403101	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	106633,107313,107993	s633	False
6.145	0.576	-0.0019844961240310112	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	109353,110033,110713	s633	False
8.761	0.576	-0.089984496124031	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	111394,112073,112753	s633	False
11.377592	0.576	0.032015503875968986	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	114113,114793,115473	s633	False
13.995456	0.576	-0.053984496124031014	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	116833,117513,118193	s633	False
16.611592	0.576	-0.0019844961240310112	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	119554,120234,120914	s633	False
19.229	0.576	-0.11098449612403101	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	122273,122954,123634	s633	False
21.845592	0.576	-0.04798449612403101	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	124993,125673,126353	s633	False
24.461	0.576	-0.04698449612403101	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	127033,127713,128393,129073	s633	False
27.077592	0.576	-0.06898449612403101	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	129752,130433,131113	s633	False
29.694	0.576	-0.14198449612403102	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	132473,133153,133833	s633	False
32.311	0.576	0.28601550387596897	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	135193,135873,136553	s633	False
34.927592	0.576	-0.02698449612403101	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	137913,138593,139273	s633	False
37.544864000000004	0.576	0.17101550387596898	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	140634,141313,141995	s633	False
40.157728000000006	0.576	0.17601550387596898	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	143353,144033,144713	s633	False
