movement_onset	onset	response_time	planning	condition	experiment_exp_id	key_press	problem_id	trial_type	trigger_times	worker_id	junk	duration
58.627	57.874	0.04578865979381442	0	PA_with_intermediate	ward_and_allport	89	1.0	poldrack-single-stim	116871	s633	False	
58.998	58.628	-0.3372113402061856	0	PA_with_intermediate	ward_and_allport	82	1.0	poldrack-single-stim		s633	False	
59.004	59.005	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	1.0	poldrack-single-stim	117551,118231,118912,119591,120271	s633	True	
65.423	62.367	2.3487886597938146	1	PA_with_intermediate	ward_and_allport	89	2.0	poldrack-single-stim	120951,121631,122312,122991,123672	s633	False	2.985
65.777	65.425	-0.35521134020618556	0	PA_with_intermediate	ward_and_allport	71	2.0	poldrack-single-stim		s633	False	
67.365	65.78	0.8777886597938144	0	PA_with_intermediate	ward_and_allport	89	2.0	poldrack-single-stim	124352,125032,125712	s633	False	
67.73	67.366	-0.3432113402061856	0	PA_with_intermediate	ward_and_allport	82	2.0	poldrack-single-stim		s633	False	
69.135	67.732	0.6957886597938144	0	PA_with_intermediate	ward_and_allport	71	2.0	poldrack-single-stim	126391,127072	s633	False	
69.559	69.137	-0.2852113402061856	0	PA_with_intermediate	ward_and_allport	82	2.0	poldrack-single-stim	127752	s633	False	
69.566	69.567	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	2.0	poldrack-single-stim	128432,129113,129792	s633	True	
75.114	71.57	2.8367886597938146	1	PA_without_intermediate	ward_and_allport	82	3.0	poldrack-single-stim	130472,131153,131833,132513,133192	s633	False	2.985
75.455	75.115	-0.36721134020618557	0	PA_without_intermediate	ward_and_allport	71	3.0	poldrack-single-stim		s633	False	
76.218	75.459	0.05178865979381442	0	PA_without_intermediate	ward_and_allport	82	3.0	poldrack-single-stim	133872,134553	s633	False	
76.617	76.219	-0.30921134020618557	0	PA_without_intermediate	ward_and_allport	89	3.0	poldrack-single-stim		s633	False	
77.932	76.62	0.6047886597938145	0	PA_without_intermediate	ward_and_allport	82	3.0	poldrack-single-stim	135232,135912	s633	False	
78.272	77.934	-0.36921134020618557	0	PA_without_intermediate	ward_and_allport	71	3.0	poldrack-single-stim	136592	s633	False	
78.277	78.278	-0.7082113402061856	0	PA_without_intermediate	ward_and_allport	-1	3.0	poldrack-single-stim	137272,137953,138633	s633	True	
85.075	80.689	3.6787886597938146	1	PA_with_intermediate	ward_and_allport	89	4.0	poldrack-single-stim	139313,139992,140673,141351,142032,142711,143392	s633	False	2.985
85.424	85.077	-0.36021134020618556	0	PA_with_intermediate	ward_and_allport	82	4.0	poldrack-single-stim		s633	False	
86.986	85.427	0.8517886597938145	0	PA_with_intermediate	ward_and_allport	89	4.0	poldrack-single-stim	144072,144752	s633	False	
87.594	86.988	-0.10121134020618558	0	PA_with_intermediate	ward_and_allport	71	4.0	poldrack-single-stim	145431	s633	False	
88.907	87.597	0.6027886597938145	0	PA_with_intermediate	ward_and_allport	82	4.0	poldrack-single-stim	146111,146793	s633	False	
89.254	88.908	-0.36121134020618556	0	PA_with_intermediate	ward_and_allport	89	4.0	poldrack-single-stim	147472	s633	False	
89.259	89.26	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	4.0	poldrack-single-stim	148151,148831,149512,150191	s633	True	
95.661	92.08	2.8737886597938145	1	PA_without_intermediate	ward_and_allport	71	5.0	poldrack-single-stim	150872,151552,152231,152912,153592	s633	False	2.985
95.925	95.662	-0.4442113402061856	0	PA_without_intermediate	ward_and_allport	82	5.0	poldrack-single-stim	154272	s633	False	
96.49	95.929	-0.1462113402061856	0	PA_without_intermediate	ward_and_allport	71	5.0	poldrack-single-stim		s633	False	
96.901	96.491	-0.29721134020618556	0	PA_without_intermediate	ward_and_allport	82	5.0	poldrack-single-stim	154952	s633	False	
98.121	96.906	0.5077886597938144	0	PA_without_intermediate	ward_and_allport	71	5.0	poldrack-single-stim	155632,156313	s633	False	
98.402	98.122	-0.42721134020618556	0	PA_without_intermediate	ward_and_allport	89	5.0	poldrack-single-stim		s633	False	
98.406	98.407	-0.7082113402061856	0	PA_without_intermediate	ward_and_allport	-1	5.0	poldrack-single-stim	156992,157672,158353,159032,159713	s633	True	
103.6	101.499	1.3937886597938145	1	PA_without_intermediate	ward_and_allport	71	6.0	poldrack-single-stim	160392,161072,161752	s633	False	2.985
103.917	103.601	-0.3912113402061856	0	PA_without_intermediate	ward_and_allport	89	6.0	poldrack-single-stim		s633	False	
104.384	103.922	-0.24521134020618557	0	PA_without_intermediate	ward_and_allport	71	6.0	poldrack-single-stim	162432	s633	False	
104.87	104.386	-0.22321134020618558	0	PA_without_intermediate	ward_and_allport	82	6.0	poldrack-single-stim	163112	s633	False	
105.214	104.873	-0.36621134020618556	0	PA_without_intermediate	ward_and_allport	71	6.0	poldrack-single-stim		s633	False	
105.523	105.216	-0.4002113402061856	0	PA_without_intermediate	ward_and_allport	89	6.0	poldrack-single-stim	163793	s633	False	
105.529	105.53	-0.7082113402061856	0	PA_without_intermediate	ward_and_allport	-1	6.0	poldrack-single-stim	164472,165153,165832	s633	True	
109.225	107.669	0.8487886597938145	1	PA_without_intermediate	ward_and_allport	71	7.0	poldrack-single-stim	166511,167191	s633	False	2.985
109.559	109.226	-0.37421134020618557	0	PA_without_intermediate	ward_and_allport	82	7.0	poldrack-single-stim	167871	s633	False	
110.612	109.564	0.3407886597938144	0	PA_without_intermediate	ward_and_allport	71	7.0	poldrack-single-stim	168552	s633	False	
