onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	worker_id	junk
561.61	0.561	0.28824803149606293	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_go	s608	False
563.867	0.561	0.038248031496062936	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_nosignal	s608	False
566.118	0.561	0.08024803149606294	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_go	s608	False
568.474	0.561	0.13824803149606293	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_nosignal	s608	False
570.73	0.561	0.37324803149606295	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_signal	s608	False
573.383	0.561	0.30824803149606295	0.0	0.0	motor_selective_stop_signal	71.0	False	71.0	False	noncrit_signal	s608	True
575.736	0.561	0.10224803149606293	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_nosignal	s608	False
578.188	0.561	0.13724803149606293	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_signal	s608	False
580.544	0.561	0.021248031496062934	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_stop_failure	s608	False
582.8	0.561	-0.021751968503937066	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_go	s608	False
585.056	0.561	-0.6307519685039371	0.0	0.0	motor_selective_stop_signal	-1.0	False	71.0	True	crit_stop_success	s608	False
587.307	0.561	-0.12675196850393705	50.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_nosignal	s608	False
589.561	0.561	0.04924803149606294	50.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_stop_failure	s608	False
591.913	0.561	-0.06575196850393707	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_nosignal	s608	False
595.268	0.561	0.19224803149606293	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_go	s608	False
597.82	0.561	0.15724803149606292	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_stop_failure	s608	False
600.572	0.561	-0.6307519685039371	0.0	0.0	motor_selective_stop_signal	-1.0	False	71.0	True		s608	True
603.328	0.561	-0.018751968503937063	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_go	s608	False
605.981	0.561	0.05824803149606293	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_stop_failure	s608	False
608.437	0.561	-0.0077519685039370645	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_nosignal	s608	False
610.689	0.561	0.007248031496062936	0.0	0.0	motor_selective_stop_signal	89.0	False	71.0	False	crit_go	s608	True
