onset	duration	response_time	correct	experiment_exp_id	stim_color	stim_word	timing_post_trial	trial_num	worker_id
3.516	1.5	0.497	1.0	stroop	red	blue	0.0	0.0	s572
5.521	1.5	0.474	1.0	stroop	red	red	0.0	1.0	s572
7.522	1.5	0.692	1.0	stroop	red	green	0.0	2.0	s572
9.799	1.5	0.466	1.0	stroop	red	green	0.0	3.0	s572
11.802	1.5	0.377	1.0	stroop	red	red	0.0	4.0	s572
13.943	1.5	0.436	1.0	stroop	blue	blue	0.0	5.0	s572
15.946	1.5	0.394	1.0	stroop	green	green	0.0	6.0	s572
18.084	1.5	0.471	1.0	stroop	green	green	0.0	7.0	s572
20.087	1.5	0.521	1.0	stroop	blue	blue	0.0	8.0	s572
22.092	1.5	0.496	1.0	stroop	red	blue	0.0	9.0	s572
24.096	1.5	0.804	1.0	stroop	blue	red	0.0	10.0	s572
26.37	1.5	0.478	1.0	stroop	red	blue	0.0	11.0	s572
28.373	1.5	0.432	0.0	stroop	green	red	0.0	12.0	s572
30.511	1.5	0.619	1.0	stroop	green	green	0.0	13.0	s572
32.921	1.5	0.43	1.0	stroop	blue	green	0.0	14.0	s572
35.194	1.5	0.44	1.0	stroop	red	red	0.0	15.0	s572
37.878	1.5	0.548	1.0	stroop	red	red	0.0	16.0	s572
39.885	1.5	0.533	1.0	stroop	blue	blue	0.0	17.0	s572
42.299	1.5	0.453	1.0	stroop	red	red	0.0	18.0	s572
44.437	1.5	0.473	1.0	stroop	green	red	0.0	19.0	s572
47.123	1.5	0.54	1.0	stroop	green	blue	0.0	20.0	s572
49.126	1.5	0.548	1.0	stroop	red	blue	0.0	21.0	s572
51.264	1.5	0.697	1.0	stroop	red	red	0.0	22.0	s572
54.219	1.5	0.501	1.0	stroop	red	blue	0.0	23.0	s572
56.222	1.5	0.501	1.0	stroop	red	green	0.0	24.0	s572
58.499	1.5	0.555	1.0	stroop	blue	red	0.0	25.0	s572
60.502	1.5	0.373	1.0	stroop	green	green	0.0	26.0	s572
62.505	1.5	0.476	1.0	stroop	green	green	0.0	27.0	s572
64.51	1.5	0.564	1.0	stroop	blue	red	0.0	28.0	s572
66.513	1.5	0.429	1.0	stroop	blue	blue	0.0	29.0	s572
68.653	1.5	0.513	1.0	stroop	green	green	0.0	30.0	s572
70.654	1.5	0.481	1.0	stroop	red	green	0.0	31.0	s572
72.657	1.5	0.402	1.0	stroop	red	red	0.0	32.0	s572
