onset	duration	response_time	condition	correct	experiment_exp_id	key_press	stim_color	stim_word	trial_type	trigger_times	worker_id	junk
142.489	0.639	0.23816666666666664	incongruent	1.0	stroop	82	green	red	incongruent	280741,281422,282101	s618	False
144.492	0.639	-0.05083333333333337	congruent	1.0	stroop	71	blue	blue	congruent	282782,283461,284142	s618	False
146.633	0.639	-0.015833333333333373	congruent	1.0	stroop	82	green	green	congruent	284821,285502,286181	s618	False
148.638	0.639	0.3451666666666666	incongruent	1.0	stroop	82	green	red	incongruent	286862,287541,288222	s618	False
150.644	0.639	-0.02983333333333337	congruent	1.0	stroop	89	red	red	congruent	288902,289582,290262	s618	False
152.649	0.639	0.12916666666666662	incongruent	1.0	stroop	82	green	blue	incongruent	290942,291622,292302	s618	False
154.655	0.639	-0.007833333333333371	congruent	1.0	stroop	82	green	green	congruent	292982,293662,294342	s618	False
156.66	0.639	0.10316666666666663	incongruent	1.0	stroop	82	green	blue	incongruent	295023,295702,296382	s618	False
158.666	0.639	-0.08783333333333337	congruent	1.0	stroop	89	red	red	congruent	297062,297742,298422	s618	False
160.671	0.639	-0.11783333333333337	incongruent	1.0	stroop	89	red	blue	incongruent	299103,299782,300463	s618	False
162.948	0.639	-0.20283333333333337	incongruent	1.0	stroop	71	blue	red	incongruent	301141,301822,302501	s618	False
164.95	0.639	0.027166666666666627	congruent	1.0	stroop	89	red	red	congruent	303182,303861,304542	s618	False
167.087	0.639	0.3261666666666666	congruent	1.0	stroop	71	blue	blue	congruent	305221,305902,306581	s618	False
169.09	0.639	-0.09183333333333338	congruent	1.0	stroop	89	red	red	congruent	307261,307941,308622	s618	False
171.231	0.639	-0.04183333333333337	congruent	1.0	stroop	82	green	green	congruent	309301,309982,310662	s618	False
173.237	0.639	0.14016666666666663	congruent	1.0	stroop	82	green	green	congruent	311342,312021,312702	s618	False
175.242	0.639	0.05516666666666663	incongruent	1.0	stroop	82	green	red	incongruent	313382,314062,314741	s618	False
177.248	0.639	-0.03583333333333337	incongruent	1.0	stroop	71	blue	red	incongruent	315422,316102,316782	s618	False
179.525	0.639	0.29016666666666663	incongruent	1.0	stroop	82	green	blue	incongruent	317462,318142,318822	s618	False
181.528	0.639	-0.030833333333333372	incongruent	1.0	stroop	89	red	green	incongruent	319502,320182,320863,321542	s618	False
183.667	0.639	-0.15683333333333338	congruent	1.0	stroop	82	green	green	congruent	322223,322902,323583	s618	False
186.08	0.639	0.2801666666666666	incongruent	1.0	stroop	89	red	blue	incongruent	324262,324943,325622	s618	False
188.355	0.639	-0.019833333333333373	congruent	1.0	stroop	82	green	green	congruent	326304,326981,327661,328342	s618	False
191.04	0.639	-0.10183333333333337	congruent	1.0	stroop	89	red	red	congruent	329021,329702,330381	s618	False
193.043	0.639	-0.15883333333333338	congruent	1.0	stroop	89	red	red	congruent	331062,331741,332422,333101	s618	False
195.454	0.639	-0.11583333333333337	congruent	1.0	stroop	89	red	red	congruent	333782,334461,335142	s618	False
197.593	0.639	0.29416666666666663	incongruent	1.0	stroop	82	green	blue	incongruent	335822,336502,337182,337862	s618	False
200.278	0.639	-0.03683333333333337	incongruent	1.0	stroop	89	red	blue	incongruent	338542,339222,339902	s618	False
202.281	0.639	0.24316666666666664	incongruent	1.0	stroop	82	green	red	incongruent	340582,341262,341942	s618	False
204.419	0.639	0.17116666666666663	congruent	1.0	stroop	82	green	green	congruent	342622,343302,343982,344662	s618	False
207.377	0.639	-0.02083333333333337	incongruent	1.0	stroop	89	red	green	incongruent	345342,346022,346702	s618	False
