onset	duration	response_time	correct	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	trial_type	trigger_times	worker_id	junk
123.545728	0.576	0.12075968992248068	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	237244,237924,238604	s628	False
126.15745600000001	0.576	0.047759689922480676	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	239964,240644,241324	s628	False
128.766728	0.576	-0.11124031007751932	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	242683,243363,244043	s628	False
131.381	0.576	-0.08524031007751932	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	245403,246084,246763	s628	False
133.988592	0.576	-0.005240310077519325	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	248123,248804,249483	s628	False
136.597	0.576	-0.12524031007751932	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	250164,250843,251524	s628	False
139.205	0.576	0.1307596899224807	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	252884,253563,254244	s628	False
141.812456	0.576	0.031759689922480676	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	255605,256283,256964	s628	False
144.422592	0.576	-0.12824031007751932	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	258324,259003,259684	s628	False
147.037	0.576	-0.03524031007751933	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	261044,261724,262404	s628	False
149.647864	0.576	-0.11024031007751932	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	263764,264444,265124	s628	False
152.255184	0.576	-0.038240310077519324	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	265804,266485,267164	s628	False
154.863864	0.576	0.12175968992248068	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	268524,269205,269884	s628	False
157.473	0.576	-0.062240310077519324	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	271243,271924,272603	s628	False
160.08586400000002	0.576	0.054759689922480675	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	273963,274644,275323	s628	False
162.693864	0.576	0.07675968992248068	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	276683,277364,278043	s628	False
165.301864	0.576	0.018759689922480675	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	279404,280083,280763	s628	False
167.909456	0.576	-0.12424031007751933	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	281444,282124,282804,283484	s628	False
169.015	0.576	-0.6462403100775194			attention_network_task				-1	poldrack-single-stim	284164,284844,285524,286204,286884,287564,288244,288924,289604,290284,290964	s628	True
181.031	0.576	0.002759689922480675	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	295045,295724,296405	s628	False
183.63872800000001	0.576	0.16975968992248067	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	297765,298444,299125	s628	False
186.247	0.576	-0.047240310077519325	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	299804,300483,301164	s628	False
188.854864	0.576	-0.027240310077519325	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	302524,303203,303884	s628	False
191.462592	0.576	0.19775968992248066	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	305244,305923,306604	s628	False
194.071456	0.576	0.06375968992248067	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	307964,308644,309324	s628	False
196.68	0.576	-0.006240310077519325	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	310684,311364,312044	s628	False
199.290864	0.576	0.0057596899224806744	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	313404,314084,314765	s628	False
201.901864	0.576	0.16975968992248067	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	315444,316124,316804,317484	s628	False
204.511864	0.576	0.11675968992248068	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	318164,318844,319524	s628	False
207.122864	0.576	-0.07924031007751932	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	320884,321565,322244	s628	False
209.730728	0.576	0.021759689922480674	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	323604,324285,324964	s628	False
212.338864	0.576	0.026759689922480675	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	326324,327005,327683	s628	False
214.946592	0.576	-0.06524031007751932	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	329043,329724,330403	s628	False
217.555	0.576	0.019759689922480676	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	331084,331763,332444,333123	s628	False
220.167864	0.576	-0.054240310077519324	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	333804,334484,335163	s628	False
222.777	0.576	-0.033240310077519326	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	336524,337204,337884	s628	False
225.384864	0.576	0.021759689922480674	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	339245,339924,340604	s628	False
227.997048	0.576	0.0007596899224806748	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	341965,342644,343324	s628	False
230.609728	0.576	-0.06324031007751932	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	344685,345364,346045	s628	False
233.219864	0.576	0.11875968992248068	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	346724,347405,348084,348765	s628	False
235.828	0.576	0.15475968992248068	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	349444,350125,350804	s628	False
238.435864	0.576	-0.004240310077519325	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	352164,352845,353524	s628	False
241.044	0.576	0.023759689922480676	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	354884,355563,356244	s628	False
243.651864	0.576	0.06975968992248067	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	357604,358284,358964	s628	False
246.259728	0.576	0.14575968992248067	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	360324,361004,361684	s628	False
248.870728	0.576	-0.009240310077519326	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	362364,363044,363724,364404	s628	False
251.485864	0.576	0.13275968992248066	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	365084,365764,366444	s628	False
254.095	0.576	0.12175968992248068	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	367805,368484,369164	s628	False
256.702864	0.576	0.08775968992248068	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	370524,371204,371884	s628	False
259.317	0.576	-0.07924031007751932	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	373244,373925,374604	s628	False
261.924728	0.576	0.09675968992248067	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	375964,376645,377324	s628	False
264.533	0.576	0.018759689922480675	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	378685,379365,380044	s628	False
267.141	0.576	-0.023240310077519324	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	380725,381405,382085	s628	False
269.748864	0.576	-0.10924031007751933	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	383445,384125,384805	s628	False
272.362728	0.576	-0.061240310077519323	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	386164,386844,387524	s628	False
274.970592	0.576	0.08575968992248068	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	388885,389564,390244	s628	False
277.579	0.576	0.020759689922480676	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	391604,392284,392965	s628	False
280.186864	0.576	-0.056240310077519326	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	394325,395004,395685	s628	False
282.794864	0.576	-0.061240310077519323	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	396364,397045,397724	s628	False
285.405	0.576	0.24975968992248068	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	399084,399764,400444	s628	False
288.016592	0.576	0.10675968992248068	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	401804,402484,403164	s628	False
290.624456	0.576	0.002759689922480675	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	404525,405205,405884	s628	False
293.232864	0.576	-0.07924031007751932	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	407245,407925,408605	s628	False
295.84486400000003	0.576	-0.11024031007751932	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	409965,410645,411325	s628	False
298.455	0.576	0.10675968992248068	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	412004,412685,413364	s628	False
301.063	0.576	0.031759689922480676	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	414725,415404,416085	s628	False
303.670864	0.576	-0.10324031007751933	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	417445,418124,418805	s628	False
306.279	0.576	-0.08124031007751932	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	420165,420844,421524	s628	False
308.886864	0.576	0.07375968992248068	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	422885,423564,424245	s628	False
311.495	0.576	0.10975968992248067	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	425605,426284,426965	s628	False
314.102592	0.576	-0.11824031007751933	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	427644,428325,429005,429685	s628	False
316.717	0.576	-0.08024031007751932	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	430365,431045,431725	s628	False
319.324184	0.576	-0.006240310077519325	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	433085,433765,434445	s628	False
321.93232	0.576	-0.05824031007751933	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	435805,436485,437165	s628	False
324.541	0.576	0.045759689922480674	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	438525,439206,439885	s628	False
327.148864	0.576	-0.10124031007751932	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	441245,441924,442605	s628	False
329.756864	0.576	-0.05824031007751933	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	443284,443965,444644,445325	s628	False
332.364864	0.576	-0.07024031007751932	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	446004,446685,447364	s628	False
334.973	0.576	0.038759689922480675	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	448724,449405,450084	s628	False
337.581864	0.576	0.04975968992248068	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	451445,452125,452804	s628	False
340.189048	0.576	0.12375968992248068	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	454166,454845,455525	s628	False
342.797864	0.576	0.12875968992248069	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	456885,457565,458245	s628	False
345.405592	0.576	0.06275968992248067	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	458925,459605,460285,460965	s628	False
