movement_onset	onset	response_time	planning	condition	experiment_exp_id	key_press	problem_id	trial_type	worker_id	junk	duration
65.906	65.907	-0.8477236842105264	0	PA_without_intermediate	ward_and_allport	-1	1.0	poldrack-single-stim	s579	True	
74.171	68.59	4.734276315789473	1	PA_with_intermediate	ward_and_allport	82	2.0	poldrack-single-stim	s579	False	2.985
74.564	74.172	-0.45472368421052634	0	PA_with_intermediate	ward_and_allport	71	2.0	poldrack-single-stim	s579	False	
75.236	74.566	-0.17672368421052637	0	PA_with_intermediate	ward_and_allport	82	2.0	poldrack-single-stim	s579	False	
75.632	75.237	-0.45172368421052633	0	PA_with_intermediate	ward_and_allport	89	2.0	poldrack-single-stim	s579	False	
76.251	75.634	-0.22972368421052636	0	PA_with_intermediate	ward_and_allport	71	2.0	poldrack-single-stim	s579	False	
76.721	76.253	-0.3787236842105264	0	PA_with_intermediate	ward_and_allport	82	2.0	poldrack-single-stim	s579	False	
76.726	76.727	-0.8477236842105264	0	PA_with_intermediate	ward_and_allport	-1	2.0	poldrack-single-stim	s579	True	
86.506	81.45	4.209276315789474	1	PA_without_intermediate	ward_and_allport	82	3.0	poldrack-single-stim	s579	False	2.985
86.91	86.507	-0.4437236842105264	0	PA_without_intermediate	ward_and_allport	89	3.0	poldrack-single-stim	s579	False	
87.628	86.913	-0.13172368421052635	0	PA_without_intermediate	ward_and_allport	82	3.0	poldrack-single-stim	s579	False	
88.175	87.629	-0.30072368421052637	0	PA_without_intermediate	ward_and_allport	71	3.0	poldrack-single-stim	s579	False	
88.769	88.179	-0.2567236842105264	0	PA_without_intermediate	ward_and_allport	82	3.0	poldrack-single-stim	s579	False	
89.232	88.77	-0.3847236842105264	0	PA_without_intermediate	ward_and_allport	89	3.0	poldrack-single-stim	s579	False	
89.235	89.236	-0.8477236842105264	0	PA_without_intermediate	ward_and_allport	-1	3.0	poldrack-single-stim	s579	True	
96.532	92.463	3.2222763157894736	1	PA_without_intermediate	ward_and_allport	71	4.0	poldrack-single-stim	s579	False	2.985
96.864	96.533	-0.5157236842105264	0	PA_without_intermediate	ward_and_allport	82	4.0	poldrack-single-stim	s579	False	
97.325	96.866	-0.38772368421052633	0	PA_without_intermediate	ward_and_allport	71	4.0	poldrack-single-stim	s579	False	
97.674	97.327	-0.4997236842105264	0	PA_without_intermediate	ward_and_allport	89	4.0	poldrack-single-stim	s579	False	
98.074	97.676	-0.44872368421052633	0	PA_without_intermediate	ward_and_allport	71	4.0	poldrack-single-stim	s579	False	
98.409	98.076	-0.5137236842105264	0	PA_without_intermediate	ward_and_allport	82	4.0	poldrack-single-stim	s579	False	
98.412	98.413	-0.8477236842105264	0	PA_without_intermediate	ward_and_allport	-1	4.0	poldrack-single-stim	s579	True	
104.302	100.687	2.768276315789474	1	PA_with_intermediate	ward_and_allport	89	5.0	poldrack-single-stim	s579	False	2.985
104.694	104.303	-0.45572368421052634	0	PA_with_intermediate	ward_and_allport	82	5.0	poldrack-single-stim	s579	False	
105.609	104.698	0.06427631578947364	0	PA_with_intermediate	ward_and_allport	89	5.0	poldrack-single-stim	s579	False	
106.014	105.61	-0.4427236842105264	0	PA_with_intermediate	ward_and_allport	71	5.0	poldrack-single-stim	s579	False	
106.798	106.016	-0.06472368421052636	0	PA_with_intermediate	ward_and_allport	82	5.0	poldrack-single-stim	s579	False	
107.459	106.8	-0.18772368421052635	0	PA_with_intermediate	ward_and_allport	71	5.0	poldrack-single-stim	s579	False	
107.463	107.464	-0.8477236842105264	0	PA_with_intermediate	ward_and_allport	-1	5.0	poldrack-single-stim	s579	True	
114.539	111.099	2.5932763157894736	1	PA_without_intermediate	ward_and_allport	82	6.0	poldrack-single-stim	s579	False	2.985
115.067	114.54	-0.3197236842105264	0	PA_without_intermediate	ward_and_allport	71	6.0	poldrack-single-stim	s579	False	
115.691	115.07	-0.22572368421052635	0	PA_without_intermediate	ward_and_allport	82	6.0	poldrack-single-stim	s579	False	
116.292	115.692	-0.24672368421052635	0	PA_without_intermediate	ward_and_allport	71	6.0	poldrack-single-stim	s579	False	
116.721	116.295	-0.42072368421052636	0	PA_without_intermediate	ward_and_allport	82	6.0	poldrack-single-stim	s579	False	
117.183	116.722	-0.3857236842105264	0	PA_without_intermediate	ward_and_allport	89	6.0	poldrack-single-stim	s579	False	
117.188	117.189	-0.8477236842105264	0	PA_without_intermediate	ward_and_allport	-1	6.0	poldrack-single-stim	s579	True	
122.652	119.6	2.2052763157894737	1	PA_without_intermediate	ward_and_allport	71	7.0	poldrack-single-stim	s579	False	2.985
123.027	122.653	-0.47272368421052635	0	PA_without_intermediate	ward_and_allport	82	7.0	poldrack-single-stim	s579	False	
123.43	123.03	-0.4467236842105264	0	PA_without_intermediate	ward_and_allport	71	7.0	poldrack-single-stim	s579	False	
123.844	123.432	-0.4347236842105264	0	PA_without_intermediate	ward_and_allport	89	7.0	poldrack-single-stim	s579	False	
124.259	123.847	-0.4347236842105264	0	PA_without_intermediate	ward_and_allport	71	7.0	poldrack-single-stim	s579	False	
124.646	124.26	-0.46072368421052634	0	PA_without_intermediate	ward_and_allport	82	7.0	poldrack-single-stim	s579	False	
124.653	124.654	-0.8477236842105264	0	PA_without_intermediate	ward_and_allport	-1	7.0	poldrack-single-stim	s579	True	
130.568	126.657	3.0642763157894737	1	PA_with_intermediate	ward_and_allport	89	8.0	poldrack-single-stim	s579	False	2.985
130.89	130.569	-0.5257236842105264	0	PA_with_intermediate	ward_and_allport	71	8.0	poldrack-single-stim	s579	False	
131.462	130.894	-0.27872368421052635	0	PA_with_intermediate	ward_and_allport	89	8.0	poldrack-single-stim	s579	False	
131.882	131.462	-0.42672368421052637	0	PA_with_intermediate	ward_and_allport	82	8.0	poldrack-single-stim	s579	False	
132.346	131.885	-0.3857236842105264	0	PA_with_intermediate	ward_and_allport	71	8.0	poldrack-single-stim	s579	False	
132.786	132.348	-0.40872368421052635	0	PA_with_intermediate	ward_and_allport	89	8.0	poldrack-single-stim	s579	False	
132.792	132.793	-0.8477236842105264	0	PA_with_intermediate	ward_and_allport	-1	8.0	poldrack-single-stim	s579	True	
138.509	134.796	2.8662763157894737	1	PA_with_intermediate	ward_and_allport	89	9.0	poldrack-single-stim	s579	False	2.985
138.934	138.511	-0.42372368421052636	0	PA_with_intermediate	ward_and_allport	82	9.0	poldrack-single-stim	s579	False	
139.441	138.938	-0.34372368421052635	0	PA_with_intermediate	ward_and_allport	89	9.0	poldrack-single-stim	s579	False	
139.844	139.441	-0.4437236842105264	0	PA_with_intermediate	ward_and_allport	71	9.0	poldrack-single-stim	s579	False	
140.396	139.848	-0.29872368421052636	0	PA_with_intermediate	ward_and_allport	82	9.0	poldrack-single-stim	s579	False	
140.766	140.396	-0.47672368421052636	0	PA_with_intermediate	ward_and_allport	89	9.0	poldrack-single-stim	s579	False	
140.771	140.772	-0.8477236842105264	0	PA_with_intermediate	ward_and_allport	-1	9.0	poldrack-single-stim	s579	True	
145.254	142.776	1.6312763157894739	1	PA_with_intermediate	ward_and_allport	71	10.0	poldrack-single-stim	s579	False	2.985
145.648	145.256	-0.45472368421052634	0	PA_with_intermediate	ward_and_allport	89	10.0	poldrack-single-stim	s579	False	
146.145	145.653	-0.35472368421052636	0	PA_with_intermediate	ward_and_allport	71	10.0	poldrack-single-stim	s579	False	
146.645	146.145	-0.34672368421052635	0	PA_with_intermediate	ward_and_allport	82	10.0	poldrack-single-stim	s579	False	
147.108	146.649	-0.38772368421052633	0	PA_with_intermediate	ward_and_allport	89	10.0	poldrack-single-stim	s579	False	
