onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	worker_id	junk
3.005	0.561	0.2032244094488189	350.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_signal	s519	False
5.257	0.561	0.0852244094488189	350.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s519	False
7.509	0.561	0.09622440944881891	350.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_stop_failure	s519	False
10.361	0.561	0.1732244094488189	300.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s519	False
12.712	0.561	0.1872244094488189	300.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_nosignal	s519	False
14.965	0.561	0.0412244094488189	300.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_stop_failure	s519	False
17.216	0.561	0.1212244094488189	250.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s519	False
19.468	0.561	0.19822440944881892	250.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_nosignal	s519	False
21.819	0.561	0.1052244094488189	250.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s519	False
24.471	0.561	-0.4427755905511811	250.0	0.0	motor_selective_stop_signal	-1.0	False	89.0	True	crit_stop_success	s519	False
27.223	0.561	0.0722244094488189	300.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s519	False
29.474	0.561	-0.4427755905511811	300.0	0.0	motor_selective_stop_signal	-1.0	False	89.0	True	crit_stop_success	s519	False
32.226	0.561	-0.4427755905511811	350.0	0.0	motor_selective_stop_signal	-1.0	False	89.0	True		s519	True
34.478	0.561	0.1222244094488189	350.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s519	False
36.829	0.561	0.016224409448818904	350.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s519	False
39.181	0.561	0.0852244094488189	350.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_nosignal	s519	False
