onset	duration	response_time	correct	experiment_exp_id	stim_color	stim_word	timing_post_trial	trial_num	worker_id
3.511	1.5	0.894	1.0	stroop	green	blue	0.0	0.0	s554
5.785	1.5	0.502	1.0	stroop	blue	red	0.0	1.0	s554
7.788	1.5	0.539	1.0	stroop	blue	blue	0.0	2.0	s554
9.789	1.5	0.643	1.0	stroop	green	green	0.0	3.0	s554
11.791	1.5	0.532	1.0	stroop	red	blue	0.0	4.0	s554
13.793	1.5	0.398	1.0	stroop	red	red	0.0	5.0	s554
15.932	1.5	0.516	1.0	stroop	green	green	0.0	6.0	s554
17.935	1.5	0.444	1.0	stroop	blue	red	0.0	7.0	s554
19.936	1.5	0.477	1.0	stroop	blue	blue	0.0	8.0	s554
22.074	1.5	0.415	1.0	stroop	green	blue	0.0	9.0	s554
24.075	1.5	0.683	1.0	stroop	blue	green	0.0	10.0	s554
26.077	1.5	0.653	1.0	stroop	green	red	0.0	11.0	s554
28.214	1.5	0.482	1.0	stroop	red	red	0.0	12.0	s554
30.352	1.5	0.557	1.0	stroop	red	red	0.0	13.0	s554
32.626	1.5	0.896	0.0	stroop	green	blue	0.0	14.0	s554
35.309	1.5	0.622	1.0	stroop	green	green	0.0	15.0	s554
37.31	1.5	0.538	1.0	stroop	green	green	0.0	16.0	s554
39.312	1.5	0.457	1.0	stroop	blue	red	0.0	17.0	s554
41.587	1.5	0.479	1.0	stroop	red	green	0.0	18.0	s554
43.589	1.5	0.564	1.0	stroop	blue	blue	0.0	19.0	s554
45.591	1.5	0.6	1.0	stroop	red	blue	0.0	20.0	s554
47.593	1.5	0.58	1.0	stroop	green	red	0.0	21.0	s554
49.595	1.5	0.71	1.0	stroop	blue	green	0.0	22.0	s554
51.597	1.5	0.703	1.0	stroop	red	green	0.0	23.0	s554
53.6	1.5	0.531	1.0	stroop	red	red	0.0	24.0	s554
55.874	1.5	0.524	1.0	stroop	blue	green	0.0	25.0	s554
57.876	1.5	0.581	1.0	stroop	red	red	0.0	26.0	s554
60.287	1.5	0.382	1.0	stroop	green	green	0.0	27.0	s554
62.289	1.5	0.563	1.0	stroop	green	green	0.0	28.0	s554
64.428	1.5	0.526	1.0	stroop	blue	blue	0.0	29.0	s554
66.43	1.5	0.397	1.0	stroop	red	red	0.0	30.0	s554
68.432	1.5	0.808	1.0	stroop	blue	green	0.0	31.0	s554
70.435	1.5	0.494	1.0	stroop	red	red	0.0	32.0	s554
72.708	1.5	1.001	1.0	stroop	blue	red	0.0	33.0	s554
