onset	duration	response_time	correct	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	trial_type	worker_id	junk
144.10932	0.576	-0.13635658914728685	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
146.714	0.576	0.20964341085271315	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
149.316864	0.576	-0.0013565891472868542	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
151.920864	0.576	0.04264341085271314	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
154.524864	0.576	-0.08135658914728686	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
157.129	0.576	-0.026356589147286856	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
159.732864	0.576	-0.015356589147286855	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
162.335048	0.576	0.09664341085271315	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
164.940864	0.576	0.21564341085271316	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
167.54359200000002	0.576	0.06564341085271315	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
168.645	0.576	-0.5513565891472868			attention_network_task				-1	poldrack-single-stim	636	True
180.650048	0.576	0.22264341085271314	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
183.254864	0.576	0.13164341085271314	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
185.857728	0.576	0.11164341085271315	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
188.461728	0.576	0.051643410852713144	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
191.066	0.576	0.0016434108527131456	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
193.67	0.576	0.04064341085271315	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
196.273728	0.576	-0.07035658914728686	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
198.878	0.576	-0.15935658914728684	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
201.482	0.576	-0.12935658914728684	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
204.085728	0.576	0.035643410852713144	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
206.69	0.576	-0.17635658914728686	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
209.293864	0.576	-0.03535658914728686	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
211.897728	0.576	-0.06535658914728686	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
214.502	0.576	-0.11135658914728686	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
217.105	0.576	-0.06035658914728685	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
219.708	0.576	-0.09235658914728685	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
222.312	0.576	0.07864341085271315	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
224.915	0.576	-0.07935658914728685	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
227.519	0.576	0.013643410852713147	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
230.122728	0.576	0.07364341085271314	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
232.725864	0.576	0.11464341085271315	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
235.329912	0.576	0.21564341085271316	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
237.934728	0.576	0.05064341085271314	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
240.539864	0.576	0.030643410852713146	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
243.143864	0.576	0.10964341085271315	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
245.749	0.576	0.14264341085271315	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
248.352	0.576	-0.17435658914728686	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
250.956	0.576	-0.12935658914728684	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
253.56	0.576	-0.007356589147286854	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
256.163864	0.576	-0.09735658914728686	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
258.766728	0.576	-0.024356589147286854	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
261.370864	0.576	0.20064341085271314	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
263.973864	0.576	0.14564341085271315	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
266.578	0.576	-0.16335658914728685	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
269.181	0.576	0.39764341085271315	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
271.78459200000003	0.576	-0.0023565891472868542	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
274.388456	0.576	0.17764341085271315	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
276.992592	0.576	-0.029356589147286855	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
279.596	0.576	-0.19235658914728684	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
282.199592	0.576	-0.039356589147286854	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
284.803	0.576	0.15964341085271314	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
287.406592	0.576	-0.031356589147286854	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
290.011	0.576	-0.05935658914728686	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
292.615	0.576	-0.15635658914728687	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
295.217592	0.576	-0.009356589147286855	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
297.822864	0.576	0.18964341085271313	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
300.426728	0.576	-0.027356589147286853	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
303.030456	0.576	0.09364341085271315	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
305.634728	0.576	-0.06935658914728686	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
308.238	0.576	-0.11135658914728686	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
310.840592	0.576	-0.05835658914728686	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
313.445	0.576	-0.20035658914728685	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
316.049	0.576	-0.14535658914728686	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
318.65245600000003	0.576	-0.21335658914728686	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
321.256592	0.576	-0.16035658914728684	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
323.861	0.576	-0.013356589147286855	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
326.463864	0.576	-0.15235658914728686	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
329.06818400000003	0.576	0.32764341085271315	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
331.672864	0.576	-0.032356589147286854	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
334.276	0.576	-0.04435658914728685	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
336.878864	0.576	0.035643410852713144	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
339.482864	0.576	-0.10235658914728686	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
342.086864	0.576	0.22164341085271314	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
344.690456	0.576	0.04064341085271315	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
