movement_onset	onset	duration	response_time	condition	correct	experiment_exp_id	key_press	trial_type	trigger_times	worker_id	junk
281.882	280.488	1.471	-0.05234969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	426879,427558,428238	s621	False
285.991	284.501	1.471	0.043650306748466275	AX	1.0	dot_pattern_expectancy	89.0	AX	430959,431638,432319	s621	False
289.956	288.512	1.471	-0.002349693251533722	AX	1.0	dot_pattern_expectancy	89.0	AX	435037,435717,436398	s621	False
294.17	292.8	1.471	-0.07634969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	439797,440478,441158	s621	False
298.845	297.488	1.471	-0.08934969325153372	BX	1.0	dot_pattern_expectancy	71.0	BX	443877,444558,445237	s621	False
303.174	301.776	1.471	-0.048349693251533724	BY	1.0	dot_pattern_expectancy	71.0	BY	448638,449318	s621	False
307.253	305.787	1.471	0.019650306748466278	AX	0.0	dot_pattern_expectancy	71.0	AX	452718,453398	s621	True
311.21	309.796	1.471	-0.03234969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	456798,457478	s621	False
315.559	313.94	1.471	0.17265030674846626	AY	1.0	dot_pattern_expectancy	71.0	AY	460879,461559,462237	s621	False
320.345	318.631	1.471	0.2676503067484663	AY	1.0	dot_pattern_expectancy	71.0	AY	465638,466317,466998	s621	False
324.832	323.464	1.471	-0.07834969325153372	BX	1.0	dot_pattern_expectancy	71.0	BX	470398,471078	s621	False
329.081	327.61	1.471	0.02465030674846628	BX	1.0	dot_pattern_expectancy	71.0	BX	474478,475158,475838	s621	False
333.793	332.301	1.471	0.04565030674846628	AY	1.0	dot_pattern_expectancy	71.0	AY	479238,479918,480598	s621	False
338.269	336.861	1.471	-0.03834969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	483318,483998,484679	s621	False
342.587	341.149	1.471	-0.008349693251533723	AX	1.0	dot_pattern_expectancy	89.0	AX	488077,488758	s621	False
346.701	345.157	1.471	0.09765030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	492157,492838,493518	s621	False
