onset	duration	response_time	correct	experiment_exp_id	stim_color	stim_word	timing_post_trial	trial_num	worker_id
3.51	1.5	0.974	1.0	stroop	green	red	0.0	0.0	s561
5.785	1.5	0.537	1.0	stroop	green	red	0.0	1.0	s561
7.787	1.5	0.504	1.0	stroop	red	red	0.0	2.0	s561
9.789	1.5	0.471	0.0	stroop	green	green	0.0	3.0	s561
11.79	1.5	0.879	1.0	stroop	red	blue	0.0	4.0	s561
13.793	1.5	0.557	1.0	stroop	red	red	0.0	5.0	s561
15.93	1.5	0.519	1.0	stroop	green	green	0.0	6.0	s561
17.933	1.5	0.54	1.0	stroop	red	blue	0.0	7.0	s561
19.936	1.5	0.481	1.0	stroop	red	red	0.0	8.0	s561
22.074	1.5	0.479	1.0	stroop	red	green	0.0	9.0	s561
24.076	1.5	0.533	1.0	stroop	blue	red	0.0	10.0	s561
26.079	1.5	0.454	1.0	stroop	green	blue	0.0	11.0	s561
28.217	1.5	0.377	1.0	stroop	red	red	0.0	12.0	s561
30.354	1.5	0.476	1.0	stroop	green	green	0.0	13.0	s561
32.628	1.5	0.385	1.0	stroop	blue	red	0.0	14.0	s561
35.31	1.5	0.387	1.0	stroop	red	red	0.0	15.0	s561
37.313	1.5	0.455	1.0	stroop	blue	blue	0.0	16.0	s561
39.315	1.5	0.52	1.0	stroop	blue	green	0.0	17.0	s561
41.589	1.5	0.472	1.0	stroop	red	green	0.0	18.0	s561
43.591	1.5	0.656	1.0	stroop	blue	blue	0.0	19.0	s561
45.594	1.5	0.574	1.0	stroop	green	red	0.0	20.0	s561
47.596	1.5	0.518	1.0	stroop	green	blue	0.0	21.0	s561
49.599	1.5	0.632	1.0	stroop	blue	green	0.0	22.0	s561
51.6	1.5	0.36	1.0	stroop	red	green	0.0	23.0	s561
53.602	1.5	0.574	1.0	stroop	blue	blue	0.0	24.0	s561
55.877	1.5	0.517	1.0	stroop	red	blue	0.0	25.0	s561
57.879	1.5	0.493	1.0	stroop	green	green	0.0	26.0	s561
60.289	1.5	0.418	1.0	stroop	blue	blue	0.0	27.0	s561
62.291	1.5	0.358	1.0	stroop	red	red	0.0	28.0	s561
64.43	1.5	0.446	1.0	stroop	blue	blue	0.0	29.0	s561
66.432	1.5	0.444	1.0	stroop	blue	blue	0.0	30.0	s561
68.434	1.5	0.468	1.0	stroop	green	blue	0.0	31.0	s561
