movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	worker_id	junk
310.198	309.342	0.795	-0.10760000000000003	100.0	True	Orange-Blue		twobytwo	89.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s649	False
312.308	311.582	0.795	-0.23760000000000003	100.0	True	Orange-Blue	stay	twobytwo	89.0	orange	6.0	cue_stay	color	stay	poldrack-single-stim	s649	False
316.266	314.232	1.595	0.2704	900.0	True	High-Low		twobytwo	71.0	orange	2.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
318.745	317.273	0.795	0.5084	100.0	True	Magnitude	switch	twobytwo	71.0	orange	2.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
320.872	319.378	1.595	-0.2696	900.0	True	High-Low	switch	twobytwo	89.0	orange	6.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
324.846	322.283	1.595	0.7994	900.0	False	Orange-Blue		twobytwo	71.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s649	True
325.932	325.189	0.795	-0.22060000000000002	100.0	True	High-Low		twobytwo	89.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
328.004	327.294	0.795	-0.25360000000000005	100.0	True	High-Low	stay	twobytwo	89.0	#1F45FC	9.0	cue_stay	magnitude	stay	poldrack-single-stim	s649	False
330.879	329.535	1.595	-0.41960000000000003	900.0	True	High-Low	stay	twobytwo	89.0	#1F45FC	8.0	cue_stay	magnitude	stay	poldrack-single-stim	s649	False
335.33	332.44	1.595	1.1264	900.0	True	Orange-Blue		twobytwo	89.0	orange	3.0	task_switch	color	switch	poldrack-single-stim	s649	False
336.103	335.345	0.795	-0.20560000000000003	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
338.97	337.45	1.595	-0.2436	900.0	False	Color		twobytwo	71.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s649	True
341.796	340.49	0.795	0.3424	100.0	True	High-Low		twobytwo	71.0	orange	3.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
343.796	342.73	0.795	0.10239999999999998	100.0	True	Magnitude	switch	twobytwo	71.0	orange	1.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
345.904	344.971	0.795	-0.030600000000000023	100.0	True	Orange-Blue		twobytwo	89.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s649	False
348.412	347.212	0.795	0.23639999999999997	100.0	False	Orange-Blue	stay	twobytwo	71.0	orange	3.0	cue_stay	color	stay	poldrack-single-stim	s649	True
351.614	349.998	1.595	-0.1476	900.0	True	Orange-Blue	stay	twobytwo	71.0	#1F45FC	3.0	cue_stay	color	stay	poldrack-single-stim	s649	False
355.427	353.448	0.795	1.0154	100.0	False	Orange-Blue	stay	twobytwo	71.0	orange	8.0	cue_stay	color	stay	poldrack-single-stim	s649	True
