onset	duration	response_time	condition	correct	experiment_exp_id	key_press	stim_color	stim_word	trial_type	trigger_times	worker_id	junk
3.525	0.639	0.418125	incongruent	1.0	stroop	71	blue	green	incongruent	91849,92530,93210	s629	False
5.802	0.639	-0.166875	incongruent	1.0	stroop	71	blue	green	incongruent	93890,94570,95250	s629	False
7.808	0.639	-0.039875	congruent	1.0	stroop	71	blue	blue	congruent	95930,96611,97290	s629	False
9.813	0.639	-0.221875	congruent	1.0	stroop	71	blue	blue	congruent	97970,98650,99330	s629	False
11.818	0.639	0.186125	incongruent	1.0	stroop	89	red	green	incongruent	100010,100690,101370	s629	False
13.825	0.639	0.072125	congruent	1.0	stroop	71	blue	blue	congruent	102050,102730,103410	s629	False
15.966	0.639	-0.063875	congruent	1.0	stroop	82	green	green	congruent	104090,104770,105450	s629	False
17.971	0.639	0.125125	incongruent	1.0	stroop	82	green	blue	incongruent	106130,106810,107490	s629	False
19.978	0.639	0.003125	congruent	1.0	stroop	82	green	green	congruent	108171,108850,109531	s629	False
22.119	0.639	0.025125	incongruent	0.0	stroop	71	red	green	incongruent	110211,110890,111570	s629	True
24.124	0.639	-0.003875	incongruent	1.0	stroop	89	red	blue	incongruent	112251,112930,113611	s629	False
26.13	0.639	0.562125	incongruent	1.0	stroop	82	green	red	incongruent	114291,114971,115651	s629	False
28.271	0.639	-0.115875	congruent	1.0	stroop	82	green	green	congruent	116331,117012,117691	s629	False
30.412	0.639	0.053125	congruent	1.0	stroop	71	blue	blue	congruent	118370,119050,119730,120410	s629	False
32.687	0.639	0.166125	incongruent	1.0	stroop	82	green	blue	incongruent	121090,121770,122449,123129	s629	False
35.372	0.639	0.254125	congruent	1.0	stroop	71	blue	blue	congruent	123810,124490	s629	False
37.377	0.639	-0.143875	congruent	1.0	stroop	71	blue	blue	congruent	125170,125849,126529	s629	False
39.382	0.639	-0.097875	incongruent	1.0	stroop	89	red	green	incongruent	127210,127890,128570,129250	s629	False
41.66	0.639	0.025125	incongruent	1.0	stroop	71	blue	green	incongruent	129930,130610,131290	s629	False
43.665	0.639	0.318125	congruent	1.0	stroop	71	blue	blue	congruent	131971,132650,133331	s629	False
45.67	0.639	0.129125	incongruent	1.0	stroop	82	green	red	incongruent	134011,134691,135371	s629	False
47.673	0.639	-0.036875	incongruent	1.0	stroop	71	blue	green	incongruent	136051,136731,137412	s629	False
49.678	0.639	-0.034875	incongruent	1.0	stroop	71	blue	red	incongruent	138091,138771	s629	False
51.684	0.639	-0.286875	incongruent	1.0	stroop	71	blue	red	incongruent	139451,140131,140810	s629	False
53.689	0.639	-0.178875	congruent	1.0	stroop	89	red	red	congruent	141490,142170,142851,143531	s629	False
55.967	0.639	-0.166875	incongruent	1.0	stroop	89	red	green	incongruent	144211,144890,145570	s629	False
57.973	0.639	-0.200875	congruent	1.0	stroop	89	red	red	congruent	146249,146929,147611	s629	False
60.386	0.639	-0.182875	congruent	1.0	stroop	71	blue	blue	congruent	148290,148970,149650	s629	False
62.393	0.639	0.028125	congruent	1.0	stroop	89	red	red	congruent	150330,151010,151690	s629	False
64.534	0.639	0.055125	congruent	1.0	stroop	71	blue	blue	congruent	152371,153050,153730	s629	False
66.539	0.639	-0.142875	congruent	1.0	stroop	71	blue	blue	congruent	154410,155091,155770	s629	False
68.545	0.639	-0.167875	incongruent	1.0	stroop	89	red	blue	incongruent	156451,157131,157811	s629	False
70.55	0.639	-0.077875	congruent	1.0	stroop	82	green	green	congruent	158490,159170,159850,160531	s629	False
72.823	0.639	0.117125	incongruent	1.0	stroop	89	red	blue	incongruent	161211,161891,162571	s629	False
74.829	0.639	0.017125	incongruent	1.0	stroop	71	blue	green	incongruent	163251,163931,164611	s629	False
77.106	0.639	0.124125	incongruent	1.0	stroop	82	green	blue	incongruent	165291,165971,166651	s629	False
79.383	0.639	-0.075875	incongruent	0.0	stroop	71	red	green	incongruent	167331,168012,168691	s629	True
81.39	0.639	-0.032875	congruent	1.0	stroop	82	green	green	congruent	169371,170051,170730,171410	s629	False
84.075	0.639	0.067125	incongruent	1.0	stroop	82	green	blue	incongruent	172090,172769,173450	s629	False
86.08	0.639	-0.091875	congruent	1.0	stroop	89	red	red	congruent	174130,174810,175490	s629	False
88.359	0.639	0.139125	congruent	1.0	stroop	82	green	green	congruent	176171,176850,177530	s629	False
90.365	0.639	-0.081875	congruent	1.0	stroop	89	red	red	congruent	178211,178891,179570	s629	False
92.37	0.639	0.357125	incongruent	1.0	stroop	89	red	green	incongruent	180251,180931,181610,182291	s629	False
94.648	0.639	-0.235875	congruent	1.0	stroop	89	red	red	congruent	182971,183651,184331	s629	False
96.789	0.639	-0.089875	congruent	1.0	stroop	71	blue	blue	congruent	185011,185691,186371,187051	s629	False
99.339	0.639	0.100125	incongruent	1.0	stroop	71	blue	red	incongruent	187731,188412,189091	s629	False
101.752	0.639	-0.042875	incongruent	1.0	stroop	82	green	red	incongruent	189771,190450,191130	s629	False
103.758	0.639	-0.058875	incongruent	1.0	stroop	82	green	red	incongruent	191811,192490,193171	s629	False
105.763	0.639	-0.162875	incongruent	1.0	stroop	71	blue	red	incongruent	193851,194530,195211	s629	False
107.768	0.639	-0.260875	congruent	1.0	stroop	89	red	red	congruent	195891,196571,197249,197930	s629	False
110.319	0.639	-0.197875	congruent	1.0	stroop	89	red	red	congruent	198610,199290,199970	s629	False
112.46	0.639	-0.082875	congruent	1.0	stroop	82	green	green	congruent	200651,201330,202010	s629	False
114.465	0.639	-0.188875	congruent	1.0	stroop	82	green	green	congruent	202691,203370,204050	s629	False
116.471	0.639	-0.048875	congruent	1.0	stroop	82	green	green	congruent	204730,205410,206090	s629	False
118.748	0.639	0.042125	incongruent	0.0	stroop	71	red	green	incongruent	206771,207451,208131	s629	True
120.753	0.639	0.312125	congruent	1.0	stroop	82	green	green	congruent	208812,209491,210171	s629	False
122.759	0.639	0.028125	incongruent	1.0	stroop	89	red	blue	incongruent	210851,211531,212210	s629	False
124.901	0.639	0.404125	incongruent	1.0	stroop	82	green	red	incongruent	212891,213570,214251	s629	False
126.906	0.639	-0.143875	incongruent	1.0	stroop	82	green	red	incongruent	214931,215611,216291	s629	False
129.184	0.639	-0.073875	congruent	1.0	stroop	82	green	green	congruent	216971,217651,218331,219012	s629	False
131.325	0.639	-0.195875	incongruent	1.0	stroop	71	blue	green	incongruent	219691,220371,221051	s629	False
133.738	0.639	-0.185875	congruent	1.0	stroop	89	red	red	congruent	221730,222411,223090	s629	False
135.743	0.639	0.275125	congruent	0.0	stroop	82	blue	blue	congruent	223771,224450,225130	s629	True
137.748	0.639	-0.071875	incongruent	1.0	stroop	89	red	blue	incongruent	225810,226490,227170,227850	s629	False
140.57	0.639	-0.041875	incongruent	1.0	stroop	82	green	blue	incongruent	228530,229210,229890	s629	False
142.574	0.639	0.029125	incongruent	1.0	stroop	82	green	blue	incongruent	230571,231250,231931	s629	False
144.581	0.639	-0.204875	congruent	1.0	stroop	71	blue	blue	congruent	232610,233291,233970	s629	False
146.722	0.639	-0.198875	congruent	1.0	stroop	89	red	red	congruent	234650,235331,236013	s629	False
148.727	0.639	-0.234875	incongruent	1.0	stroop	71	blue	red	incongruent	236691,237371,238051	s629	False
150.733	0.639	-0.053875	congruent	1.0	stroop	71	blue	blue	congruent	238730,239412,240091	s629	False
152.738	0.639	0.542125	incongruent	1.0	stroop	82	green	red	incongruent	240771,241451,242131	s629	False
154.743	0.639	0.120125	congruent	1.0	stroop	71	blue	blue	congruent	242811,243491,244171	s629	False
156.749	0.639	0.018125	incongruent	1.0	stroop	71	blue	red	incongruent	244851,245531,246210	s629	False
158.754	0.639	0.015125	congruent	0.0	stroop	89	green	green	congruent	246891,247571,248251	s629	True
160.759	0.639	0.235125	incongruent	1.0	stroop	71	blue	green	incongruent	248931,249611,250290	s629	False
163.036	0.639	0.004125	incongruent	1.0	stroop	71	blue	green	incongruent	250971,251650,252330	s629	False
165.043	0.639	-0.105875	congruent	1.0	stroop	89	red	red	congruent	253011,253691,254370	s629	False
167.184	0.639	-0.212875	congruent	1.0	stroop	82	green	green	congruent	255051,255730,256411	s629	False
169.191	0.639	0.039125	congruent	1.0	stroop	89	red	red	congruent	257091,257770,258451	s629	False
171.332	0.639	-0.103875	congruent	1.0	stroop	89	red	red	congruent	259130,259811,260491	s629	False
173.337	0.639	0.138125	congruent	1.0	stroop	82	green	green	congruent	261171,261850,262530	s629	False
175.342	0.639	0.084125	incongruent	0.0	stroop	71	green	blue	incongruent	263211,263891,264571	s629	True
177.348	0.639	0.321125	incongruent	1.0	stroop	71	blue	red	incongruent	265251,265931,266611,267291	s629	False
179.625	0.639	0.037125	incongruent	1.0	stroop	89	red	blue	incongruent	267971,268651,269330	s629	False
181.631	0.639	0.502125	incongruent	1.0	stroop	89	red	green	incongruent	270012,270691,271371	s629	False
183.772	0.639	-0.155875	congruent	1.0	stroop	89	red	red	congruent	272052,272731,273411	s629	False
186.185	0.639	-0.046875	incongruent	0.0	stroop	89	blue	red	incongruent	274091,274771,275451,276130	s629	True
188.463	0.639	-0.203875	congruent	1.0	stroop	89	red	red	congruent	276811,277491,278170,278850	s629	False
191.145	0.639	-0.168875	congruent	1.0	stroop	82	green	green	congruent	279530,280212,280891	s629	False
193.15	0.639	-0.073875	congruent	1.0	stroop	71	blue	blue	congruent	281570,282251,282931	s629	False
195.563	0.639	0.108125	congruent	1.0	stroop	82	green	green	congruent	283611,284291,284971	s629	False
197.705	0.639	0.149125	incongruent	1.0	stroop	89	red	blue	incongruent	285651,286330,287011,287691	s629	False
200.39	0.639	0.000125	incongruent	0.0	stroop	71	green	blue	incongruent	288371,289050,289731	s629	True
202.397	0.639	-0.066875	incongruent	1.0	stroop	89	red	blue	incongruent	290412,291091,291771	s629	False
204.539	0.639	-0.100875	congruent	1.0	stroop	89	red	red	congruent	292450,293131,293811,294490,295171	s629	False
207.496	0.639	-0.118875	incongruent	1.0	stroop	82	green	red	incongruent	295851,296531,297212	s629	False
