	onset	duration	response_time	trial_type	correct	experiment_exp_id	key_press	stim_color	stim_duration	stim_word	trial_num	worker_id
43	5.525	0.0001	0.838	incongruent	1.0	stroop	71	blue	1500.0	red	0.0	s581
44	7.527	0.0001	0.732	congruent	1.0	stroop	71	blue	1500.0	blue	1.0	s581
45	9.806	0.0001	0.613	incongruent	1.0	stroop	89	red	1500.0	green	2.0	s581
46	11.808	0.0001	0.892	incongruent	1.0	stroop	82	green	1500.0	blue	3.0	s581
47	13.947	0.0001	0.66	congruent	1.0	stroop	82	green	1500.0	green	4.0	s581
48	15.952	0.0001	0.573	congruent	1.0	stroop	82	green	1500.0	green	5.0	s581
49	18.091	0.0001	0.555	congruent	1.0	stroop	82	green	1500.0	green	6.0	s581
50	20.096	0.0001	0.548	congruent	1.0	stroop	71	blue	1500.0	blue	7.0	s581
51	22.102	0.0001	0.608	congruent	1.0	stroop	89	red	1500.0	red	8.0	s581
52	24.107	0.0001	0.671	incongruent	1.0	stroop	89	red	1500.0	green	9.0	s581
53	26.385	0.0001	0.602	incongruent	1.0	stroop	89	red	1500.0	blue	10.0	s581
54	28.39	0.0001	0.823	incongruent	1.0	stroop	82	green	1500.0	red	11.0	s581
55	30.529	0.0001	0.454	incongruent	1.0	stroop	71	blue	1500.0	red	12.0	s581
56	32.94	0.0001	0.488	congruent	1.0	stroop	71	blue	1500.0	blue	13.0	s581
57	35.217	0.0001	0.705	incongruent	1.0	stroop	82	green	1500.0	red	14.0	s581
58	37.9	0.0001	0.646	congruent	1.0	stroop	82	green	1500.0	green	15.0	s581
59	39.905	0.0001	0.608	congruent	0.0	stroop	71	red	1500.0	red	16.0	s581
60	42.316	0.0001	0.748	congruent	1.0	stroop	82	green	1500.0	green	17.0	s581
61	44.455	0.0001	0.591	congruent	1.0	stroop	82	green	1500.0	green	18.0	s581
62	47.137	0.0001	0.507	incongruent	1.0	stroop	82	green	1500.0	blue	19.0	s581
63	49.143	0.0001	0.652	incongruent	1.0	stroop	71	blue	1500.0	green	20.0	s581
64	51.281	0.0001	0.549	incongruent	1.0	stroop	89	red	1500.0	green	21.0	s581
65	54.236	0.0001	0.695	congruent	1.0	stroop	89	red	1500.0	red	22.0	s581
66	56.242	0.0001	0.502	incongruent	1.0	stroop	89	red	1500.0	blue	23.0	s581
67	58.519	0.0001	0.746	incongruent	0.0	stroop	71	green	1500.0	blue	24.0	s581
68	60.521	0.0001	0.65	incongruent	1.0	stroop	89	red	1500.0	green	25.0	s581
69	62.524	0.0001	0.618	congruent	1.0	stroop	82	green	1500.0	green	26.0	s581
70	64.53	0.0001	0.657	congruent	1.0	stroop	71	blue	1500.0	blue	27.0	s581
71	66.535	0.0001	1.045	incongruent	1.0	stroop	82	green	1500.0	red	28.0	s581
72	68.674	0.0001	0.899	congruent	1.0	stroop	82	green	1500.0	green	29.0	s581
73	70.679	0.0001	0.693	congruent	1.0	stroop	89	red	1500.0	red	30.0	s581
74	72.684	0.0001	0.642	incongruent	1.0	stroop	89	red	1500.0	blue	31.0	s581
