movement_onset	onset	duration	response_time	condition	correct	experiment_exp_id	key_press	trial_type	worker_id	junk
5.844	4.506	1.47	-0.05085889570552149	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
10.627	9.19	1.47	0.04814110429447851	AY	1.0	dot_pattern_expectancy	71.0	AY	s634	False
15.538	14.009	1.47	0.1401411042944785	AY	1.0	dot_pattern_expectancy	71.0	AY	s634	False
19.444	18.15	1.47	-0.09485889570552149	BX	1.0	dot_pattern_expectancy	71.0	BX	s634	False
23.845	22.561	1.47	-0.1048588957055215	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
29.875	28.604	1.47	-0.1178588957055215	BX	1.0	dot_pattern_expectancy	71.0	BX	s634	False
34.005	32.744	1.47	-0.1278588957055215	BY	1.0	dot_pattern_expectancy	71.0	BY	s634	False
38.067	36.747	1.47	-0.06885889570552149	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
42.125	40.751	1.47	-0.01485889570552149	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
46.329	45.026	1.47	-0.08585889570552149	BY	1.0	dot_pattern_expectancy	71.0	BY	s634	False
51.501	49.982	1.47	0.1301411042944785	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
55.702	54.394	1.47	-0.08085889570552149	BX	1.0	dot_pattern_expectancy	71.0	BX	s634	False
59.908	58.533	1.47	-0.01385889570552149	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
63.852	62.536	1.47	-0.0728588957055215	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
68.188	66.676	1.47	0.12314110429447851	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
72.147	70.816	1.47	-0.05785889570552149	BY	1.0	dot_pattern_expectancy	71.0	BY	s634	False
77.197	75.772	1.47	0.03614110429447851	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
81.045	79.775	1.47	-0.1188588957055215	BY	1.0	dot_pattern_expectancy	71.0	BY	s634	False
85.148	83.778	1.47	-0.01885889570552149	AX	0.0	dot_pattern_expectancy	71.0	AX	s634	True
89.273	87.918	1.47	-0.03385889570552149	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
93.488	92.058	1.47	0.04114110429447851	AY	0.0	dot_pattern_expectancy	89.0	AY	s634	True
97.533	96.197	1.47	-0.05285889570552149	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
101.676	100.202	1.47	0.0851411042944785	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
105.661	104.205	1.47	0.0671411042944785	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
109.853	108.481	1.47	-0.01685889570552149	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
114.441	113.165	1.47	-0.11285889570552149	BX	1.0	dot_pattern_expectancy	71.0	BX	s634	False
118.805	117.44	1.47	-0.02385889570552149	BY	1.0	dot_pattern_expectancy	71.0	BY	s634	False
122.751	121.444	1.47	-0.08185889570552149	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
126.83	125.448	1.47	-0.0068588957055214905	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
131.179	129.588	1.47	0.2021411042944785	AY	1.0	dot_pattern_expectancy	71.0	AY	s634	False
135.777	134.271	1.47	0.1171411042944785	AY	1.0	dot_pattern_expectancy	71.0	AY	s634	False
140.392	139.09	1.47	-0.0868588957055215	BX	1.0	dot_pattern_expectancy	71.0	BX	s634	False
144.701	143.229	1.47	0.0831411042944785	BX	1.0	dot_pattern_expectancy	71.0	BX	s634	False
149.462	147.914	1.47	0.1591411042944785	AY	0.0	dot_pattern_expectancy	89.0	AY	s634	True
154.071	152.462	1.47	0.2201411042944785	AX	0.0	dot_pattern_expectancy	71.0	AX	s634	True
158.25	156.737	1.47	0.12414110429447851	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
162.053	160.741	1.47	-0.07685889570552148	AX	1.0	dot_pattern_expectancy	89.0	AX	s634	False
