movement_onset	onset	duration	response_time	condition	correct	experiment_exp_id	key_press	trial_type	worker_id	junk
546.195	545.196	1.47	-0.3645889570552147			dot_pattern_expectancy	-1.0		s641	True
560.574	559.209	1.47	0.0014110429447852654	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
564.953	563.488	1.47	0.10141104294478527	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
568.945	567.495	1.47	0.08641104294478527	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
573.968	572.454	1.47	0.15041104294478527	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
578.088	576.733	1.47	-0.008588957055214735	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
582.638	581.147	1.47	0.12741104294478525	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
586.853	585.562	1.47	-0.07258895705521473	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
592.099	590.656	1.47	0.07941104294478527	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
595.94	594.661	1.47	-0.08458895705521473	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
599.923	598.669	1.47	-0.10958895705521474	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
604.008	602.677	1.47	-0.03258895705521474	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
608.037	606.82	1.47	-0.14658895705521474	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	False
612.691	611.37	1.47	-0.04258895705521473	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
616.737	615.647	1.47	-0.27358895705521474	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	False
622.252	620.742	1.47	0.14641104294478527	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
626.297	624.749	1.47	0.18441104294478528	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
630.944	629.709	1.47	-0.12858895705521473	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
635.376	633.853	1.47	0.15941104294478525	AX	0.0	dot_pattern_expectancy	71.0	AX	s641	True
639.422	637.997	1.47	0.06141104294478526	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
643.246	642.003	1.47	-0.12058895705521473	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
647.414	646.147	1.47	-0.09658895705521474	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
651.785	650.153	1.47	0.26841104294478524	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
656.193	654.841	1.47	-0.011588957055214734	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
660.239	658.848	1.47	0.027411042944785264	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
664.689	663.263	1.47	0.062411042944785264	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
668.856	667.404	1.47	0.08841104294478526	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
672.847	671.546	1.47	-0.06258895705521474	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
677.044	675.69	1.47	-0.009588957055214734	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
680.963	679.697	1.47	-0.09758895705521474	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
685.822	684.248	1.47	0.21041104294478527	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
690.549	688.935	1.47	0.2504110429447853	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
694.078	693.079	1.47	-0.3645889570552147	AY	0.0	dot_pattern_expectancy	-1.0	AY	s641	True
698.92	697.358	1.47	0.19841104294478526	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
702.67	701.364	1.47	-0.05758895705521473	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	False
707.134	705.779	1.47	-0.008588957055214735	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
711.692	710.33	1.47	-0.0015889570552147347	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
715.827	714.474	1.47	-0.010588957055214735	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
720.034	718.754	1.47	-0.08358895705521474	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
724.093	722.896	1.47	-0.16658895705521473	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	False
728.683	727.176	1.47	0.14341104294478527	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
