	onset	duration	response_time	trial_type	correct	experiment_exp_id	key_press	stim_color	stim_duration	stim_word	trial_num	worker_id
117	165.372	0.0001	0.718	congruent	1.0	stroop	71	blue	1500.0	blue	74.0	s130
118	167.373	0.0001	0.693	congruent	1.0	stroop	82	green	1500.0	green	75.0	s130
119	169.375	0.0001	1.223	incongruent	1.0	stroop	71	blue	1500.0	green	76.0	s130
120	171.513	0.0001	0.618	congruent	1.0	stroop	89	red	1500.0	red	77.0	s130
121	173.516	0.0001	0.497	congruent	1.0	stroop	89	red	1500.0	red	78.0	s130
122	175.518	0.0001	0.57	incongruent	1.0	stroop	89	red	1500.0	blue	79.0	s130
123	177.656	0.0001	0.47	congruent	1.0	stroop	89	red	1500.0	red	80.0	s130
124	179.658	0.0001	0.844	incongruent	1.0	stroop	71	blue	1500.0	red	81.0	s130
125	181.66	0.0001	1.041	incongruent	1.0	stroop	82	green	1500.0	red	82.0	s130
126	183.799	0.0001	0.545	incongruent	1.0	stroop	82	green	1500.0	blue	83.0	s130
127	185.937	0.0001	0.965	congruent	1.0	stroop	71	blue	1500.0	blue	84.0	s130
128	188.211	0.0001	0.682	congruent	1.0	stroop	82	green	1500.0	green	85.0	s130
129	190.893	0.0001	0.526	incongruent	1.0	stroop	89	red	1500.0	green	86.0	s130
130	192.895	0.0001	-0.001	congruent	0.0	stroop	-1	blue	1500.0	blue	87.0	s130
131	194.897	0.0001	0.702	congruent	1.0	stroop	82	green	1500.0	green	88.0	s130
132	197.172	0.0001	1.022	incongruent	1.0	stroop	82	green	1500.0	red	89.0	s130
133	199.174	0.0001	0.938	incongruent	1.0	stroop	82	green	1500.0	red	90.0	s130
134	201.176	0.0001	0.633	congruent	1.0	stroop	89	red	1500.0	red	91.0	s130
135	203.178	0.0001	0.809	incongruent	1.0	stroop	82	green	1500.0	red	92.0	s130
136	205.179	0.0001	0.66	incongruent	1.0	stroop	71	blue	1500.0	green	93.0	s130
137	207.181	0.0001	0.638	incongruent	1.0	stroop	82	green	1500.0	blue	94.0	s130
138	209.184	0.0001	0.591	incongruent	1.0	stroop	89	red	1500.0	green	95.0	s130
