onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	worker_id	junk
3.011	0.561	-0.043283464566929185	350.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s619	False
5.263	0.561	0.009716535433070817	350.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_nosignal	s619	False
7.517	0.561	0.013716535433070817	350.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_signal	s619	False
9.87	0.561	-0.10228346456692919	350.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_stop_failure	s619	False
12.424	0.561	0.2597165354330708	300.0	0.0	motor_selective_stop_signal	89.0	False	89.0	False	noncrit_nosignal	s619	True
15.378	0.561	0.035716535433070816	300.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_stop_failure	s619	False
17.632	0.561	0.10671653543307082	250.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s619	False
19.987	0.561	-0.04128346456692918	250.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s619	False
22.54	0.561	0.2827165354330708	250.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_signal	s619	False
24.795	0.561	0.8027165354330709	250.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_signal	s619	False
27.148	0.561	0.24871653543307082	250.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_signal	s619	False
29.703	0.561	-0.6262834645669292	250.0	0.0	motor_selective_stop_signal	-1.0	False	89.0	True		s619	True
32.155	0.561	-0.026283464566929184	250.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s619	False
34.511	0.561	0.18771653543307082	250.0	0.0	motor_selective_stop_signal	89.0	False	89.0	False	noncrit_nosignal	s619	True
37.165	0.561	-0.08828346456692918	250.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s619	False
39.717	0.561	-0.1352834645669292	250.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_stop_failure	s619	False
42.472	0.561	0.18871653543307082	200.0	0.0	motor_selective_stop_signal	71.0	False	89.0	False	crit_stop_failure	s619	True
45.026	0.561	0.2327165354330708	150.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_signal	s619	False
47.477	0.561	-0.030283464566929184	150.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s619	False
50.232	0.561	0.029716535433070818	150.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s619	False
52.788	0.561	0.1497165354330708	150.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_stop_failure	s619	False
55.142	0.561	0.05371653543307082	100.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s619	False
57.395	0.561	0.010716535433070816	100.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s619	False
60.048	0.561	-0.6262834645669292	100.0	0.0	motor_selective_stop_signal	-1.0	False	89.0	True	crit_stop_success	s619	False
62.304	0.561	-0.03328346456692918	150.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_nosignal	s619	False
64.66	0.561	-0.15828346456692918	150.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_nosignal	s619	False
66.912	0.561	0.22071653543307082	150.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_nosignal	s619	False
69.264	0.561	-0.01628346456692918	150.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s619	False
71.62	0.561	-0.015283464566929182	150.0	1.0	motor_selective_stop_signal	89.0	False	89.0	False	crit_go	s619	False
73.873	0.561	0.19271653543307082	150.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_signal	s619	False
76.725	0.561	-0.03928346456692918	150.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_nosignal	s619	False
79.082	0.561	-0.15028346456692918	150.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_nosignal	s619	False
81.333	0.561	0.11071653543307082	150.0	1.0	motor_selective_stop_signal	71.0	False	89.0	False	noncrit_nosignal	s619	False
