inverse_delay	subjective_value	onset	duration	response_time	choice	experiment_exp_id	key_press	large_amount	later_delay	small_amount	trial_type	worker_id	junk
0.008333333333333333	2.819672131147541	185.096	1.23	-0.20767499999999994	larger_later	discount_fixed	89	43.0	120.0	20.0	larger_later	s641	False
0.016666666666666666	9.23076923076923	191.094	1.23	-0.27767499999999995	larger_later	discount_fixed	89	75.0	60.0	20.0	larger_later	s641	False
0.005681818181818182	1.5525114155251143	196.685	1.23	0.15832500000000005	smaller_sooner	discount_fixed	71	34.0	176.0	20.0	smaller_sooner	s641	False
0.02631578947368421	4.353741496598639	201.254	1.23	0.19232500000000005	smaller_sooner	discount_fixed	71	24.0	38.0	20.0	smaller_sooner	s641	False
0.013513513513513514	8.378033205619413	206.369	1.23	-0.19867499999999996	larger_later	discount_fixed	89	82.0	74.0	20.0	larger_later	s641	False
0.018867924528301886	7.952013710368467	212.027	1.23	0.06732500000000005	larger_later	discount_fixed	89	58.0	53.0	20.0	larger_later	s641	False
0.043478260869565216	14.472361809045227	216.597	1.23	0.20732500000000004	larger_later	discount_fixed	89	54.0	23.0	20.0	larger_later	s641	False
0.01818181818181818	5.443983402489627	221.37	1.23	0.42632500000000007	larger_later	discount_fixed	89	41.0	55.0	20.0	larger_later	s641	False
0.007042253521126761	4.3107067879636105	226.416	1.23	-0.08567499999999996	larger_later	discount_fixed	89	77.0	142.0	20.0	larger_later	s641	False
0.009259259259259259	1.8083182640144666	231.258	1.23	-0.06267499999999995	smaller_sooner	discount_fixed	71	25.0	108.0	20.0	smaller_sooner	s641	False
0.006134969325153374	1.6211237334970832	236.44	1.23	-0.21167499999999995	larger_later	discount_fixed	89	33.0	163.0	20.0	larger_later	s641	False
0.013333333333333334	2.9274447949526814	241.486	1.23	-0.08467499999999996	smaller_sooner	discount_fixed	71	29.0	75.0	20.0	smaller_sooner	s641	False
0.006369426751592357	2.290804963410754	246.464	1.23	0.17232500000000003	larger_later	discount_fixed	89	45.0	157.0	20.0	larger_later	s641	False
0.013513513513513514	3.1673052362707534	251.442	1.23	-0.11967499999999995	larger_later	discount_fixed	89	31.0	74.0	20.0	larger_later	s641	False
0.02564102564102564	14.206437291897892	256.761	1.23	-0.17367499999999997	larger_later	discount_fixed	89	80.0	39.0	20.0	larger_later	s641	False
0.047619047619047616	6.29695885509839	261.262	1.23	-0.14867499999999995	smaller_sooner	discount_fixed	71	22.0	21.0	20.0	smaller_sooner	s641	False
0.007194244604316547	2.9703677258122103	266.309	1.23	-0.22467499999999996	larger_later	discount_fixed	89	52.0	139.0	20.0	larger_later	s641	False
0.007936507936507936	3.3829287392325766	271.014	1.23	0.052325000000000045	larger_later	discount_fixed	89	54.0	126.0	20.0	larger_later	s641	False
0.005681818181818182	1.0502283105022832	275.855	1.23	-0.08767499999999996	smaller_sooner	discount_fixed	71	23.0	176.0	20.0	smaller_sooner	s641	False
0.011494252873563218	2.11803640375069	282.601	1.23	0.40432500000000005	smaller_sooner	discount_fixed	71	24.0	87.0	20.0	smaller_sooner	s641	False
0.007142857142857143	2.0425531914893615	287.104	1.23	1.036325	larger_later	discount_fixed	89	36.0	140.0	20.0	larger_later	s641	False
0.005847953216374269	1.642710472279261	291.675	1.23	0.17032500000000003	larger_later	discount_fixed	89	35.0	171.0	20.0	larger_later	s641	False
0.023255813953488372	5.568065506653019	296.38	1.23	0.630325	larger_later	discount_fixed	89	34.0	43.0	20.0	larger_later	s641	False
