movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	worker_id	junk
506.824	505.218	1.595	-0.2043208333333333	900.0	True	Orange-Blue		twobytwo	71.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	636	False
509.204	508.12	0.795	0.07367916666666667	100.0	True	Magnitude		twobytwo	89.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
511.693	510.223	0.795	0.4596791666666667	100.0	True	Magnitude	stay	twobytwo	71.0	#1F45FC	3.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
513.979	512.735	0.795	0.2336791666666667	100.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	1.0	task_switch	color	switch	poldrack-single-stim	636	False
517.028	515.11	1.595	0.10767916666666667	900.0	True	High-Low		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
520.135	518.149	1.595	0.17567916666666666	900.0	True	High-Low	stay	twobytwo	71.0	#1F45FC	2.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
522.062	521.052	0.795	-0.00032083333333332575	100.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	8.0	task_switch	color	switch	poldrack-single-stim	636	False
524.293	523.156	0.795	0.12667916666666668	100.0	True	Color	switch	twobytwo	89.0	#1F45FC	2.0	cue_switch	color	stay	poldrack-single-stim	636	False
526.052	525.394	0.795	-0.3523208333333333	100.0	True	Color	stay	twobytwo	89.0	#1F45FC	6.0	cue_stay	color	stay	poldrack-single-stim	636	False
528.685	527.497	0.795	0.17767916666666667	100.0	True	High-Low		twobytwo	71.0	#1F45FC	1.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
531.153	529.735	1.595	-0.39232083333333334	900.0	True	High-Low	stay	twobytwo	89.0	orange	9.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
535.252	533.046	1.595	0.3956791666666667	900.0	True	Color		twobytwo	89.0	#1F45FC	9.0	task_switch	color	switch	poldrack-single-stim	636	False
536.185	536.086	0.795	-0.9113208333333334	100.0	False	Orange-Blue	switch	twobytwo	-1.0	orange	9.0	cue_switch	color	stay	poldrack-single-stim	636	True
539.744	538.189	1.595	-0.25532083333333333	900.0	True	Color	switch	twobytwo	89.0	#1F45FC	4.0	cue_switch	color	stay	poldrack-single-stim	636	False
542.966	541.227	1.595	-0.07132083333333332	900.0	True	High-Low		twobytwo	89.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
546.242	544.402	1.595	0.029679166666666673	900.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	7.0	task_switch	color	switch	poldrack-single-stim	636	False
548.62	547.305	1.595	-0.4953208333333333	900.0	True	Orange-Blue	stay	twobytwo	89.0	#1F45FC	3.0	cue_stay	color	stay	poldrack-single-stim	636	False
551.366	550.617	0.795	-0.26132083333333334	100.0	True	Orange-Blue	stay	twobytwo	71.0	orange	8.0	cue_stay	color	stay	poldrack-single-stim	636	False
554.207	552.719	1.595	-0.32232083333333333	900.0	True	Magnitude		twobytwo	89.0	orange	8.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
558.062	555.759	1.595	0.49267916666666667	900.0	True	Color		twobytwo	89.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	636	False
