onset	duration	response_time	condition	correct	experiment_exp_id	key_press	stim_color	stim_word	trial_type	worker_id	junk
3.515	0.638	0.1678125	incongruent	1.0	stroop	82	green	blue	incongruent	s623	False
5.52	0.638	-0.1001875	congruent	1.0	stroop	89	red	red	congruent	s623	False
8.066	0.638	-0.0841875	congruent	1.0	stroop	71	blue	blue	congruent	s623	False
10.206	0.638	-0.1611875	congruent	1.0	stroop	71	blue	blue	congruent	s623	False
12.209	0.638	-0.0231875	congruent	1.0	stroop	89	red	red	congruent	s623	False
14.214	0.638	-0.1201875	congruent	1.0	stroop	71	blue	blue	congruent	s623	False
16.492	0.638	0.1948125	incongruent	1.0	stroop	71	blue	green	incongruent	s623	False
18.497	0.638	-0.0081875	congruent	1.0	stroop	71	blue	blue	congruent	s623	False
20.5	0.638	0.0268125	incongruent	1.0	stroop	71	blue	green	incongruent	s623	False
22.641	0.638	-0.0801875	incongruent	0.0	stroop	89	green	red	incongruent	s623	True
24.646	0.638	0.2628125	incongruent	1.0	stroop	71	blue	red	incongruent	s623	False
26.92	0.638	-0.0741875	congruent	1.0	stroop	89	red	red	congruent	s623	False
29.06	0.638	-0.0681875	incongruent	1.0	stroop	89	red	blue	incongruent	s623	False
31.472	0.638	0.0818125	congruent	1.0	stroop	71	blue	blue	congruent	s623	False
33.478	0.638	-0.2181875	congruent	1.0	stroop	71	blue	blue	congruent	s623	False
35.484	0.638	0.1308125	incongruent	0.0	stroop	82	red	green	incongruent	s623	True
38.302	0.638	-0.0031875	incongruent	1.0	stroop	71	blue	red	incongruent	s623	False
40.305	0.638	-0.2691875	incongruent	1.0	stroop	71	blue	green	incongruent	s623	False
42.309	0.638	-0.3171875	congruent	0.0	stroop	71	red	red	congruent	s623	True
44.449	0.638	-0.0501875	congruent	1.0	stroop	82	green	green	congruent	s623	False
46.454	0.638	-0.0111875	incongruent	1.0	stroop	71	blue	red	incongruent	s623	False
48.457	0.638	-0.0101875	congruent	1.0	stroop	82	green	green	congruent	s623	False
50.46	0.638	0.0018125	incongruent	1.0	stroop	82	green	blue	incongruent	s623	False
52.465	0.638	-0.0231875	congruent	1.0	stroop	71	blue	blue	congruent	s623	False
54.467	0.638	-0.0221875	incongruent	1.0	stroop	82	green	red	incongruent	s623	False
