movement_onset	onset	duration	response_time	condition	correct	experiment_exp_id	key_press	trial_type	worker_id	junk
5.805	4.519	1.471	-0.1969079754601227	BY	1.0	dot_pattern_expectancy	71.0	BY	s611	False
10.632	8.667	1.471	0.48209202453987726	AY	1.0	dot_pattern_expectancy	71.0	AY	s611	False
14.107	12.677	1.471	-0.052907975460122714	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
18.534	17.233	1.471	-0.18190797546012272	BY	1.0	dot_pattern_expectancy	71.0	BY	s611	False
22.88	21.516	1.471	-0.11890797546012272	BX	1.0	dot_pattern_expectancy	71.0	BX	s611	False
27.094	25.664	1.471	-0.052907975460122714	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
31.222	29.807	1.471	-0.06790797546012271	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
35.243	33.819	1.471	-0.05890797546012271	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
39.253	37.83	1.471	-0.05990797546012271	AY	1.0	dot_pattern_expectancy	71.0	AY	s611	False
43.833	42.382	1.471	-0.031907975460122716	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
48.969	47.347	1.471	0.1390920245398773	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
53.277	51.766	1.471	0.028092024539877285	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
57.183	55.775	1.471	-0.07490797546012272	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
61.461	60.194	1.471	-0.21590797546012272	BX	1.0	dot_pattern_expectancy	71.0	BX	s611	False
66.407	64.887	1.471	0.03709202453987728	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
70.188	68.9	1.471	-0.1949079754601227	BY	1.0	dot_pattern_expectancy	71.0	BY	s611	False
74.611	73.313	1.471	-0.18490797546012272	BX	1.0	dot_pattern_expectancy	71.0	BX	s611	False
79.64	78.139	1.471	0.018092024539877287	AY	1.0	dot_pattern_expectancy	71.0	AY	s611	False
84.285	82.965	1.471	-0.1629079754601227	BX	1.0	dot_pattern_expectancy	71.0	BX	s611	False
88.651	87.111	1.471	0.05709202453987729	AY	1.0	dot_pattern_expectancy	71.0	AY	s611	False
92.443	91.12	1.471	-0.15990797546012273	BY	1.0	dot_pattern_expectancy	71.0	BY	s611	False
96.928	95.538	1.471	-0.09290797546012271	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
101.18	99.55	1.471	0.1470920245398773	AY	1.0	dot_pattern_expectancy	71.0	AY	s611	False
105.918	104.376	1.471	0.05909202453987729	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
110.088	108.385	1.471	0.22009202453987728	AY	1.0	dot_pattern_expectancy	71.0	AY	s611	False
115.107	113.621	1.471	0.003092024539877286	AX	0.0	dot_pattern_expectancy	71.0	AX	s611	True
119.04	117.627	1.471	-0.06990797546012271	AX	1.0	dot_pattern_expectancy	89.0	AX	s611	False
