onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stopped	trial_type	trigger_times	worker_id	junk	condition
284.616	0.55	-0.037881889763779555	400.0	1.0	stop_signal	89.0	True	False	go	428475,429154,429835,430514	s628	False	go
287.006	0.55	0.14411811023622045	400.0	1.0	stop_signal	89.0	True	False	go	431195,431874,432555	s628	False	go
289.398	0.55	0.24811811023622043	400.0	1.0	stop_signal	89.0	True	False	go	433235,433915,434594	s628	False	go
291.651	0.55	-0.008881889763779554	400.0	1.0	stop_signal	89.0	True	False	go	435275,435954,436634,437314	s628	False	go
294.041	0.55	-0.03488188976377955	400.0	1.0	stop_signal	71.0	True	False	go	437994,438674,439355	s628	False	go
296.43	0.55	0.15811811023622044	400.0	1.0	stop_signal	71.0	True	False	stop_failure	440034,440715,441394,442074	s628	False	stop_failure
298.82	0.55	0.09611811023622044	350.0	1.0	stop_signal	89.0	True	False	go	442754,443435,444114,444795	s628	False	go
301.479	0.55	0.19911811023622045	350.0	1.0	stop_signal	71.0	True	False	go	445474,446155,446834,447515	s628	False	go
304.007	0.55	-0.44188188976377957	350.0	0.0	stop_signal	-1.0	True	True	stop_success	448194,448876,449554	s628	False	stop_success
306.26	0.55	-0.44188188976377957	400.0	0.0	stop_signal	-1.0	True	True	stop_success	450235,450914,451595,452274	s628	False	stop_success
309.193	0.55	0.14511811023622045	450.0	1.0	stop_signal	71.0	True	False	go	452955,453634,454315,454994	s628	False	go
311.447	0.55	0.03611811023622045	450.0	1.0	stop_signal	71.0	True	False	go	455675,456354,457034	s628	False	go
313.972	0.55	0.14611811023622046	450.0	1.0	stop_signal	71.0	True	False	stop_failure	457715,458395,459075,459755	s628	False	stop_failure
316.226	0.55	0.28211811023622047	400.0	1.0	stop_signal	89.0	True	False	go	460435,461115,461795	s628	False	go
318.482	0.55	0.23711811023622045	400.0	1.0	stop_signal	89.0	True	False	go	462476,463154,463836	s628	False	go
320.738	0.55	0.32211811023622045	400.0	1.0	stop_signal	71.0	True	False	go	464514,465194,465874	s628	False	go
322.994	0.55	0.21611811023622043	400.0	1.0	stop_signal	71.0	True	False	go	466554,467234,467915,468594	s628	False	go
