onset	duration	response_time	condition	correct	experiment_exp_id	key_press	stim_color	stim_word	trial_type	worker_id	junk
183.495	0.638	-0.03242708333333337	congruent	1.0	stroop	89	red	red	congruent	s553	False
185.905	0.638	-0.07042708333333338	incongruent	1.0	stroop	71	blue	red	incongruent	s553	False
188.179	0.638	0.11657291666666662	congruent	1.0	stroop	71	blue	blue	congruent	s553	False
190.862	0.638	0.32157291666666665	congruent	1.0	stroop	82	green	green	congruent	s553	False
192.864	0.638	-0.14642708333333337	congruent	1.0	stroop	89	red	red	congruent	s553	False
195.273	0.638	0.006572916666666629	congruent	1.0	stroop	89	red	red	congruent	s553	False
197.411	0.638	0.13557291666666663	incongruent	1.0	stroop	71	blue	red	incongruent	s553	False
200.094	0.638	0.18157291666666664	incongruent	1.0	stroop	71	blue	green	incongruent	s553	False
202.095	0.638	0.2775729166666666	incongruent	1.0	stroop	71	blue	red	incongruent	s553	False
204.232	0.638	-0.12742708333333336	congruent	1.0	stroop	82	green	green	congruent	s553	False
207.186	0.638	-0.11742708333333338	incongruent	1.0	stroop	89	red	green	incongruent	s553	False
