onset	duration	response_time	condition	correct	experiment_exp_id	key_press	stim_color	stim_word	trial_type	worker_id	junk
3.517	0.638	0.22902083333333337	incongruent	1.0	stroop	82	green	red	incongruent	s619	False
5.522	0.638	-0.14197916666666663	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
7.527	0.638	-0.25797916666666665	incongruent	1.0	stroop	89	red	blue	incongruent	s619	False
9.802	0.638	0.10602083333333337	incongruent	1.0	stroop	89	red	green	incongruent	s619	False
11.804	0.638	-0.13797916666666662	congruent	1.0	stroop	82	green	green	congruent	s619	False
13.943	0.638	-0.09697916666666663	congruent	1.0	stroop	89	red	red	congruent	s619	False
15.946	0.638	-0.14297916666666663	congruent	1.0	stroop	82	green	green	congruent	s619	False
18.087	0.638	0.04602083333333337	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
20.089	0.638	0.06002083333333337	congruent	1.0	stroop	89	red	red	congruent	s619	False
22.092	0.638	0.02802083333333337	incongruent	1.0	stroop	71	blue	green	incongruent	s619	False
24.098	0.638	-0.14397916666666663	incongruent	1.0	stroop	82	green	blue	incongruent	s619	False
26.375	0.638	0.02402083333333337	incongruent	0.0	stroop	71	red	blue	incongruent	s619	True
28.378	0.638	0.15802083333333336	incongruent	1.0	stroop	82	green	red	incongruent	s619	False
30.516	0.638	-0.037979166666666626	congruent	1.0	stroop	82	green	green	congruent	s619	False
32.93	0.638	0.12602083333333336	incongruent	1.0	stroop	89	red	blue	incongruent	s619	False
35.204	0.638	-0.14597916666666663	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
37.89	0.638	-0.06497916666666663	congruent	1.0	stroop	82	green	green	congruent	s619	False
39.893	0.638	-0.12797916666666662	congruent	1.0	stroop	89	red	red	congruent	s619	False
42.303	0.638	-0.14797916666666663	congruent	1.0	stroop	82	green	green	congruent	s619	False
44.442	0.638	0.01502083333333337	incongruent	1.0	stroop	82	green	red	incongruent	s619	False
47.127	0.638	0.14102083333333337	incongruent	1.0	stroop	71	blue	green	incongruent	s619	False
49.13	0.638	0.22502083333333336	incongruent	1.0	stroop	82	green	blue	incongruent	s619	False
51.268	0.638	0.13002083333333336	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
54.226	0.638	-0.25697916666666665	incongruent	1.0	stroop	89	red	green	incongruent	s619	False
56.227	0.638	0.08502083333333336	incongruent	1.0	stroop	71	blue	red	incongruent	s619	False
58.502	0.638	-0.06897916666666663	incongruent	1.0	stroop	71	blue	red	incongruent	s619	False
60.508	0.638	-0.08597916666666663	congruent	1.0	stroop	89	red	red	congruent	s619	False
62.514	0.638	-0.2719791666666666	congruent	1.0	stroop	89	red	red	congruent	s619	False
64.519	0.638	0.23002083333333337	incongruent	1.0	stroop	71	blue	green	incongruent	s619	False
66.522	0.638	-0.06497916666666663	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
68.663	0.638	0.38702083333333337	congruent	1.0	stroop	89	red	red	congruent	s619	False
70.668	0.638	0.01602083333333337	incongruent	1.0	stroop	89	red	green	incongruent	s619	False
72.671	0.638	-0.13597916666666662	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
74.812	0.638	0.5100208333333334	incongruent	0.0	stroop	71	red	blue	incongruent	s619	True
76.818	0.638	1.0510208333333335	incongruent	1.0	stroop	71	blue	red	incongruent	s619	False
78.82	0.638	-0.12697916666666662	incongruent	1.0	stroop	82	green	red	incongruent	s619	False
80.959	0.638	-0.32597916666666665	congruent	1.0	stroop	89	red	red	congruent	s619	False
83.1	0.638	-0.21697916666666664	congruent	1.0	stroop	82	green	green	congruent	s619	False
85.375	0.638	0.23702083333333338	incongruent	1.0	stroop	71	blue	red	incongruent	s619	False
88.06	0.638	-0.12797916666666662	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
90.065	0.638	-0.23197916666666663	congruent	1.0	stroop	89	red	red	congruent	s619	False
92.07	0.638	-0.044979166666666626	incongruent	1.0	stroop	89	red	green	incongruent	s619	False
94.348	0.638	0.10502083333333337	incongruent	1.0	stroop	82	green	blue	incongruent	s619	False
96.354	0.638	-0.01797916666666663	congruent	0.0	stroop	71	red	red	congruent	s619	True
98.359	0.638	-0.19497916666666662	incongruent	0.0	stroop	71	red	blue	incongruent	s619	True
100.364	0.638	0.07602083333333337	incongruent	1.0	stroop	71	blue	green	incongruent	s619	False
102.37	0.638	-0.3509791666666666	incongruent	1.0	stroop	71	blue	green	incongruent	s619	False
104.374	0.638	-0.12197916666666662	incongruent	0.0	stroop	89	green	blue	incongruent	s619	True
106.38	0.638	-0.2869791666666666	congruent	1.0	stroop	82	green	green	congruent	s619	False
108.657	0.638	0.23202083333333337	incongruent	1.0	stroop	89	red	blue	incongruent	s619	False
110.66	0.638	0.25602083333333336	congruent	0.0	stroop	71	red	red	congruent	s619	True
113.07	0.638	-0.21697916666666664	congruent	1.0	stroop	89	red	red	congruent	s619	False
115.076	0.638	0.31002083333333336	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
117.218	0.638	-0.2859791666666666	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
119.222	0.638	-0.15097916666666664	congruent	1.0	stroop	82	green	green	congruent	s619	False
121.228	0.638	0.09902083333333338	incongruent	1.0	stroop	71	blue	red	incongruent	s619	False
123.234	0.638	-0.15197916666666664	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
125.511	0.638	0.11002083333333337	incongruent	1.0	stroop	82	green	blue	incongruent	s619	False
127.516	0.638	0.4770208333333334	incongruent	1.0	stroop	89	red	blue	incongruent	s619	False
129.793	0.638	0.09102083333333337	incongruent	1.0	stroop	82	green	blue	incongruent	s619	False
132.071	0.638	0.20302083333333337	incongruent	1.0	stroop	71	blue	red	incongruent	s619	False
134.075	0.638	-0.23397916666666663	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
136.759	0.638	0.01802083333333337	incongruent	1.0	stroop	71	blue	red	incongruent	s619	False
138.764	0.638	-0.2819791666666666	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
141.042	0.638	0.08302083333333338	congruent	1.0	stroop	89	red	red	congruent	s619	False
143.045	0.638	-0.20697916666666663	congruent	1.0	stroop	82	green	green	congruent	s619	False
145.047	0.638	-0.20597916666666663	incongruent	1.0	stroop	82	green	red	incongruent	s619	False
147.322	0.638	-0.31497916666666664	congruent	1.0	stroop	82	green	green	congruent	s619	False
149.463	0.638	-0.20097916666666663	congruent	1.0	stroop	82	green	green	congruent	s619	False
152.01	0.638	0.7300208333333333	incongruent	1.0	stroop	89	red	green	incongruent	s619	False
154.42	0.638	-0.15297916666666664	incongruent	1.0	stroop	71	blue	green	incongruent	s619	False
156.422	0.638	-0.32497916666666665	incongruent	1.0	stroop	82	green	red	incongruent	s619	False
158.428	0.638	-0.04797916666666663	incongruent	1.0	stroop	82	green	blue	incongruent	s619	False
160.434	0.638	-0.21997916666666664	congruent	1.0	stroop	82	green	green	congruent	s619	False
162.98	0.638	-0.23397916666666663	congruent	1.0	stroop	82	green	green	congruent	s619	False
165.122	0.638	-0.12097916666666662	congruent	1.0	stroop	89	red	red	congruent	s619	False
167.126	0.638	-0.32097916666666665	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
169.127	0.638	-0.3569791666666666	congruent	1.0	stroop	82	green	green	congruent	s619	False
171.401	0.638	-0.13597916666666662	incongruent	1.0	stroop	82	green	red	incongruent	s619	False
173.407	0.638	-0.14697916666666663	congruent	1.0	stroop	89	red	red	congruent	s619	False
175.412	0.638	-0.06597916666666663	incongruent	0.0	stroop	71	red	green	incongruent	s619	True
177.554	0.638	0.06802083333333338	incongruent	0.0	stroop	82	red	green	incongruent	s619	True
179.559	0.638	0.4140208333333334	incongruent	1.0	stroop	71	blue	green	incongruent	s619	False
181.834	0.638	-0.10197916666666663	congruent	1.0	stroop	82	green	green	congruent	s619	False
183.971	0.638	0.5240208333333334	incongruent	0.0	stroop	82	blue	green	incongruent	s619	True
186.38	0.638	0.02902083333333337	congruent	1.0	stroop	89	red	red	congruent	s619	False
188.386	0.638	-0.09697916666666663	congruent	1.0	stroop	71	blue	blue	congruent	s619	False
190.391	0.638	1.1260208333333335	incongruent	0.0	stroop	71	red	blue	incongruent	s619	True
193.213	0.638	-0.09797916666666663	incongruent	1.0	stroop	82	green	blue	incongruent	s619	False
195.215	0.638	0.7320208333333333	incongruent	1.0	stroop	89	red	green	incongruent	s619	False
197.22	0.638	-0.07197916666666662	congruent	1.0	stroop	89	red	red	congruent	s619	False
