movement_onset	onset	duration	response_time	condition	correct	experiment_exp_id	key_press	trial_type	worker_id	junk
6.081	4.525	1.471	0.05620858895705521	BY	1.0	dot_pattern_expectancy	71.0	BY	s587	False
10.418	8.671	1.471	0.24720858895705522	AY	1.0	dot_pattern_expectancy	71.0	AY	s587	False
14.209	12.68	1.471	0.029208588957055213	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
18.799	17.237	1.471	0.062208588957055215	BY	1.0	dot_pattern_expectancy	71.0	BY	s587	False
23.086	21.517	1.471	0.06920858895705521	BX	1.0	dot_pattern_expectancy	71.0	BX	s587	False
27.112	25.661	1.471	-0.048791411042944786	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
31.321	29.808	1.471	0.013208588957055213	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
35.408	33.821	1.471	0.08720858895705522	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
39.394	37.833	1.471	0.061208588957055214	AY	1.0	dot_pattern_expectancy	71.0	AY	s587	False
43.964	42.387	1.471	0.07720858895705521	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
48.889	47.353	1.471	0.03620858895705521	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
53.261	51.766	1.471	-0.004791411042944787	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
57.419	55.774	1.471	0.1452085889570552	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
61.733	60.194	1.471	0.039208588957055215	BX	1.0	dot_pattern_expectancy	71.0	BX	s587	False
66.571	64.888	1.471	0.18320858895705522	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
70.397	68.904	1.471	-0.006791411042944787	BY	1.0	dot_pattern_expectancy	71.0	BY	s587	False
75.112	73.324	1.471	0.2882085889570552	BX	1.0	dot_pattern_expectancy	71.0	BX	s587	False
79.783	78.154	1.471	0.12920858895705523	AY	1.0	dot_pattern_expectancy	71.0	AY	s587	False
84.448	82.98	1.471	-0.031791411042944785	BX	1.0	dot_pattern_expectancy	71.0	BX	s587	False
88.786	87.125	1.471	0.1612085889570552	AY	1.0	dot_pattern_expectancy	71.0	AY	s587	False
92.834	91.135	1.471	0.1992085889570552	BY	1.0	dot_pattern_expectancy	71.0	BY	s587	False
97.051	95.554	1.471	-0.002791411042944787	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
101.086	99.563	1.471	0.02320858895705521	AY	1.0	dot_pattern_expectancy	71.0	AY	s587	False
105.902	104.386	1.471	0.016208588957055212	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
109.961	108.394	1.471	0.06720858895705521	AY	1.0	dot_pattern_expectancy	71.0	AY	s587	False
115.091	113.629	1.471	-0.03779141104294479	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
119.235	117.637	1.471	0.09820858895705521	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
123.284	121.789	1.471	-0.004791411042944787	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
127.475	125.939	1.471	0.03620858895705521	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
131.616	130.221	1.471	-0.10479141104294479	BY	1.0	dot_pattern_expectancy	71.0	BY	s587	False
136.078	134.504	1.471	0.07420858895705522	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
140.18	138.513	1.471	0.1672085889570552	BY	1.0	dot_pattern_expectancy	71.0	BY	s587	False
144.987	143.477	1.471	0.010208588957055212	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
149.088	147.622	1.471	-0.03379141104294479	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
153.335	151.771	1.471	0.06420858895705521	BX	1.0	dot_pattern_expectancy	71.0	BX	s587	False
157.113	155.787	1.471	-0.1737914110429448	BX	1.0	dot_pattern_expectancy	71.0	BX	s587	False
161.275	159.801	1.471	-0.025791411042944787	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
166.203	164.628	1.471	0.0752085889570552	AY	1.0	dot_pattern_expectancy	71.0	AY	s587	False
170.627	169.183	1.471	-0.055791411042944786	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
177.169	175.639	1.471	0.030208588957055214	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
177.278	176.279	1.471	-0.5007914110429448			dot_pattern_expectancy	-1.0		s587	True
191.761	190.295	1.471	-0.03379141104294479	AY	1.0	dot_pattern_expectancy	71.0	AY	s587	False
195.991	194.44	1.471	0.05120858895705521	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
200.014	198.586	1.471	-0.07179141104294479	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
204.116	202.597	1.471	0.01920858895705521	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
208.126	206.605	1.471	0.021208588957055213	AX	1.0	dot_pattern_expectancy	89.0	AX	s587	False
212.323	211.027	1.471	-0.2037914110429448	BX	1.0	dot_pattern_expectancy	71.0	BX	s587	False
