movement_onset	onset	response_time	planning	condition	experiment_exp_id	key_press	problem_id	trial_type	trigger_times	worker_id	junk	duration
11.451	3.013	7.41115934065934	1	UA_with_intermeidate	ward_and_allport	71	0.0	poldrack-single-stim	74496,75176,75856,76536,77216,77896,78576,79256,79936,80616,81297,81976,82656	s628	False	2.985
11.838	11.453	-0.6418406593406594	0	UA_with_intermeidate	ward_and_allport	82	0.0	poldrack-single-stim	83336	s628	False	
12.61	11.84	-0.25684065934065936	0	UA_with_intermeidate	ward_and_allport	71	0.0	poldrack-single-stim	84016	s628	False	
13.36	12.61	-0.2768406593406594	0	UA_with_intermeidate	ward_and_allport	89	0.0	poldrack-single-stim	84696	s628	False	
14.114	13.362	-0.2748406593406594	0	UA_with_intermeidate	ward_and_allport	82	0.0	poldrack-single-stim	85376	s628	False	
14.593	14.115	-0.5488406593406594	0	UA_with_intermeidate	ward_and_allport	89	0.0	poldrack-single-stim	86056	s628	False	
14.598	14.599	-1.0278406593406595	0	UA_with_intermeidate	ward_and_allport	-1	0.0	poldrack-single-stim	86737,87416,88096,88776	s628	True	
22.401	17.101	4.27315934065934	1	UA_with_intermeidate	ward_and_allport	89	1.0	poldrack-single-stim	89456,90136,90817,91497,92177,92856,93537	s628	False	2.985
22.771	22.402	-0.6578406593406594	0	UA_with_intermeidate	ward_and_allport	82	1.0	poldrack-single-stim	94216	s628	False	
23.136	22.772	-0.6628406593406594	0	UA_with_intermeidate	ward_and_allport	71	1.0	poldrack-single-stim	94897	s628	False	
23.643	23.138	-0.5218406593406594	0	UA_with_intermeidate	ward_and_allport	89	1.0	poldrack-single-stim		s628	False	
24.343	23.644	-0.32784065934065937	0	UA_with_intermeidate	ward_and_allport	82	1.0	poldrack-single-stim	95576	s628	False	
24.657	24.345	-0.7148406593406594	0	UA_with_intermeidate	ward_and_allport	89	1.0	poldrack-single-stim	96256	s628	False	
24.662	24.663	-1.0278406593406595	0	UA_with_intermeidate	ward_and_allport	-1	1.0	poldrack-single-stim	96935,97616,98295	s628	True	
