onset	duration	response_time	correct	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	trial_type	worker_id	junk
144.814728	0.576	-0.02705426356589146	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	s640	False
147.428864	0.576	-0.07505426356589145	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	s640	False
150.045864	0.576	-0.04905426356589146	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	s640	False
152.664	0.576	0.039945736434108536	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	s640	False
155.282	0.576	0.06494573643410854	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	s640	False
157.9	0.576	-0.02205426356589146	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	s640	False
160.512	0.576	-0.017054263565891462	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	s640	False
163.128864	0.576	-0.02805426356589146	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
165.746728	0.576	-0.008054263565891461	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
168.364864	0.576	-0.06105426356589146	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	s640	False
169.47	0.576	-0.4770542635658915			attention_network_task				-1	poldrack-single-stim	s640	True
181.498864	0.576	-0.02305426356589146	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	s640	False
184.117	0.576	-0.02505426356589146	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	s640	False
186.735	0.576	-0.0020542635658914606	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	s640	False
189.35259200000002	0.576	-0.03705426356589146	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	s640	False
191.970456	0.576	-0.01605426356589146	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	s640	False
194.587592	0.576	0.02794573643410854	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	s640	False
197.206	0.576	-0.02905426356589146	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	s640	False
199.82259200000001	0.576	-0.05305426356589146	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	s640	False
202.441	0.576	-0.07005426356589146	0.0	spatial	attention_network_task	up	right	congruent	89	poldrack-single-stim	s640	True
205.058592	0.576	0.02794573643410854	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	s640	False
207.677	0.576	-0.04005426356589146	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
210.295	0.576	-0.03605426356589146	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	s640	False
212.90659200000002	0.576	0.11694573643410854	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	s640	False
215.519864	0.576	0.09894573643410853	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	s640	False
218.135728	0.576	0.02094573643410854	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	s640	False
220.753456	0.576	-0.04205426356589146	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	s640	False
223.371728	0.576	-0.05605426356589146	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	s640	False
225.989	0.576	-0.03005426356589146	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
228.606592	0.576	-0.02605426356589146	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	s640	False
231.219	0.576	-0.07805426356589146	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	s640	False
233.837	0.576	0.08994573643410854	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	s640	False
236.45345600000002	0.576	0.02094573643410854	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	s640	False
239.071592	0.576	-0.03205426356589146	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	s640	False
241.69	0.576	-0.06705426356589146	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	s640	False
244.307864	0.576	-0.08705426356589147	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	s640	False
246.924184	0.576	0.03094573643410854	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	s640	False
249.539864	0.576	0.06294573643410854	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	s640	False
252.155	0.576	-0.00705426356589146	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	s640	False
254.772864	0.576	0.11994573643410854	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
257.389864	0.576	-0.04505426356589146	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	s640	False
260.007864	0.576	-0.06105426356589146	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	s640	False
262.625456	0.576	0.05394573643410854	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	s640	False
265.239	0.576	-0.04005426356589146	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	s640	False
