movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	trigger_times	worker_id	junk
413.054	411.984	0.795	0.20266250000000002	100.0	False	High-Low		twobytwo	89.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	525071,525751,526432	s628	True
415.577	414.091	1.595	-0.18133749999999998	900.0	True	Magnitude	switch	twobytwo	89.0	#1F45FC	8.0	cue_switch	magnitude	stay	poldrack-single-stim	528471,529152,529832	s628	False
418.381	416.998	1.595	-0.28433749999999997	900.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	2.0	task_switch	color	switch	poldrack-single-stim	531191,531872,532551	s628	False
421.943	419.904	1.595	0.3716625	900.0	True	Magnitude		twobytwo	89.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	533911,534592,535272	s628	False
424.095	422.811	0.795	0.41666250000000005	100.0	True	Color		twobytwo	89.0	#1F45FC	8.0	task_switch	color	switch	poldrack-single-stim	535952,536632,537312	s628	False
426.759	424.915	1.595	0.17666250000000003	900.0	True	Magnitude		twobytwo	89.0	#1F45FC	6.0	task_switch	magnitude	switch	poldrack-single-stim	539352,540033,540712	s628	False
428.786	427.958	0.795	-0.03933749999999998	100.0	True	Magnitude	stay	twobytwo	71.0	orange	3.0	cue_stay	magnitude	stay	poldrack-single-stim	541393,542072,542753	s628	False
431.707	430.065	1.595	-0.025337499999999978	900.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	7.0	task_switch	color	switch	poldrack-single-stim	544111,544792,545471	s628	False
434.042	432.969	0.795	0.20566250000000003	100.0	True	Magnitude		twobytwo	71.0	orange	4.0	task_switch	magnitude	switch	poldrack-single-stim	546151,546831,547512,548191	s628	False
436.778	435.212	1.595	-0.10133749999999998	900.0	True	Color		twobytwo	71.0	orange	1.0	task_switch	color	switch	poldrack-single-stim	549551,550232,550911	s628	False
439.004	438.121	0.795	0.015662500000000024	100.0	True	Color	stay	twobytwo	89.0	#1F45FC	8.0	cue_stay	color	stay	poldrack-single-stim	551592,552271,552952	s628	False
441.527	440.361	0.795	0.2986625	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	553631,554311,554991,555672	s628	False
444.589	443.148	1.595	-0.22633749999999997	900.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	557032,557711,558392,559072	s628	False
447.733	446.326	1.595	-0.2603375	900.0	True	Color	switch	twobytwo	71.0	orange	9.0	cue_switch	color	stay	poldrack-single-stim	560432,561112,561792	s628	False
450.747	449.372	1.595	-0.2923375	900.0	True	Magnitude		twobytwo	89.0	orange	7.0	task_switch	magnitude	switch	poldrack-single-stim	563832,564512,565192	s628	False
453.266	452.276	0.795	0.12266250000000002	100.0	True	Color		twobytwo	71.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	565872,566552,567232	s628	False
455.564	454.516	0.795	0.18066250000000003	100.0	True	Magnitude		twobytwo	89.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	567912,568592,569272,569952	s628	False
458.696	457.303	1.595	-0.27433749999999996	900.0	True	Color		twobytwo	71.0	orange	4.0	task_switch	color	switch	poldrack-single-stim	571312,571992,572671,573352	s628	False
461.719	460.482	0.795	0.3696625	100.0	True	High-Low		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	574031,574712,575391	s628	False
477.665	476.109	1.595	-0.11133749999999998	900.0	True	Color		twobytwo	71.0	orange	7.0	task_switch	color	switch	poldrack-single-stim	590352,591033,591712	s628	False
480.447	479.013	1.595	-0.23333749999999998	900.0	True	Color	stay	twobytwo	71.0	orange	9.0	cue_stay	color	stay	poldrack-single-stim	593072,593753,594432	s628	False
483.456	482.056	1.595	-0.26733749999999995	900.0	True	Orange-Blue	switch	twobytwo	71.0	orange	9.0	cue_switch	color	stay	poldrack-single-stim	596473,597152,597833	s628	False
486.274	484.963	1.595	-0.3563375	900.0	True	Color	switch	twobytwo	89.0	#1F45FC	3.0	cue_switch	color	stay	poldrack-single-stim	599193,599872,600553	s628	False
489.262	487.87	1.595	-0.27533749999999996	900.0	True	Orange-Blue	switch	twobytwo	89.0	#1F45FC	2.0	cue_switch	color	stay	poldrack-single-stim	601912,602591,603272	s628	False
491.882	490.776	0.795	0.23866250000000003	100.0	True	Magnitude		twobytwo	71.0	orange	3.0	task_switch	magnitude	switch	poldrack-single-stim	603951,604632,605311,605992	s628	False
493.929	493.152	0.795	-0.09033749999999997	100.0	True	Magnitude	stay	twobytwo	71.0	orange	1.0	cue_stay	magnitude	stay	poldrack-single-stim	606671,607352,608031	s628	False
497.112	495.667	1.595	-0.22233749999999997	900.0	True	Color		twobytwo	71.0	orange	6.0	task_switch	color	switch	poldrack-single-stim	610072,610752,611433	s628	False
499.928	498.574	0.795	0.4866625	100.0	True	Orange-Blue	switch	twobytwo	71.0	orange	6.0	cue_switch	color	stay	poldrack-single-stim	612112,612792,613472	s628	False
502.368	500.681	1.595	0.019662500000000024	900.0	True	Color	switch	twobytwo	71.0	orange	8.0	cue_switch	color	stay	poldrack-single-stim	614832,615512,616192	s628	False
