movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	worker_id	junk
326.045	324.802	0.795	0.2749083333333333	100.0	True	High-Low		twobytwo	89.0	#1F45FC	1.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
328.733	327.042	1.595	-0.0770916666666667	900.0	False	Color		twobytwo	71.0	orange	8.0	task_switch	color	switch	poldrack-single-stim	s626	True
331.416	330.085	0.795	0.3629083333333333	100.0	False	Orange-Blue	switch	twobytwo	89.0	#1F45FC	3.0	cue_switch	color	stay	poldrack-single-stim	s626	True
333.88	332.327	1.595	-0.2150916666666667	900.0	True	Magnitude		twobytwo	89.0	orange	3.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
336.853	335.367	1.595	-0.2820916666666667	900.0	True	Magnitude	stay	twobytwo	71.0	orange	6.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
340.06	338.954	0.795	0.1379083333333333	100.0	True	Magnitude	stay	twobytwo	89.0	orange	3.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
343.163	341.605	1.595	-0.2100916666666667	900.0	True	Magnitude	stay	twobytwo	89.0	orange	4.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
346.083	344.784	0.795	0.3309083333333333	100.0	True	High-Low	switch	twobytwo	89.0	orange	2.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
348.063	347.165	0.795	-0.07009166666666669	100.0	True	Color		twobytwo	71.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	s626	False
351.146	349.677	0.795	0.5009083333333333	100.0	True	High-Low		twobytwo	71.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
353.438	351.92	1.595	-0.2500916666666667	900.0	True	High-Low	stay	twobytwo	71.0	#1F45FC	7.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
356.767	355.099	1.595	-0.1000916666666667	900.0	False	High-Low	stay	twobytwo	89.0	orange	7.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	True
359.505	358.003	1.595	-0.26609166666666667	900.0	True	Color		twobytwo	89.0	orange	4.0	task_switch	color	switch	poldrack-single-stim	s626	False
362.271	361.046	0.795	0.2569083333333333	100.0	True	Magnitude		twobytwo	89.0	orange	2.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
364.524	363.424	0.795	0.1319083333333333	100.0	True	Magnitude	stay	twobytwo	89.0	#1F45FC	4.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
367.257	365.529	1.595	-0.0400916666666667	900.0	True	Orange-Blue		twobytwo	71.0	#1F45FC	2.0	task_switch	color	switch	poldrack-single-stim	s626	False
371.014	369.115	1.595	0.1309083333333333	900.0	True	Color	switch	twobytwo	89.0	orange	9.0	cue_switch	color	stay	poldrack-single-stim	s626	False
373.502	372.022	0.795	0.5119083333333333	100.0	True	High-Low		twobytwo	71.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
375.47	374.129	0.795	0.3729083333333333	100.0	True	High-Low	stay	twobytwo	89.0	orange	4.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
377.69	376.232	1.595	-0.3100916666666667	900.0	True	Magnitude	switch	twobytwo	89.0	#1F45FC	3.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
381.099	379.414	1.595	-0.0830916666666667	900.0	True	Magnitude	stay	twobytwo	71.0	#1F45FC	9.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
383.792	382.326	1.595	-0.3020916666666667	900.0	True	Color		twobytwo	71.0	#1F45FC	2.0	task_switch	color	switch	poldrack-single-stim	s626	False
386.819	385.233	1.595	-0.1820916666666667	900.0	True	High-Low		twobytwo	89.0	orange	1.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
389.645	388.137	0.795	0.5399083333333333	100.0	True	Magnitude	switch	twobytwo	71.0	orange	6.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
392.23	390.924	1.595	-0.4620916666666667	900.0	True	Orange-Blue		twobytwo	89.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s626	False
395.373	393.828	1.595	-0.2230916666666667	900.0	True	Magnitude		twobytwo	89.0	orange	3.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
398.612	396.868	1.595	-0.0240916666666667	900.0	True	Magnitude	stay	twobytwo	71.0	#1F45FC	6.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
401.566	400.18	0.795	0.4179083333333333	100.0	False	Color		twobytwo	89.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	s626	True
403.864	402.423	1.595	-0.32709166666666667	900.0	True	Color	stay	twobytwo	71.0	#1F45FC	8.0	cue_stay	color	stay	poldrack-single-stim	s626	False
406.566	405.33	0.795	0.2679083333333333	100.0	True	Orange-Blue	switch	twobytwo	89.0	orange	1.0	cue_switch	color	stay	poldrack-single-stim	s626	False
408.277	407.437	0.795	-0.1280916666666667	100.0	True	Orange-Blue	stay	twobytwo	71.0	#1F45FC	6.0	cue_stay	color	stay	poldrack-single-stim	s626	False
411.515	410.085	1.595	-0.3380916666666667	900.0	False	Orange-Blue	stay	twobytwo	89.0	#1F45FC	1.0	cue_stay	color	stay	poldrack-single-stim	s626	True
414.564	413.128	0.795	0.4679083333333333	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
416.764	415.776	0.795	0.019908333333333302	100.0	True	Color		twobytwo	89.0	orange	6.0	task_switch	color	switch	poldrack-single-stim	s626	False
419.964	418.562	1.595	-0.3660916666666667	900.0	True	Color	stay	twobytwo	89.0	orange	3.0	cue_stay	color	stay	poldrack-single-stim	s626	False
423.432	421.469	1.595	0.1949083333333333	900.0	True	Orange-Blue	switch	twobytwo	71.0	#1F45FC	9.0	cue_switch	color	stay	poldrack-single-stim	s626	False
426.295	424.648	1.595	-0.1210916666666667	900.0	True	Orange-Blue	stay	twobytwo	89.0	orange	3.0	cue_stay	color	stay	poldrack-single-stim	s626	False
430.217	428.643	1.595	-0.1940916666666667	900.0	True	Magnitude		twobytwo	89.0	orange	2.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
433.352	431.547	1.595	0.0369083333333333	900.0	True	High-Low	switch	twobytwo	71.0	#1F45FC	7.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
436.356	434.587	1.595	0.000908333333333303	900.0	True	Magnitude	switch	twobytwo	71.0	#1F45FC	9.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
438.712	437.63	0.795	0.1139083333333333	100.0	True	Orange-Blue		twobytwo	71.0	#1F45FC	4.0	task_switch	color	switch	poldrack-single-stim	s626	False
441.9	439.737	1.595	0.3949083333333333	900.0	True	Magnitude		twobytwo	71.0	orange	7.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
444.167	442.915	0.795	0.2839083333333333	100.0	False	Orange-Blue		twobytwo	89.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	s626	True
459.765	458.54	0.795	0.2569083333333333	100.0	True	High-Low	stay	twobytwo	89.0	orange	4.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
462.225	460.78	1.595	-0.3230916666666667	900.0	False	Color		twobytwo	71.0	orange	8.0	task_switch	color	switch	poldrack-single-stim	s626	True
464.653	463.823	0.795	-0.1380916666666667	100.0	True	Magnitude		twobytwo	71.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
467.457	466.473	0.795	0.015908333333333302	100.0	True	Color		twobytwo	89.0	orange	7.0	task_switch	color	switch	poldrack-single-stim	s626	False
469.512	468.583	0.795	-0.0390916666666667	100.0	True	High-Low		twobytwo	71.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
472.255	470.823	0.795	0.4639083333333333	100.0	True	High-Low	stay	twobytwo	89.0	orange	3.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
474.131	473.066	0.795	0.0969083333333333	100.0	True	Magnitude	switch	twobytwo	71.0	orange	8.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
476.28	475.311	0.795	0.000908333333333303	100.0	True	High-Low	switch	twobytwo	89.0	#1F45FC	2.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
478.585	477.415	0.795	0.2019083333333333	100.0	False	Color		twobytwo	89.0	#1F45FC	7.0	task_switch	color	switch	poldrack-single-stim	s626	True
480.907	479.661	0.795	0.2779083333333333	100.0	True	High-Low		twobytwo	71.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
483.249	481.767	1.595	-0.2860916666666667	900.0	False	Color		twobytwo	89.0	#1F45FC	2.0	task_switch	color	switch	poldrack-single-stim	s626	True
485.908	484.81	0.795	0.1299083333333333	100.0	True	Orange-Blue	switch	twobytwo	71.0	#1F45FC	1.0	cue_switch	color	stay	poldrack-single-stim	s626	False
488.852	487.73	0.795	0.1539083333333333	100.0	True	Magnitude		twobytwo	71.0	#1F45FC	8.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
491.433	489.973	1.595	-0.3080916666666667	900.0	True	Orange-Blue		twobytwo	89.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s626	False
494.277	492.88	1.595	-0.3710916666666667	900.0	True	Color	switch	twobytwo	71.0	#1F45FC	8.0	cue_switch	color	stay	poldrack-single-stim	s626	False
497.391	495.792	0.795	0.6309083333333333	100.0	True	Magnitude		twobytwo	71.0	orange	6.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
500.162	498.171	1.595	0.2229083333333333	900.0	True	High-Low	switch	twobytwo	71.0	#1F45FC	6.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
501.97	501.077	0.795	-0.0750916666666667	100.0	True	Color		twobytwo	71.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	s626	False
