movement_onset	onset	duration	response_time	condition	correct	experiment_exp_id	key_press	trial_type	trigger_times	worker_id	junk
6.834	5.45	1.47	-0.22427607361963192	AX	1.0	dot_pattern_expectancy	89.0	AX	141835,142515	s638	False
11.168	9.739	1.47	-0.1792760736196319	AX	1.0	dot_pattern_expectancy	89.0	AX	145914,146595	s638	False
15.253	13.756	1.47	-0.11127607361963192	AY	1.0	dot_pattern_expectancy	71.0	AY	149996,150676,151355	s638	False
20.195	18.726	1.47	-0.13927607361963193	AY	1.0	dot_pattern_expectancy	71.0	AY	154755,155436,156115	s638	False
24.745	23.016	1.47	0.12072392638036808	AX	1.0	dot_pattern_expectancy	89.0	AX	158835,159515,160195	s638	False
29.189	27.442	1.47	0.1387239263803681	AX	1.0	dot_pattern_expectancy	89.0	AX	163595,164275,164955	s638	False
33.582	31.86	1.47	0.11372392638036809	AX	1.0	dot_pattern_expectancy	89.0	AX	167675,168355,169035,169715	s638	False
38.429	36.965	1.47	-0.1442760736196319	AY	1.0	dot_pattern_expectancy	71.0	AY	173116,173796	s638	False
42.557	40.981	1.47	-0.03227607361963192	BY	1.0	dot_pattern_expectancy	71.0	BY	177196,177876	s638	False
46.95	44.996	1.47	0.3457239263803681	BY	0.0	dot_pattern_expectancy	89.0	BY	181275,181955	s638	True
50.649	49.015	1.47	0.025723926380368085	AX	1.0	dot_pattern_expectancy	89.0	AX	185355,186036	s638	False
54.667	53.166	1.47	-0.10727607361963191	BX	0.0	dot_pattern_expectancy	89.0	BX	189434,190115,190795	s638	True
59.278	57.722	1.47	-0.052276073619631915	AX	1.0	dot_pattern_expectancy	89.0	AX	193515,194195,194875	s638	False
63.428	62.01	1.47	-0.19027607361963192	BX	0.0	dot_pattern_expectancy	89.0	BX	198276,198955,199636,200316	s638	True
68.531	67.111	1.47	-0.18827607361963192	AY	1.0	dot_pattern_expectancy	71.0	AY	203036,203716,204396	s638	False
73.288	71.127	1.47	0.552723926380368	AX	1.0	dot_pattern_expectancy	89.0	AX	207115,207795,208475,209155	s638	False
77.812	76.091	1.47	0.11272392638036809	BY	1.0	dot_pattern_expectancy	71.0	BY	212555,213235	s638	False
82.34	80.246	1.47	0.4857239263803681	AX	1.0	dot_pattern_expectancy	89.0	AX	216637,217316	s638	False
86.458	84.4	1.47	0.44972392638036807	AX	1.0	dot_pattern_expectancy	89.0	AX	220716,221396	s638	False
89.959	88.412	1.47	-0.061276073619631916	BY	1.0	dot_pattern_expectancy	71.0	BY	224796,225475	s638	False
94.143	92.563	1.47	-0.028276073619631917	AX	1.0	dot_pattern_expectancy	89.0	AX	228875,229555	s638	False
98.17	96.582	1.47	-0.020276073619631917	AY	1.0	dot_pattern_expectancy	71.0	AY	232955,233635,234315	s638	False
102.811	101.273	1.47	-0.07027607361963191	AX	1.0	dot_pattern_expectancy	89.0	AX	237716,238396	s638	False
107.002	105.291	1.47	0.10272392638036808	AX	1.0	dot_pattern_expectancy	89.0	AX	241116,241796,242476	s638	False
111.41	109.717	1.47	0.08472392638036809	BY	1.0	dot_pattern_expectancy	71.0	BY	245876,246556	s638	False
115.545	113.872	1.47	0.06472392638036809	BY	1.0	dot_pattern_expectancy	71.0	BY	249956,250636	s638	False
119.692	118.027	1.47	0.056723926380368085	AX	1.0	dot_pattern_expectancy	89.0	AX	254037,254716,255396	s638	False
123.673	122.179	1.47	-0.11427607361963192	AX	1.0	dot_pattern_expectancy	89.0	AX	258117,258797	s638	False
127.773	126.198	1.47	-0.03327607361963192	BY	1.0	dot_pattern_expectancy	71.0	BY	262196,262876,263556	s638	False
132.431	130.757	1.47	0.06572392638036809	AY	1.0	dot_pattern_expectancy	71.0	AY	266956,267637,268316	s638	False
137.011	135.451	1.47	-0.04827607361963192	AY	1.0	dot_pattern_expectancy	71.0	AY	271715,272395	s638	False
141.362	139.601	1.47	0.15272392638036808	AY	1.0	dot_pattern_expectancy	71.0	AY	275796,276477,277156	s638	False
145.467	143.885	1.47	-0.026276073619631916	BY	1.0	dot_pattern_expectancy	71.0	BY	279877,280557	s638	False
149.621	147.904	1.47	0.10872392638036808	BX	0.0	dot_pattern_expectancy	89.0	BX	283957,284637,285316	s638	True
153.725	152.328	1.47	-0.2112760736196319	AX	1.0	dot_pattern_expectancy	89.0	AX	288716,289396,290076	s638	False
158.515	156.89	1.47	0.016723926380368084	AX	1.0	dot_pattern_expectancy	89.0	AX	292796,293476,294156	s638	False
162.527	161.045	1.47	-0.12627607361963192	AX	1.0	dot_pattern_expectancy	89.0	AX	296876,297556,298238	s638	False
166.855	165.333	1.47	-0.08627607361963191	AX	1.0	dot_pattern_expectancy	89.0	AX	301636,302317	s638	False
170.918	169.485	1.47	-0.1752760736196319	BX	0.0	dot_pattern_expectancy	89.0	BX	305717,306397	s638	True
175.328	173.773	1.47	-0.053276073619631915	AX	1.0	dot_pattern_expectancy	89.0	AX	309797,310477	s638	False
175.276	174.277	1.47	-0.6092760736196319			dot_pattern_expectancy	-1.0		311157,311836,312516,313196,313876,314556,315236,315916,316596,317276,317957	s638	True
189.876	188.298	1.47	-0.030276073619631916	BY	1.0	dot_pattern_expectancy	71.0	BY	324756,325437	s638	False
194.169	192.451	1.47	0.10972392638036808	AY	1.0	dot_pattern_expectancy	71.0	AY	328838,329517	s638	False
197.791	196.463	1.47	-0.2802760736196319	AX	1.0	dot_pattern_expectancy	89.0	AX	332916,333597,334277	s638	False
202.629	201.02	1.47	0.0007239263803680842	BY	1.0	dot_pattern_expectancy	71.0	BY	336997,337677,338356	s638	False
206.967	205.306	1.47	0.05272392638036808	BX	0.0	dot_pattern_expectancy	89.0	BX	341755,342435	s638	True
210.845	209.46	1.47	-0.22327607361963192	AX	1.0	dot_pattern_expectancy	89.0	AX	345837,346517	s638	False
215.248	213.612	1.47	0.027723926380368084	AX	1.0	dot_pattern_expectancy	89.0	AX	349917,350597	s638	False
219.084	217.623	1.47	-0.1472760736196319	AX	1.0	dot_pattern_expectancy	89.0	AX	353997,354677	s638	False
223.187	221.636	1.47	-0.05727607361963192	AY	1.0	dot_pattern_expectancy	71.0	AY	358077,358757,359438	s638	False
227.726	226.196	1.47	-0.07827607361963192	AX	1.0	dot_pattern_expectancy	89.0	AX	362158,362836,363517,364198	s638	False
232.899	231.162	1.47	0.1287239263803681	AX	1.0	dot_pattern_expectancy	89.0	AX	367597,368277	s638	False
237.282	235.586	1.47	0.08772392638036808	AX	1.0	dot_pattern_expectancy	89.0	AX	371677,372357	s638	False
241.16	239.598	1.47	-0.046276073619631916	AX	1.0	dot_pattern_expectancy	89.0	AX	375756,376437,377117	s638	False
245.569	244.019	1.47	-0.05827607361963191	BX	0.0	dot_pattern_expectancy	89.0	BX	379838,380517,381197,381877	s638	True
