movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	trigger_times	worker_id	junk
4.494	3.526	0.795	0.0965333333333333	100.0	True	High-Low	stay	twobytwo	71.0	#1F45FC	8.0	cue_stay	magnitude	stay	poldrack-single-stim	277561,278240,278919	s633	False
7.141	5.91	0.795	0.3595333333333333	100.0	True	Orange-Blue		twobytwo	89.0	orange	7.0	task_switch	color	switch	poldrack-single-stim	279601,280280,280960	s633	False
9.689	8.156	1.595	-0.1384666666666667	900.0	True	Color	switch	twobytwo	89.0	orange	1.0	cue_switch	color	stay	poldrack-single-stim	283000,283680,284360	s633	False
11.981	11.064	0.795	0.0455333333333333	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	1.0	task_switch	magnitude	switch	poldrack-single-stim	285040,285720,286400	s633	False
14.313	13.174	0.795	0.2675333333333333	100.0	True	Orange-Blue		twobytwo	71.0	#1F45FC	1.0	task_switch	color	switch	poldrack-single-stim	287080,287760,288440	s633	False
16.843	15.421	1.595	-0.2494666666666667	900.0	True	High-Low		twobytwo	89.0	#1F45FC	1.0	task_switch	magnitude	switch	poldrack-single-stim	289800,290480,291161	s633	False
19.392	18.331	0.795	0.1895333333333333	100.0	True	Color		twobytwo	89.0	orange	8.0	task_switch	color	switch	poldrack-single-stim	292521,293200,293881	s633	False
22.069	20.576	1.595	-0.1784666666666667	900.0	False	Color	stay	twobytwo	89.0	#1F45FC	1.0	cue_stay	color	stay	poldrack-single-stim	295241,295920,296601,297280	s633	True
24.932	23.894	0.795	0.1665333333333333	100.0	True	High-Low		twobytwo	71.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	297960,298641,299320	s633	False
27.235	26.14	0.795	0.2235333333333333	100.0	True	Orange-Blue		twobytwo	89.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	300000,300681,301360	s633	False
29.24	28.251	0.795	0.11753333333333331	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	302040,302720,303401	s633	False
31.158	30.496	0.795	-0.2094666666666667	100.0	True	Magnitude	stay	twobytwo	89.0	#1F45FC	4.0	cue_stay	magnitude	stay	poldrack-single-stim	304083,304760,305440,306120	s633	False
33.684	32.877	0.795	-0.0644666666666667	100.0	False	Color		twobytwo	71.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	306800,307480,308160	s633	True
36.907	34.986	1.595	0.2495333333333333	900.0	True	Magnitude		twobytwo	71.0	#1F45FC	6.0	task_switch	magnitude	switch	poldrack-single-stim	309520,310200,310881,311560	s633	False
39.713	38.304	1.595	-0.2624666666666667	900.0	True	High-Low	switch	twobytwo	89.0	#1F45FC	2.0	cue_switch	magnitude	stay	poldrack-single-stim	312921,313600,314281	s633	False
43.171	41.214	1.595	0.2855333333333333	900.0	True	Color		twobytwo	89.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	315640,316320,317000,317681	s633	False
45.513	44.259	0.795	0.3825333333333333	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	2.0	task_switch	magnitude	switch	poldrack-single-stim	318360,319040,319720	s633	False
48.536	46.779	1.595	0.08553333333333331	900.0	True	Orange-Blue		twobytwo	89.0	orange	4.0	task_switch	color	switch	poldrack-single-stim	321760,322440,323120	s633	False
51.23	49.823	1.595	-0.2644666666666667	900.0	True	Magnitude		twobytwo	89.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	324481,325161,325841,326521	s633	False
54.527	53.141	1.595	-0.2854666666666667	900.0	True	Orange-Blue		twobytwo	71.0	#1F45FC	8.0	task_switch	color	switch	poldrack-single-stim	327881,328560,329240	s633	False
58.212	56.186	1.595	0.3545333333333333	900.0	True	Color	switch	twobytwo	71.0	#1F45FC	4.0	cue_switch	color	stay	poldrack-single-stim	330599,331280,331960	s633	False
60.125	59.093	0.795	0.1605333333333333	100.0	True	Color	stay	twobytwo	71.0	#1F45FC	9.0	cue_stay	color	stay	poldrack-single-stim	333320,334000,334680	s633	False
