	onset	duration	response_time	trial_type	correct	experiment_exp_id	key_press	stim_color	stim_duration	stim_word	trial_num	worker_id
122	175.702	0.0001	0.777	incongruent	1.0	stroop	89	red	1500.0	blue	79.0	s574
123	177.841	0.0001	0.616	congruent	1.0	stroop	71	blue	1500.0	blue	80.0	s574
124	179.846	0.0001	0.626	incongruent	1.0	stroop	89	red	1500.0	green	81.0	s574
125	181.852	0.0001	0.919	incongruent	1.0	stroop	71	blue	1500.0	green	82.0	s574
126	183.99	0.0001	1.311	incongruent	1.0	stroop	82	green	1500.0	red	83.0	s574
127	186.129	0.0001	0.585	congruent	1.0	stroop	82	green	1500.0	green	84.0	s574
128	188.407	0.0001	1.015	congruent	1.0	stroop	89	red	1500.0	red	85.0	s574
129	191.089	0.0001	0.695	incongruent	1.0	stroop	71	blue	1500.0	green	86.0	s574
130	193.094	0.0001	0.533	congruent	1.0	stroop	89	red	1500.0	red	87.0	s574
131	195.1	0.0001	1.921	congruent	1.0	stroop	82	green	1500.0	green	88.0	s574
132	197.378	0.0001	0.669	incongruent	1.0	stroop	71	blue	1500.0	green	89.0	s574
133	199.383	0.0001	0.499	incongruent	1.0	stroop	89	red	1500.0	blue	90.0	s574
134	201.387	0.0001	-0.001	congruent	0.0	stroop	-1	blue	1500.0	blue	91.0	s574
135	203.392	0.0001	-0.001	incongruent	0.0	stroop	-1	blue	1500.0	red	92.0	s574
136	205.394	0.0001	0.177	incongruent	0.0	stroop	71	red	1500.0	blue	93.0	s574
137	207.397	0.0001	0.673	incongruent	1.0	stroop	71	blue	1500.0	red	94.0	s574
138	209.399	0.0001	0.541	incongruent	1.0	stroop	71	blue	1500.0	green	95.0	s574
