onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	trigger_times	worker_id	junk
106.822	0.56	0.1672598425196851	300.0	0.0	motor_selective_stop_signal	89.0	True	89.0	False	noncrit_nosignal	233398,234079,234759	s629	True
109.078	0.56	-0.018740157480314906	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	235438,236118,236798,237477,238158	s629	False
112.534	0.56	0.2382598425196851	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	238838,239518,240198	s629	False
114.889	0.56	-0.1687401574803149	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	240878,241558,242237,242918	s629	False
117.245	0.56	0.15825984251968508	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	243598,244279,244958	s629	False
119.602	0.56	0.1412598425196851	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	245639,246320,246999,247679	s629	False
122.058	0.56	0.2362598425196851	250.0	0.0	motor_selective_stop_signal	89.0	True	89.0	False	noncrit_signal	248359,249039,249719,250398	s629	True
123.614	0.56	-0.6257401574803149		0.0	motor_selective_stop_signal	-1.0	True		True		251079,251759,252439,253119,253799,254479,255159,255839,256520,257198,257879	s629	True
135.132	0.56	0.1802598425196851	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	260598,261279,261958,262639,263318	s629	False
137.488	0.56	0.2602598425196851	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	263998,264678,265358	s629	False
139.744	0.56	0.014259842519685094	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	266039,266719,267398	s629	False
142.0	0.56	0.1232598425196851	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	268079,268758,269438,270119,270799	s629	False
145.057	0.56	0.15725984251968508	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	271479,272159,272839	s629	False
147.513	0.56	0.42525984251968507	200.0	0.0	motor_selective_stop_signal	89.0	True	89.0	False	noncrit_nosignal	273519,274199,274879,275558	s629	True
149.868	0.56	0.4652598425196851	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	276239,276918,277599	s629	False
152.124	0.56	-0.6257401574803149	150.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	278279,278959,279639,280319,280998	s629	False
155.38	0.56	0.1212598425196851	200.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	281678,282358,283038,283719	s629	False
158.336	0.56	-0.6257401574803149	200.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	284398,285079,285759,286439	s629	False
160.892	0.56	-0.029740157480314906	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	287120,287799,288479,289158	s629	False
163.248	0.56	-0.6257401574803149	250.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	289839,290519,291198	s629	False
165.804	0.56	0.0902598425196851	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	291879,292558,293239,293919	s629	False
