inverse_delay	subjective_value	onset	duration	response_time	choice	experiment_exp_id	key_press	large_amount	later_delay	small_amount	trial_type	trigger_times	worker_id	junk
0.005847953216374269	1.642710472279261	143.174	1.2355	0.5098250000000001	larger_later	discount_fixed	89	35.0	171.0	20.0	larger_later	230261,230942,231622,232302,232981,233662,234341	s618	False
0.023255813953488372	5.568065506653019	147.882	1.2355	-0.5121749999999999	larger_later	discount_fixed	89	34.0	43.0	20.0	larger_later	235022,235700,236381,237061,237741,238421,239103	s618	False
0.008264462809917356	4.814965433102888	152.793	1.2355	-0.36517499999999997	larger_later	discount_fixed	89	74.0	121.0	20.0	larger_later	239781,240462,241141,241822,242501,243182,243861	s618	False
0.009345794392523364	3.2831737346101235	157.363	1.2355	-0.23317499999999997	larger_later	discount_fixed	89	45.0	107.0	20.0	larger_later	244542,245221,245902,246581,247261,247941,248622	s618	False
0.041666666666666664	20.000000000000004	162.139	1.2355	-0.590175	larger_later	discount_fixed	89	77.0	24.0	20.0	larger_later	249302,249982,250661,251341,252021,252702,253381	s618	False
0.006211180124223602	1.9384902143522835	166.778	1.2355	0.13882500000000003	larger_later	discount_fixed	89	39.0	161.0	20.0	larger_later	254062,254741,255422,256101,256782,257461	s618	False
0.005555555555555556	2.7709497206703912	171.348	1.2355	-0.08617499999999996	larger_later	discount_fixed	89	62.0	180.0	20.0	larger_later	258142,258822,259503,260182,260861,261541,262221,262901,263581	s618	False
0.007194244604316547	1.3709389503748663	176.805	1.2355	0.571825	smaller_sooner	discount_fixed	71	24.0	139.0	20.0	smaller_sooner	264261,264941,265621,266301,266981,267662,268341	s618	False
0.013888888888888888	6.073298429319372	182.192	1.2355	-0.40017499999999995	larger_later	discount_fixed	89	58.0	72.0	20.0	larger_later	269021,269702,270381,271061,271742,272422,273101	s618	False
0.010752688172043012	4.649714582252206	186.764	1.2355	0.257825	larger_later	discount_fixed	89	56.0	93.0	20.0	larger_later	273782,274461,275142,275821,276502,277181,277862,278542,279222	s618	False
0.038461538461538464	11.009174311926605	193.038	1.2355	-0.16317499999999996	larger_later	discount_fixed	89	45.0	26.0	20.0	larger_later	279903,280582,281262,281942,282622,283302,283982,284662	s618	False
0.023809523809523808	3.8413361169102296	198.561	1.2355	0.7698250000000001	smaller_sooner	discount_fixed	71	23.0	42.0	20.0	smaller_sooner	285343,286022,286702,287381,288061,288742,289421	s618	False
0.024390243902439025	8.519701810436635	203.133	1.2355	-0.371175	larger_later	discount_fixed	89	50.0	41.0	20.0	larger_later	290103,290781,291462,292141,292822,293501,294182	s618	False
0.005681818181818182	1.1415525114155252	207.773	1.2355	1.3088250000000001	smaller_sooner	discount_fixed	71	25.0	176.0	20.0	smaller_sooner	294861,295542,296221,296902,297581,298262,298941	s618	False
0.045454545454545456	14.948096885813149	212.412	1.2355	-0.26717499999999994	larger_later	discount_fixed	89	54.0	22.0	20.0	larger_later	299622,300302,300982,301662,302342,303022,303702	s618	False
