"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"12990","13","text","0","12992","0.0-0.0","s644","","","","","","","","","","","","","","","",""
"1462","89","poldrack-text","1","15460","0.0-1.0","s644","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1462","500","fmri_response_test","","","","","","","","","","","",""
"700","71","poldrack-text","2","16665","0.0-2.0","s644","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","700","500","fmri_response_test","","","","","","","","","","","",""
"548","82","poldrack-text","3","17719","0.0-3.0","s644","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","548","500","fmri_response_test","","","","","","","","","","","",""
"22306","32","poldrack-single-stim","4","40533","0.0-4.0","s644","","22306","500","instructions","<div class = centerbox><div class = center-text>Respond to the <strong>ink color</strong> of the word!<br><br><span style = ""color:red;padding-left:30px"">WORD</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">WORD</span>: Middle<br><span style = ""color:#4FE829;"">WORD</span>: Ring<br><br>We will start with practice</div></div>","32","22306","","","","","","","","",""
"1126","71","poldrack-categorize","5","43051","0.0-5.0-0.0-0.0","s644","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","500","incongruent","blue","green","1","practice",""
"-1","-1","poldrack-single-stim","6","43307","0.0-5.0-1.0","s644","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"957","71","poldrack-categorize","7","45316","0.0-5.0-2.0-0.0","s644","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","500","incongruent","blue","red","2","practice",""
"-1","-1","poldrack-single-stim","8","45572","0.0-5.0-3.0","s644","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"671","82","poldrack-categorize","9","47583","0.0-5.0-4.0-0.0","s644","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","500","congruent","green","green","3","practice",""
"-1","-1","poldrack-single-stim","10","47838","0.0-5.0-5.0","s644","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"691","82","poldrack-categorize","11","49848","0.0-5.0-6.0-0.0","s644","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","500","incongruent","green","blue","4","practice",""
"-1","-1","poldrack-single-stim","12","50103","0.0-5.0-7.0","s644","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"615","82","poldrack-categorize","13","52113","0.0-5.0-8.0-0.0","s644","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","500","incongruent","green","red","5","practice",""
"-1","-1","poldrack-single-stim","14","52368","0.0-5.0-9.0","s644","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"473","89","poldrack-categorize","15","54379","0.0-5.0-10.0-0.0","s644","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","500","congruent","red","red","6","practice",""
"-1","-1","poldrack-single-stim","16","54635","0.0-5.0-11.0","s644","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"691","89","poldrack-categorize","17","56645","0.0-5.0-12.0-0.0","s644","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","7","practice",""
"-1","-1","poldrack-single-stim","18","56900","0.0-5.0-13.0","s644","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"498","89","poldrack-categorize","19","58908","0.0-5.0-14.0-0.0","s644","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","500","incongruent","red","blue","8","practice",""
"-1","-1","poldrack-single-stim","20","59164","0.0-5.0-15.0","s644","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"848","71","poldrack-categorize","21","61173","0.0-5.0-16.0-0.0","s644","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","9","practice",""
"-1","-1","poldrack-single-stim","22","61429","0.0-5.0-17.0","s644","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"31421","32","poldrack-text","23","92851","0.0-6.0","s644","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","31421","0","fmri_scanner_wait","","","","","","","","","","","",""
"845","84","poldrack-text","24","93697","0.0-7.0","s644","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","845","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","25","94377","0.0-8.0","s644","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"680","84","poldrack-text","26","95058","0.0-9.0","s644","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","27","95737","0.0-10.0","s644","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"680","84","poldrack-text","28","96417","0.0-11.0","s644","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","29","97097","0.0-12.0","s644","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","30","97777","0.0-13.0","s644","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","31","98457","0.0-14.0","s644","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","32","99137","0.0-15.0","s644","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
