"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","bonus"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1722","89","1722","500","fmri_response_test","poldrack-text","0","1724","0.0-0.0","discount_fixed","1007,1686","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","468","71","468","500","fmri_response_test","poldrack-text","1","2697","0.0-1.0","discount_fixed","2367","","","","","","","","",""
"","43657","32","43657","500","instructions","poldrack-single-stim","2","46857","0.0-2.0","discount_fixed","3046,3727,4406,5087,5766,6446,7126","<div class = centerbox><div class = center-text>Choose between <strong>$20 today</strong> or the presented option.<br><br><strong>Index:</strong> Accept option on screen (reject $20 today). <br><br><strong>Middle:</strong> Reject option on screen (accept $20 today)<br><br>We will start with a practice trial.</div></div>","32","43657","","","","","",""
"","2412","71","2412","1000","stim","poldrack-single-stim","3","49773","0.0-3.0","discount_fixed","","<div class = dd-stim><div class = amtbox style = ""color:white"">$53.75</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","2412","practice","","","","",""
"<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","24887","32","24887","0","fmri_scanner_wait","poldrack-text","4","75666","0.0-4.0","discount_fixed","57059,58915,59976,60009,60276,66835","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","915","84","915","0","fmri_trigger_wait","poldrack-text","5","76581","0.0-5.0","discount_fixed","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","6","77261","0.0-6.0","discount_fixed","76581","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","7","77940","0.0-7.0","discount_fixed","77261","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","8","78620","0.0-8.0","discount_fixed","77940","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","9","79300","0.0-9.0","discount_fixed","78621","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","10","79981","0.0-10.0","discount_fixed","79300","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","11","80660","0.0-11.0","discount_fixed","79981","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","12","81341","0.0-12.0","discount_fixed","80660","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","13","82020","0.0-13.0","discount_fixed","81341","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","14","82701","0.0-14.0","discount_fixed","82020","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","15","83380","0.0-15.0","discount_fixed","82701","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","16","84060","0.0-16.0","discount_fixed","83380","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","17","84740","0.0-17.0","discount_fixed","84061","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","18","85421","0.0-18.0","discount_fixed","84741","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","19","86101","0.0-19.0","discount_fixed","85421","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","20","86781","0.0-20.0","discount_fixed","86101","","","","","","","","",""
