"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","15623","89","15623","500","fmri_response_test","poldrack-text","0","15625","0.0-0.0","stroop","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","827","71","827","500","fmri_response_test","poldrack-text","1","16959","0.0-1.0","stroop","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","973","82","973","500","fmri_response_test","poldrack-text","2","18437","0.0-2.0","stroop","","","","","","","","","","","",""
"","45003","32","45003","500","instructions","poldrack-single-stim","3","63946","0.0-3.0","stroop","","<div class = centerbox><div class = center-text>Respond to the <strong>ink color</strong> of the word!<br><br><span style = ""color:red;padding-left:30px"">WORD</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">WORD</span>: Middle<br><span style = ""color:#4FE829;"">WORD</span>: Ring<br><br>We will start with practice</div></div>","32","45003","","","","","","","",""
"","696","89","1500","0","stim","poldrack-categorize","4","66453","0.0-4.0-0.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","500","congruent","red","red","1","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","5","66705","0.0-4.0-1.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","786","71","1500","0","stim","poldrack-categorize","6","68709","0.0-4.0-2.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","500","incongruent","blue","green","2","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","7","68965","0.0-4.0-3.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","699","71","1500","0","stim","poldrack-categorize","8","70970","0.0-4.0-4.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","3","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","9","71225","0.0-4.0-5.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
