SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stopped,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",837,850.0,False,,-67238,250.0,stim,0.0,poldrack-categorize,s633
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",520,850.0,False,,-64622,250.0,stim,1.0,poldrack-categorize,s633
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",475,850.0,False,,-62008,250.0,stim,2.0,poldrack-categorize,s633
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",423,850.0,False,,-59393,250.0,stim,3.0,poldrack-categorize,s633
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",619,850.0,False,,-56777,250.0,stim,4.0,poldrack-categorize,s633
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",575,850.0,False,,-54164,250.0,stim,5.0,poldrack-categorize,s633
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",548,850.0,False,,-51550,250.0,stim,6.0,poldrack-categorize,s633
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",511,850.0,False,,-48936,250.0,stim,7.0,poldrack-categorize,s633
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",565,850.0,False,,-46321,250.0,stim,8.0,poldrack-categorize,s633
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",482,850.0,False,,-43704,250.0,stim,9.0,poldrack-categorize,s633
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",566,850.0,False,,-41091,250.0,stim,10.0,poldrack-categorize,s633
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",468,850.0,False,,-38478,250.0,stim,11.0,poldrack-categorize,s633
