block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
1846.0,,practice,discount_fixed,71,,,"89,71",1846,,1846.0,,-39606,1000.0,stim,poldrack-single-stim,s573
4636.0,smaller_sooner,,discount_fixed,71,67.0,74.0,"89,71",2661,20.0,4000.0,,7650,0.0,,poldrack-single-stim,s573
5316.0,smaller_sooner,,discount_fixed,71,29.0,58.0,"89,71",1841,20.0,4000.0,,12970,0.0,,poldrack-single-stim,s573
4976.0,smaller_sooner,,discount_fixed,71,39.0,104.0,"89,71",1490,20.0,4000.0,,17952,0.0,,poldrack-single-stim,s573
4568.0,smaller_sooner,,discount_fixed,71,33.0,103.0,"89,71",997,20.0,4000.0,,22522,0.0,,poldrack-single-stim,s573
5520.0,larger_later,,discount_fixed,89,33.0,78.0,"89,71",1789,20.0,4000.0,,28048,0.0,,poldrack-single-stim,s573
5588.0,larger_later,,discount_fixed,89,74.0,52.0,"89,71",2763,20.0,4000.0,,33637,0.0,,poldrack-single-stim,s573
5792.0,smaller_sooner,,discount_fixed,71,28.0,132.0,"89,71",1808,20.0,4000.0,,39435,0.0,,poldrack-single-stim,s573
4568.0,smaller_sooner,,discount_fixed,71,28.0,59.0,"89,71",1654,20.0,4000.0,,44006,0.0,,poldrack-single-stim,s573
5112.0,smaller_sooner,,discount_fixed,71,28.0,163.0,"89,71",1150,20.0,4000.0,,49121,0.0,,poldrack-single-stim,s573
4500.0,smaller_sooner,,discount_fixed,71,32.0,74.0,"89,71",1332,20.0,4000.0,,53622,0.0,,poldrack-single-stim,s573
4840.0,larger_later,,discount_fixed,89,57.0,89.0,"89,71",1651,20.0,4000.0,,58465,0.0,,poldrack-single-stim,s573
4568.0,smaller_sooner,,discount_fixed,71,70.0,108.0,"89,71",1202,20.0,4000.0,,63036,0.0,,poldrack-single-stim,s573
5384.0,larger_later,,discount_fixed,89,72.0,95.0,"89,71",1601,20.0,4000.0,,68423,0.0,,poldrack-single-stim,s573
5044.0,larger_later,,discount_fixed,89,30.0,36.0,"89,71",1700,20.0,4000.0,,73468,0.0,,poldrack-single-stim,s573
4704.0,smaller_sooner,,discount_fixed,71,41.0,129.0,"89,71",1061,20.0,4000.0,,78178,0.0,,poldrack-single-stim,s573
4908.0,smaller_sooner,,discount_fixed,71,78.0,129.0,"89,71",2529,20.0,4000.0,,83090,0.0,,poldrack-single-stim,s573
4908.0,smaller_sooner,,discount_fixed,71,71.0,88.0,"89,71",1665,20.0,4000.0,,88004,0.0,,poldrack-single-stim,s573
4840.0,smaller_sooner,,discount_fixed,71,65.0,159.0,"89,71",1727,20.0,4000.0,,92849,0.0,,poldrack-single-stim,s573
5112.0,smaller_sooner,,discount_fixed,71,24.0,125.0,"89,71",1339,20.0,4000.0,,97965,0.0,,poldrack-single-stim,s573
5112.0,larger_later,,discount_fixed,89,58.0,36.0,"89,71",1743,20.0,4000.0,,103080,0.0,,poldrack-single-stim,s573
4704.0,larger_later,,discount_fixed,89,63.0,37.0,"89,71",1869,20.0,4000.0,,107790,0.0,,poldrack-single-stim,s573
4840.0,larger_later,,discount_fixed,89,75.0,41.0,"89,71",859,20.0,4000.0,,112632,0.0,,poldrack-single-stim,s573
4840.0,smaller_sooner,,discount_fixed,71,45.0,72.0,"89,71",2377,20.0,4000.0,,117475,0.0,,poldrack-single-stim,s573
6880.0,smaller_sooner,,discount_fixed,71,25.0,74.0,"89,71",1419,20.0,4000.0,,124361,0.0,,poldrack-single-stim,s573
4568.0,smaller_sooner,,discount_fixed,71,65.0,137.0,"89,71",1367,20.0,4000.0,,128931,0.0,,poldrack-single-stim,s573
4772.0,smaller_sooner,,discount_fixed,71,49.0,140.0,"89,71",993,20.0,4000.0,,133705,0.0,,poldrack-single-stim,s573
7016.0,smaller_sooner,,discount_fixed,71,67.0,103.0,"89,71",833,20.0,4000.0,,140724,0.0,,poldrack-single-stim,s573
4704.0,smaller_sooner,,discount_fixed,71,69.0,172.0,"89,71",1794,20.0,4000.0,,145434,0.0,,poldrack-single-stim,s573
5180.0,larger_later,,discount_fixed,89,66.0,71.0,"89,71",2507,20.0,4000.0,,150618,0.0,,poldrack-single-stim,s573
5044.0,smaller_sooner,,discount_fixed,71,71.0,176.0,"89,71",973,20.0,4000.0,,155663,0.0,,poldrack-single-stim,s573
5316.0,smaller_sooner,,discount_fixed,71,31.0,76.0,"89,71",1366,20.0,4000.0,,160981,0.0,,poldrack-single-stim,s573
4568.0,larger_later,,discount_fixed,89,43.0,19.0,"89,71",1720,20.0,4000.0,,165552,0.0,,poldrack-single-stim,s573
4636.0,smaller_sooner,,discount_fixed,71,60.0,124.0,"89,71",1307,20.0,4000.0,,170192,0.0,,poldrack-single-stim,s573
4908.0,smaller_sooner,,discount_fixed,71,27.0,142.0,"89,71",950,20.0,4000.0,,175104,0.0,,poldrack-single-stim,s573
4500.0,smaller_sooner,,discount_fixed,71,25.0,70.0,"89,71",831,20.0,4000.0,,179606,0.0,,poldrack-single-stim,s573
4976.0,smaller_sooner,,discount_fixed,71,44.0,92.0,"89,71",1088,20.0,4000.0,,184587,0.0,,poldrack-single-stim,s573
4908.0,larger_later,,discount_fixed,89,41.0,27.0,"89,71",1498,20.0,4000.0,,189499,0.0,,poldrack-single-stim,s573
4568.0,smaller_sooner,,discount_fixed,71,64.0,89.0,"89,71",1637,20.0,4000.0,,194070,0.0,,poldrack-single-stim,s573
4500.0,smaller_sooner,,discount_fixed,71,78.0,108.0,"89,71",1102,20.0,4000.0,,198572,0.0,,poldrack-single-stim,s573
6200.0,smaller_sooner,,discount_fixed,71,80.0,145.0,"89,71",1025,20.0,4000.0,,204774,0.0,,poldrack-single-stim,s573
4704.0,smaller_sooner,,discount_fixed,71,41.0,174.0,"89,71",924,20.0,4000.0,,209484,0.0,,poldrack-single-stim,s573
5044.0,smaller_sooner,,discount_fixed,71,42.0,145.0,"89,71",923,20.0,4000.0,,214530,0.0,,poldrack-single-stim,s573
5044.0,smaller_sooner,,discount_fixed,71,36.0,114.0,"89,71",987,20.0,4000.0,,219575,0.0,,poldrack-single-stim,s573
5180.0,larger_later,,discount_fixed,89,58.0,55.0,"89,71",1282,20.0,4000.0,,224759,0.0,,poldrack-single-stim,s573
4976.0,larger_later,,discount_fixed,89,81.0,58.0,"89,71",1150,20.0,4000.0,,229741,0.0,,poldrack-single-stim,s573
