block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
2133.0,,practice,discount_fixed,89,,,"89,71",2133,,2133.0,,-48791,1000.0,stim,poldrack-single-stim,s606
4636.0,larger_later,,discount_fixed,89,79.0,92.0,"89,71",1507,20.0,4000.0,,7658,0.0,,poldrack-single-stim,s606
4568.0,larger_later,,discount_fixed,89,61.0,141.0,"89,71",1574,20.0,4000.0,,12232,0.0,,poldrack-single-stim,s606
4568.0,larger_later,,discount_fixed,89,43.0,38.0,"89,71",2620,20.0,4000.0,,16806,0.0,,poldrack-single-stim,s606
4908.0,smaller_sooner,,discount_fixed,71,66.0,145.0,"89,71",2045,20.0,4000.0,,21716,0.0,,poldrack-single-stim,s606
4840.0,larger_later,,discount_fixed,89,30.0,23.0,"89,71",1950,20.0,4000.0,,26557,0.0,,poldrack-single-stim,s606
5248.0,larger_later,,discount_fixed,89,32.0,57.0,"89,71",2446,20.0,4000.0,,31808,0.0,,poldrack-single-stim,s606
4772.0,smaller_sooner,,discount_fixed,71,27.0,91.0,"89,71",2061,20.0,4000.0,,36586,0.0,,poldrack-single-stim,s606
5996.0,smaller_sooner,,discount_fixed,71,43.0,120.0,"89,71",2253,20.0,4000.0,,42587,0.0,,poldrack-single-stim,s606
5588.0,larger_later,,discount_fixed,89,75.0,60.0,"89,71",2966,20.0,4000.0,,48181,0.0,,poldrack-single-stim,s606
4568.0,smaller_sooner,,discount_fixed,71,34.0,176.0,"89,71",1522,20.0,4000.0,,52750,0.0,,poldrack-single-stim,s606
5112.0,smaller_sooner,,discount_fixed,71,24.0,38.0,"89,71",2216,20.0,4000.0,,57866,0.0,,poldrack-single-stim,s606
5656.0,smaller_sooner,,discount_fixed,71,82.0,74.0,"89,71",2408,20.0,4000.0,,63528,0.0,,poldrack-single-stim,s606
4568.0,larger_later,,discount_fixed,89,58.0,53.0,"89,71",2161,20.0,4000.0,,68101,0.0,,poldrack-single-stim,s606
4772.0,larger_later,,discount_fixed,89,54.0,23.0,"89,71",1773,20.0,4000.0,,72879,0.0,,poldrack-single-stim,s606
5044.0,smaller_sooner,,discount_fixed,71,41.0,55.0,"89,71",2971,20.0,4000.0,,77926,0.0,,poldrack-single-stim,s606
4840.0,smaller_sooner,,discount_fixed,71,77.0,142.0,"89,71",2166,20.0,4000.0,,82772,0.0,,poldrack-single-stim,s606
5180.0,smaller_sooner,,discount_fixed,71,25.0,108.0,"89,71",1820,20.0,4000.0,,87954,0.0,,poldrack-single-stim,s606
5044.0,smaller_sooner,,discount_fixed,71,33.0,163.0,"89,71",1886,20.0,4000.0,,93000,0.0,,poldrack-single-stim,s606
4976.0,smaller_sooner,,discount_fixed,71,29.0,75.0,"89,71",2621,20.0,4000.0,,97978,0.0,,poldrack-single-stim,s606
4976.0,smaller_sooner,,discount_fixed,71,45.0,157.0,"89,71",3405,20.0,4000.0,,102957,0.0,,poldrack-single-stim,s606
5316.0,smaller_sooner,,discount_fixed,71,31.0,74.0,"89,71",2978,20.0,4000.0,,108274,0.0,,poldrack-single-stim,s606
4500.0,larger_later,,discount_fixed,89,80.0,39.0,"89,71",1029,20.0,4000.0,,112780,0.0,,poldrack-single-stim,s606
5044.0,larger_later,,discount_fixed,89,22.0,21.0,"89,71",2661,20.0,4000.0,,117824,0.0,,poldrack-single-stim,s606
4704.0,larger_later,,discount_fixed,89,52.0,139.0,"89,71",2078,20.0,4000.0,,122534,0.0,,poldrack-single-stim,s606
4840.0,larger_later,,discount_fixed,89,54.0,126.0,"89,71",1291,20.0,4000.0,,127380,0.0,,poldrack-single-stim,s606
6744.0,smaller_sooner,,discount_fixed,71,23.0,176.0,"89,71",1395,20.0,4000.0,,134130,0.0,,poldrack-single-stim,s606
4500.0,smaller_sooner,,discount_fixed,71,24.0,87.0,"89,71",1706,20.0,4000.0,,138632,0.0,,poldrack-single-stim,s606
4568.0,smaller_sooner,,discount_fixed,71,36.0,140.0,"89,71",1704,20.0,4000.0,,143202,0.0,,poldrack-single-stim,s606
4704.0,smaller_sooner,,discount_fixed,71,35.0,171.0,"89,71",1471,20.0,4000.0,,147911,0.0,,poldrack-single-stim,s606
4908.0,larger_later,,discount_fixed,89,34.0,43.0,"89,71",3356,20.0,4000.0,,152824,0.0,,poldrack-single-stim,s606
4568.0,larger_later,,discount_fixed,89,74.0,121.0,"89,71",1389,20.0,4000.0,,157395,0.0,,poldrack-single-stim,s606
4772.0,larger_later,,discount_fixed,89,45.0,107.0,"89,71",1867,20.0,4000.0,,162173,0.0,,poldrack-single-stim,s606
4636.0,larger_later,,discount_fixed,89,77.0,24.0,"89,71",1224,20.0,4000.0,,166815,0.0,,poldrack-single-stim,s606
4568.0,smaller_sooner,,discount_fixed,71,39.0,161.0,"89,71",2111,20.0,4000.0,,171387,0.0,,poldrack-single-stim,s606
5452.0,smaller_sooner,,discount_fixed,71,62.0,180.0,"89,71",2379,20.0,4000.0,,176843,0.0,,poldrack-single-stim,s606
5384.0,smaller_sooner,,discount_fixed,71,24.0,139.0,"89,71",1357,20.0,4000.0,,182231,0.0,,poldrack-single-stim,s606
4568.0,larger_later,,discount_fixed,89,58.0,72.0,"89,71",1952,20.0,4000.0,,186802,0.0,,poldrack-single-stim,s606
