CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,switch_type,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
900.0,2000.0,True,71.0,Magnitude,switch,practice,twobytwo,500.0,71.0,"89,71",932.0,#1F45FC,1000.0,8.0,cue_switch,magnitude,stay,,-221297,0.0,stim,0.0,poldrack-categorize,s633
100.0,2000.0,True,71.0,High-Low,switch,practice,twobytwo,500.0,71.0,"89,71",645.0,orange,1000.0,7.0,cue_switch,magnitude,stay,,-217679,0.0,stim,1.0,poldrack-categorize,s633
900.0,2000.0,True,89.0,Magnitude,switch,practice,twobytwo,500.0,89.0,"89,71",498.0,orange,1000.0,1.0,cue_switch,magnitude,stay,,-213258,0.0,stim,2.0,poldrack-categorize,s633
100.0,2000.0,True,89.0,High-Low,switch,practice,twobytwo,500.0,89.0,"89,71",638.0,#1F45FC,1000.0,1.0,cue_switch,magnitude,stay,,-209637,0.0,stim,3.0,poldrack-categorize,s633
900.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",540.0,#1F45FC,1000.0,1.0,task_switch,color,switch,,-205215,0.0,stim,4.0,poldrack-categorize,s633
900.0,2000.0,True,71.0,Color,stay,practice,twobytwo,500.0,71.0,"89,71",575.0,#1F45FC,1000.0,1.0,cue_stay,color,stay,,-200791,0.0,stim,5.0,poldrack-categorize,s633
100.0,2000.0,True,71.0,High-Low,,practice,twobytwo,500.0,71.0,"89,71",1076.0,orange,1000.0,8.0,task_switch,magnitude,switch,,-197169,0.0,stim,6.0,poldrack-categorize,s633
100.0,2000.0,True,89.0,High-Low,stay,practice,twobytwo,500.0,89.0,"89,71",616.0,#1F45FC,1000.0,1.0,cue_stay,magnitude,stay,,-193541,0.0,stim,7.0,poldrack-categorize,s633
100.0,2000.0,True,71.0,High-Low,stay,practice,twobytwo,500.0,71.0,"89,71",903.0,#1F45FC,1000.0,7.0,cue_stay,magnitude,stay,,-189916,0.0,stim,8.0,poldrack-categorize,s633
900.0,2000.0,True,89.0,High-Low,stay,practice,twobytwo,500.0,89.0,"89,71",446.0,orange,1000.0,2.0,cue_stay,magnitude,stay,,-185495,0.0,stim,9.0,poldrack-categorize,s633
