block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",751,500.0,,120211,0.0,probe,26.0,poldrack-single-stim,s625
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",349,500.0,,124499,0.0,probe,27.0,poldrack-single-stim,s625
2860.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",373,500.0,,129875,0.0,probe,28.0,poldrack-single-stim,s625
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",396,500.0,,134162,0.0,probe,29.0,poldrack-single-stim,s625
1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",546,500.0,,138307,0.0,probe,30.0,poldrack-single-stim,s625
2452.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",674,500.0,,143273,0.0,probe,31.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",634,500.0,,147422,0.0,probe,32.0,poldrack-single-stim,s625
1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",507,500.0,,151438,0.0,probe,33.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",399,500.0,,155583,0.0,probe,34.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",451,500.0,,159732,0.0,probe,35.0,poldrack-single-stim,s625
2180.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",299,500.0,,164426,0.0,probe,36.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",399,500.0,,168442,0.0,probe,37.0,poldrack-single-stim,s625
1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",812,500.0,,172586,0.0,probe,38.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",360,500.0,,176732,0.0,probe,39.0,poldrack-single-stim,s625
7500.0,,,,,dot_pattern_expectancy,-1.0,none,-1,7500.0,,184240,1000.0,rest_block,,poldrack-single-stim,s625
2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",380,500.0,,191936,0.0,probe,0.0,poldrack-single-stim,s625
2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",547,500.0,,196763,0.0,probe,1.0,poldrack-single-stim,s625
1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",599,500.0,,200912,0.0,probe,2.0,poldrack-single-stim,s625
1908.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",479,500.0,,205334,0.0,probe,3.0,poldrack-single-stim,s625
3540.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",369,500.0,,211387,0.0,probe,4.0,poldrack-single-stim,s625
1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",542,500.0,,215540,0.0,probe,5.0,poldrack-single-stim,s625
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",712,500.0,,219553,0.0,probe,6.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",391,500.0,,223564,0.0,probe,7.0,poldrack-single-stim,s625
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",380,500.0,,227846,0.0,probe,8.0,poldrack-single-stim,s625
2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",228,500.0,,232812,0.0,probe,9.0,poldrack-single-stim,s625
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",388,500.0,,237234,0.0,probe,10.0,poldrack-single-stim,s625
1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",259,500.0,,241389,0.0,probe,11.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",343,500.0,,245404,0.0,probe,12.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",521,500.0,,249549,0.0,probe,13.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",440,500.0,,253698,0.0,probe,14.0,poldrack-single-stim,s625
2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",357,500.0,,258658,0.0,probe,15.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",445,500.0,,262675,0.0,probe,16.0,poldrack-single-stim,s625
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",378,500.0,,266685,0.0,probe,17.0,poldrack-single-stim,s625
1636.0,AX,0.0,89.0,test,dot_pattern_expectancy,71.0,"89,71",501,500.0,,270835,0.0,probe,18.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",357,500.0,,274979,0.0,probe,19.0,poldrack-single-stim,s625
1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",697,500.0,,279129,0.0,probe,20.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",385,500.0,,283144,0.0,probe,21.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",449,500.0,,287155,0.0,probe,22.0,poldrack-single-stim,s625
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",492,500.0,,291438,0.0,probe,23.0,poldrack-single-stim,s625
2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",396,500.0,,296132,0.0,probe,24.0,poldrack-single-stim,s625
1772.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",282,500.0,,300420,0.0,probe,25.0,poldrack-single-stim,s625
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",791,500.0,,304436,0.0,probe,26.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",338,500.0,,308447,0.0,probe,27.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",386,500.0,,312596,0.0,probe,28.0,poldrack-single-stim,s625
2180.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",740,500.0,,317290,0.0,probe,29.0,poldrack-single-stim,s625
2316.0,AY,0.0,71.0,test,dot_pattern_expectancy,89.0,"89,71",472,500.0,,322117,0.0,probe,30.0,poldrack-single-stim,s625
1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",298,500.0,,326266,0.0,probe,31.0,poldrack-single-stim,s625
2180.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",267,500.0,,330960,0.0,probe,32.0,poldrack-single-stim,s625
2044.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",720,500.0,,335520,0.0,probe,33.0,poldrack-single-stim,s625
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",374,500.0,,339808,0.0,probe,34.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",418,500.0,,343824,0.0,probe,35.0,poldrack-single-stim,s625
2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",367,500.0,,348515,0.0,probe,36.0,poldrack-single-stim,s625
2452.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",663,500.0,,353478,0.0,probe,37.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",711,500.0,,357628,0.0,probe,38.0,poldrack-single-stim,s625
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",437,500.0,,362049,0.0,probe,39.0,poldrack-single-stim,s625
7500.0,,,,,dot_pattern_expectancy,-1.0,none,-1,7500.0,,369553,1000.0,rest_block,,poldrack-single-stim,s625
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",339,500.0,,376839,0.0,probe,0.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",374,500.0,,380855,0.0,probe,1.0,poldrack-single-stim,s625
