CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,switch_type,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
100.0,2000.0,False,71.0,Orange-Blue,,practice,twobytwo,500.0,-1.0,"89,71",-1.0,#1F45FC,1000.0,7.0,task_switch,color,switch,,-107990,0.0,stim,0.0,poldrack-categorize,s642
900.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",566.0,orange,1000.0,2.0,task_switch,magnitude,switch,,-103576,0.0,stim,1.0,poldrack-categorize,s642
900.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",431.0,#1F45FC,1000.0,6.0,task_switch,color,switch,,-99165,0.0,stim,2.0,poldrack-categorize,s642
100.0,2000.0,True,71.0,Color,stay,practice,twobytwo,500.0,71.0,"89,71",854.0,#1F45FC,1000.0,3.0,cue_stay,color,stay,,-95553,0.0,stim,3.0,poldrack-categorize,s642
100.0,2000.0,True,71.0,Orange-Blue,switch,practice,twobytwo,500.0,71.0,"89,71",892.0,#1F45FC,1000.0,6.0,cue_switch,color,stay,,-91942,0.0,stim,4.0,poldrack-categorize,s642
900.0,2000.0,True,89.0,Orange-Blue,stay,practice,twobytwo,500.0,89.0,"89,71",402.0,orange,1000.0,1.0,cue_stay,color,stay,,-87531,0.0,stim,5.0,poldrack-categorize,s642
900.0,2000.0,True,89.0,Color,switch,practice,twobytwo,500.0,89.0,"89,71",502.0,orange,1000.0,9.0,cue_switch,color,stay,,-83120,0.0,stim,6.0,poldrack-categorize,s642
900.0,2000.0,True,89.0,High-Low,,practice,twobytwo,500.0,89.0,"89,71",520.0,orange,1000.0,2.0,task_switch,magnitude,switch,,-78708,0.0,stim,7.0,poldrack-categorize,s642
100.0,2000.0,True,89.0,High-Low,stay,practice,twobytwo,500.0,89.0,"89,71",904.0,#1F45FC,1000.0,4.0,cue_stay,magnitude,stay,,-75095,0.0,stim,8.0,poldrack-categorize,s642
100.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",870.0,#1F45FC,1000.0,2.0,task_switch,color,switch,,-71484,0.0,stim,9.0,poldrack-categorize,s642
900.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",549.0,orange,1000.0,3.0,task_switch,magnitude,switch,,-67071,0.0,stim,10.0,poldrack-categorize,s642
100.0,2000.0,True,89.0,High-Low,switch,practice,twobytwo,500.0,89.0,"89,71",815.0,#1F45FC,1000.0,3.0,cue_switch,magnitude,stay,,-63457,0.0,stim,11.0,poldrack-categorize,s642
900.0,2000.0,True,71.0,Magnitude,switch,practice,twobytwo,500.0,71.0,"89,71",519.0,orange,1000.0,8.0,cue_switch,magnitude,stay,,-59045,0.0,stim,12.0,poldrack-categorize,s642
100.0,2000.0,True,89.0,Color,,practice,twobytwo,500.0,89.0,"89,71",650.0,orange,1000.0,7.0,task_switch,color,switch,,-55433,0.0,stim,13.0,poldrack-categorize,s642
100.0,2000.0,True,89.0,High-Low,,practice,twobytwo,500.0,89.0,"89,71",645.0,orange,1000.0,3.0,task_switch,magnitude,switch,,-51821,0.0,stim,14.0,poldrack-categorize,s642
900.0,2000.0,True,71.0,High-Low,stay,practice,twobytwo,500.0,71.0,"89,71",499.0,orange,1000.0,9.0,cue_stay,magnitude,stay,,-47409,0.0,stim,15.0,poldrack-categorize,s642
900.0,2272.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",559.0,#1F45FC,1000.0,7.0,cue_stay,magnitude,stay,,6686,0.0,stim,0.0,poldrack-single-stim,s642
100.0,2136.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",591.0,orange,1000.0,2.0,task_switch,color,switch,,8928,0.0,stim,1.0,poldrack-single-stim,s642
100.0,2000.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",644.0,#1F45FC,1000.0,6.0,cue_switch,color,stay,,11035,0.0,stim,2.0,poldrack-single-stim,s642
100.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",667.0,#1F45FC,1000.0,3.0,task_switch,magnitude,switch,,13140,0.0,stim,3.0,poldrack-single-stim,s642
100.0,2136.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",790.0,#1F45FC,1000.0,6.0,task_switch,color,switch,,15381,0.0,stim,4.0,poldrack-single-stim,s642
100.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",481.0,orange,1000.0,1.0,task_switch,magnitude,switch,,17487,0.0,stim,5.0,poldrack-single-stim,s642
100.0,2136.0,False,89.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",613.0,orange,1000.0,9.0,task_switch,color,switch,,19728,0.0,stim,6.0,poldrack-single-stim,s642
100.0,2408.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",571.0,orange,1000.0,2.0,cue_stay,color,stay,,22242,0.0,stim,7.0,poldrack-single-stim,s642
900.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",573.0,#1F45FC,1000.0,4.0,task_switch,magnitude,switch,,25283,0.0,stim,8.0,poldrack-single-stim,s642
