CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,switch_type,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
100.0,2000.0,True,89.0,Orange-Blue,switch,practice,twobytwo,500.0,89.0,"89,71",729.0,orange,1000.0,8.0,cue_switch,color,stay,,-106141,0.0,stim,0.0,poldrack-categorize,s596
100.0,2000.0,True,89.0,Color,switch,practice,twobytwo,500.0,89.0,"89,71",697.0,orange,1000.0,2.0,cue_switch,color,stay,,-102525,0.0,stim,1.0,poldrack-categorize,s596
100.0,2000.0,True,71.0,High-Low,,practice,twobytwo,500.0,71.0,"89,71",759.0,orange,1000.0,9.0,task_switch,magnitude,switch,,-98909,0.0,stim,2.0,poldrack-categorize,s596
900.0,2000.0,True,89.0,Color,,practice,twobytwo,500.0,89.0,"89,71",581.0,orange,1000.0,2.0,task_switch,color,switch,,-94488,0.0,stim,3.0,poldrack-categorize,s596
900.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",640.0,#1F45FC,1000.0,1.0,task_switch,magnitude,switch,,-90072,0.0,stim,4.0,poldrack-categorize,s596
100.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",693.0,orange,1000.0,3.0,task_switch,color,switch,,-86456,0.0,stim,5.0,poldrack-categorize,s596
900.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",489.0,#1F45FC,1000.0,8.0,task_switch,magnitude,switch,,-82040,0.0,stim,6.0,poldrack-categorize,s596
900.0,2000.0,True,89.0,Magnitude,stay,practice,twobytwo,500.0,89.0,"89,71",453.0,orange,1000.0,2.0,cue_stay,magnitude,stay,,-77623,0.0,stim,7.0,poldrack-categorize,s596
100.0,2000.0,True,71.0,Magnitude,stay,practice,twobytwo,500.0,71.0,"89,71",636.0,orange,1000.0,8.0,cue_stay,magnitude,stay,,-74007,0.0,stim,8.0,poldrack-categorize,s596
100.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",1042.0,#1F45FC,1000.0,4.0,task_switch,color,switch,,-70388,0.0,stim,9.0,poldrack-categorize,s596
100.0,2000.0,True,71.0,High-Low,,practice,twobytwo,500.0,71.0,"89,71",758.0,orange,1000.0,8.0,task_switch,magnitude,switch,,-66766,0.0,stim,10.0,poldrack-categorize,s596
900.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",582.0,#1F45FC,1000.0,4.0,task_switch,color,switch,,-62343,0.0,stim,11.0,poldrack-categorize,s596
900.0,2000.0,True,89.0,Color,switch,practice,twobytwo,500.0,89.0,"89,71",433.0,orange,1000.0,6.0,cue_switch,color,stay,,-57921,0.0,stim,12.0,poldrack-categorize,s596
100.0,2000.0,True,71.0,Color,stay,practice,twobytwo,500.0,71.0,"89,71",760.0,#1F45FC,1000.0,3.0,cue_stay,color,stay,,-54303,0.0,stim,13.0,poldrack-categorize,s596
900.0,2000.0,True,89.0,Color,stay,practice,twobytwo,500.0,89.0,"89,71",461.0,orange,1000.0,4.0,cue_stay,color,stay,,-49884,0.0,stim,14.0,poldrack-categorize,s596
900.0,2000.0,True,71.0,Orange-Blue,switch,practice,twobytwo,500.0,71.0,"89,71",413.0,#1F45FC,1000.0,1.0,cue_switch,color,stay,,-45468,0.0,stim,15.0,poldrack-categorize,s596
900.0,3224.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",509.0,orange,1000.0,8.0,cue_stay,magnitude,stay,,7648,0.0,stim,0.0,poldrack-single-stim,s596
100.0,2408.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",683.0,orange,1000.0,2.0,task_switch,color,switch,,10161,0.0,stim,1.0,poldrack-single-stim,s596
900.0,2816.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",532.0,orange,1000.0,9.0,task_switch,magnitude,switch,,13889,0.0,stim,2.0,poldrack-single-stim,s596
100.0,2408.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",845.0,orange,1000.0,2.0,task_switch,color,switch,,16406,0.0,stim,3.0,poldrack-single-stim,s596
900.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",489.0,#1F45FC,1000.0,1.0,task_switch,magnitude,switch,,19446,0.0,stim,4.0,poldrack-single-stim,s596
900.0,2136.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",503.0,orange,1000.0,3.0,cue_stay,magnitude,stay,,22487,0.0,stim,5.0,poldrack-single-stim,s596
900.0,2000.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",487.0,#1F45FC,1000.0,8.0,cue_switch,magnitude,stay,,25394,0.0,stim,6.0,poldrack-single-stim,s596
100.0,2000.0,True,89.0,High-Low,switch,test,twobytwo,,89.0,"89,71",679.0,orange,1000.0,2.0,cue_switch,magnitude,stay,,27500,0.0,stim,7.0,poldrack-single-stim,s596
