CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,switch_type,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
100.0,2000.0,True,89.0,High-Low,,practice,twobytwo,500.0,89.0,"89,71",943.0,#1F45FC,1000.0,1.0,task_switch,magnitude,switch,,-104070,0.0,stim,0.0,poldrack-categorize,s621
900.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",565.0,#1F45FC,1000.0,4.0,task_switch,color,switch,,-99650,0.0,stim,1.0,poldrack-categorize,s621
100.0,2000.0,True,89.0,Color,switch,practice,twobytwo,500.0,89.0,"89,71",1087.0,#1F45FC,1000.0,7.0,cue_switch,color,stay,,-96033,0.0,stim,2.0,poldrack-categorize,s621
900.0,2000.0,True,71.0,Color,stay,practice,twobytwo,500.0,71.0,"89,71",428.0,orange,1000.0,7.0,cue_stay,color,stay,,-91617,0.0,stim,3.0,poldrack-categorize,s621
100.0,2000.0,True,89.0,Color,stay,practice,twobytwo,500.0,89.0,"89,71",636.0,#1F45FC,1000.0,8.0,cue_stay,color,stay,,-88001,0.0,stim,4.0,poldrack-categorize,s621
900.0,2000.0,True,89.0,Orange-Blue,switch,practice,twobytwo,500.0,89.0,"89,71",436.0,#1F45FC,1000.0,4.0,cue_switch,color,stay,,-83585,0.0,stim,5.0,poldrack-categorize,s621
900.0,2000.0,True,89.0,Color,switch,practice,twobytwo,500.0,89.0,"89,71",431.0,#1F45FC,1000.0,9.0,cue_switch,color,stay,,-79169,0.0,stim,6.0,poldrack-categorize,s621
100.0,2000.0,True,89.0,Color,stay,practice,twobytwo,500.0,89.0,"89,71",578.0,#1F45FC,1000.0,3.0,cue_stay,color,stay,,-75554,0.0,stim,7.0,poldrack-categorize,s621
900.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",506.0,#1F45FC,1000.0,8.0,task_switch,magnitude,switch,,-71137,0.0,stim,8.0,poldrack-categorize,s621
100.0,2000.0,True,71.0,High-Low,switch,practice,twobytwo,500.0,71.0,"89,71",901.0,#1F45FC,1000.0,6.0,cue_switch,magnitude,stay,,-67519,0.0,stim,9.0,poldrack-categorize,s621
900.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",451.0,#1F45FC,1000.0,7.0,task_switch,color,switch,,-63100,0.0,stim,10.0,poldrack-categorize,s621
100.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",757.0,#1F45FC,1000.0,2.0,task_switch,magnitude,switch,,-59483,0.0,stim,11.0,poldrack-categorize,s621
100.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",716.0,orange,1000.0,7.0,task_switch,color,switch,,-55867,0.0,stim,12.0,poldrack-categorize,s621
900.0,2000.0,True,71.0,Orange-Blue,stay,practice,twobytwo,500.0,71.0,"89,71",562.0,orange,1000.0,6.0,cue_stay,color,stay,,-51446,0.0,stim,13.0,poldrack-categorize,s621
900.0,2000.0,False,71.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",803.0,#1F45FC,1000.0,8.0,task_switch,magnitude,switch,,-47030,0.0,stim,14.0,poldrack-categorize,s621
100.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",836.0,#1F45FC,1000.0,1.0,task_switch,color,switch,,-43414,0.0,stim,15.0,poldrack-categorize,s621
100.0,2136.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",712.0,#1F45FC,1000.0,1.0,cue_switch,color,stay,,5754,0.0,stim,0.0,poldrack-single-stim,s621
900.0,2272.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",659.0,#1F45FC,1000.0,4.0,task_switch,magnitude,switch,,8932,0.0,stim,1.0,poldrack-single-stim,s621
900.0,2136.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",481.0,#1F45FC,1000.0,7.0,task_switch,color,switch,,11978,0.0,stim,2.0,poldrack-single-stim,s621
900.0,2272.0,True,71.0,Orange-Blue,stay,test,twobytwo,,71.0,"89,71",469.0,orange,1000.0,7.0,cue_stay,color,stay,,15155,0.0,stim,3.0,poldrack-single-stim,s621
900.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",576.0,#1F45FC,1000.0,8.0,task_switch,magnitude,switch,,18063,0.0,stim,4.0,poldrack-single-stim,s621
900.0,2816.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",525.0,#1F45FC,1000.0,4.0,cue_stay,magnitude,stay,,21782,0.0,stim,5.0,poldrack-single-stim,s621
900.0,2408.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",581.0,#1F45FC,1000.0,9.0,cue_switch,magnitude,stay,,25098,0.0,stim,6.0,poldrack-single-stim,s621
900.0,2000.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",486.0,#1F45FC,1000.0,3.0,cue_stay,magnitude,stay,,28010,0.0,stim,7.0,poldrack-single-stim,s621
900.0,2544.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",530.0,#1F45FC,1000.0,8.0,cue_stay,magnitude,stay,,31460,0.0,stim,8.0,poldrack-single-stim,s621
900.0,2136.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",727.0,#1F45FC,1000.0,6.0,task_switch,color,switch,,34504,0.0,stim,9.0,poldrack-single-stim,s621
100.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",773.0,#1F45FC,1000.0,7.0,task_switch,magnitude,switch,,36612,0.0,stim,10.0,poldrack-single-stim,s621
100.0,2000.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",635.0,#1F45FC,1000.0,2.0,cue_stay,magnitude,stay,,38719,0.0,stim,11.0,poldrack-single-stim,s621
900.0,2136.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",493.0,orange,1000.0,7.0,cue_switch,magnitude,stay,,41759,0.0,stim,12.0,poldrack-single-stim,s621
900.0,2136.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",514.0,orange,1000.0,6.0,cue_stay,magnitude,stay,,44799,0.0,stim,13.0,poldrack-single-stim,s621
100.0,2272.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",927.0,#1F45FC,1000.0,8.0,task_switch,color,switch,,47178,0.0,stim,14.0,poldrack-single-stim,s621
900.0,3224.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",493.0,#1F45FC,1000.0,1.0,cue_switch,color,stay,,51311,0.0,stim,15.0,poldrack-single-stim,s621
100.0,2000.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",939.0,orange,1000.0,3.0,cue_switch,color,stay,,53418,0.0,stim,16.0,poldrack-single-stim,s621
900.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",655.0,#1F45FC,1000.0,8.0,task_switch,magnitude,switch,,56324,0.0,stim,17.0,poldrack-single-stim,s621
900.0,2272.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",416.0,orange,1000.0,9.0,task_switch,color,switch,,59503,0.0,stim,18.0,poldrack-single-stim,s621
900.0,2136.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",514.0,orange,1000.0,7.0,task_switch,magnitude,switch,,62549,0.0,stim,19.0,poldrack-single-stim,s621
100.0,2000.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",814.0,orange,1000.0,1.0,cue_switch,magnitude,stay,,64660,0.0,stim,20.0,poldrack-single-stim,s621
900.0,2000.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",586.0,#1F45FC,1000.0,3.0,cue_stay,magnitude,stay,,67567,0.0,stim,21.0,poldrack-single-stim,s621
100.0,2000.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",867.0,#1F45FC,1000.0,8.0,cue_stay,magnitude,stay,,69674,0.0,stim,22.0,poldrack-single-stim,s621
100.0,2680.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",587.0,#1F45FC,1000.0,9.0,cue_stay,magnitude,stay,,72462,0.0,stim,23.0,poldrack-single-stim,s621
900.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",461.0,orange,1000.0,7.0,task_switch,color,switch,,75370,0.0,stim,24.0,poldrack-single-stim,s621
100.0,2272.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",623.0,#1F45FC,1000.0,9.0,task_switch,magnitude,switch,,77750,0.0,stim,25.0,poldrack-single-stim,s621
900.0,2000.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",825.0,#1F45FC,1000.0,8.0,task_switch,color,switch,,80660,0.0,stim,26.0,poldrack-single-stim,s621
100.0,2272.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",890.0,orange,1000.0,1.0,cue_switch,color,stay,,83039,0.0,stim,27.0,poldrack-single-stim,s621
900.0,2952.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",412.0,#1F45FC,1000.0,2.0,cue_switch,color,stay,,86900,0.0,stim,28.0,poldrack-single-stim,s621
100.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",562.0,orange,1000.0,9.0,task_switch,magnitude,switch,,89007,0.0,stim,29.0,poldrack-single-stim,s621
