CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,switch_type,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
900.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",554.0,orange,1000.0,9.0,task_switch,magnitude,switch,,46096,0.0,stim,14.0,poldrack-single-stim,s251
900.0,2000.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",556.0,orange,1000.0,8.0,cue_stay,magnitude,stay,,49000,0.0,stim,15.0,poldrack-single-stim,s251
900.0,2272.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",696.0,#1F45FC,1000.0,9.0,task_switch,color,switch,,52176,0.0,stim,16.0,poldrack-single-stim,s251
100.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",808.0,#1F45FC,1000.0,1.0,task_switch,magnitude,switch,,54282,0.0,stim,17.0,poldrack-single-stim,s251
100.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",672.0,orange,1000.0,7.0,task_switch,color,switch,,56387,0.0,stim,18.0,poldrack-single-stim,s251
900.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",593.0,orange,1000.0,8.0,task_switch,magnitude,switch,,59297,0.0,stim,19.0,poldrack-single-stim,s251
900.0,2680.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",628.0,#1F45FC,1000.0,3.0,cue_stay,magnitude,stay,,62881,0.0,stim,20.0,poldrack-single-stim,s251
100.0,2000.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",699.0,orange,1000.0,6.0,cue_stay,magnitude,stay,,64986,0.0,stim,21.0,poldrack-single-stim,s251
900.0,2136.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",396.0,orange,1000.0,3.0,task_switch,color,switch,,68028,0.0,stim,22.0,poldrack-single-stim,s251
100.0,2408.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",1011.0,#1F45FC,1000.0,9.0,cue_switch,color,stay,,70541,0.0,stim,23.0,poldrack-single-stim,s251
100.0,2136.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",602.0,orange,1000.0,9.0,cue_stay,color,stay,,72782,0.0,stim,24.0,poldrack-single-stim,s251
900.0,2000.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",622.0,#1F45FC,1000.0,7.0,cue_stay,color,stay,,75687,0.0,stim,25.0,poldrack-single-stim,s251
100.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1077.0,orange,1000.0,2.0,task_switch,magnitude,switch,,77791,0.0,stim,26.0,poldrack-single-stim,s251
100.0,2544.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",752.0,orange,1000.0,2.0,task_switch,color,switch,,80442,0.0,stim,27.0,poldrack-single-stim,s251
900.0,2136.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",754.0,orange,1000.0,2.0,cue_stay,color,stay,,83483,0.0,stim,28.0,poldrack-single-stim,s251
900.0,2544.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",407.0,#1F45FC,1000.0,8.0,cue_stay,color,stay,,86932,0.0,stim,29.0,poldrack-single-stim,s251
100.0,2680.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",686.0,#1F45FC,1000.0,8.0,task_switch,magnitude,switch,,89718,0.0,stim,30.0,poldrack-single-stim,s251
100.0,2000.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",752.0,#1F45FC,1000.0,2.0,cue_switch,magnitude,stay,,91822,0.0,stim,31.0,poldrack-single-stim,s251
100.0,2272.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",593.0,orange,1000.0,7.0,task_switch,color,switch,,94199,0.0,stim,32.0,poldrack-single-stim,s251
900.0,3088.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",536.0,#1F45FC,1000.0,2.0,task_switch,magnitude,switch,,98193,0.0,stim,33.0,poldrack-single-stim,s251
100.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",959.0,#1F45FC,1000.0,6.0,task_switch,color,switch,,100298,0.0,stim,34.0,poldrack-single-stim,s251
100.0,2136.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",634.0,#1F45FC,1000.0,8.0,cue_stay,color,stay,,102539,0.0,stim,35.0,poldrack-single-stim,s251
900.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",473.0,orange,1000.0,8.0,task_switch,magnitude,switch,,105581,0.0,stim,36.0,poldrack-single-stim,s251
