block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
5520.0,larger_later,,discount_fixed,89,45.0,26.0,"89,71",1832,20.0,4000.0,,198296,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,23.0,42.0,"89,71",3431,20.0,4000.0,,202867,0.0,,poldrack-single-stim,s590
4636.0,larger_later,,discount_fixed,89,50.0,41.0,"89,71",1816,20.0,4000.0,,207507,0.0,,poldrack-single-stim,s590
4636.0,smaller_sooner,,discount_fixed,71,25.0,176.0,"89,71",1897,20.0,4000.0,,212148,0.0,,poldrack-single-stim,s590
5112.0,larger_later,,discount_fixed,89,54.0,22.0,"89,71",1887,20.0,4000.0,,217262,0.0,,poldrack-single-stim,s590
5316.0,smaller_sooner,,discount_fixed,71,29.0,44.0,"89,71",1524,20.0,4000.0,,222585,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,24.0,89.0,"89,71",1409,20.0,4000.0,,227156,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,23.0,77.0,"89,71",1912,20.0,4000.0,,231728,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,27.0,130.0,"89,71",1264,20.0,4000.0,,236297,0.0,,poldrack-single-stim,s590
4840.0,smaller_sooner,,discount_fixed,71,23.0,134.0,"89,71",1025,20.0,4000.0,,241140,0.0,,poldrack-single-stim,s590
4500.0,smaller_sooner,,discount_fixed,71,55.0,107.0,"89,71",2306,20.0,4000.0,,245642,0.0,,poldrack-single-stim,s590
5656.0,smaller_sooner,,discount_fixed,71,44.0,143.0,"89,71",851,20.0,4000.0,,251301,0.0,,poldrack-single-stim,s590
4908.0,smaller_sooner,,discount_fixed,71,23.0,110.0,"89,71",988,20.0,4000.0,,256213,0.0,,poldrack-single-stim,s590
4636.0,smaller_sooner,,discount_fixed,71,65.0,156.0,"89,71",1769,20.0,4000.0,,260852,0.0,,poldrack-single-stim,s590
4500.0,smaller_sooner,,discount_fixed,71,22.0,27.0,"89,71",1709,20.0,4000.0,,265354,0.0,,poldrack-single-stim,s590
4500.0,larger_later,,discount_fixed,89,50.0,59.0,"89,71",2148,20.0,4000.0,,269858,0.0,,poldrack-single-stim,s590
5112.0,smaller_sooner,,discount_fixed,71,85.0,129.0,"89,71",1690,20.0,4000.0,,274971,0.0,,poldrack-single-stim,s590
6132.0,larger_later,,discount_fixed,89,66.0,58.0,"89,71",2672,20.0,4000.0,,281106,0.0,,poldrack-single-stim,s590
4840.0,smaller_sooner,,discount_fixed,71,49.0,172.0,"89,71",1081,20.0,4000.0,,285947,0.0,,poldrack-single-stim,s590
4568.0,larger_later,,discount_fixed,89,73.0,44.0,"89,71",1588,20.0,4000.0,,290518,0.0,,poldrack-single-stim,s590
4704.0,smaller_sooner,,discount_fixed,71,58.0,73.0,"89,71",1929,20.0,4000.0,,295227,0.0,,poldrack-single-stim,s590
5860.0,larger_later,,discount_fixed,89,71.0,76.0,"89,71",2807,20.0,4000.0,,301089,0.0,,poldrack-single-stim,s590
4636.0,smaller_sooner,,discount_fixed,71,67.0,74.0,"89,71",3302,20.0,4000.0,,305729,0.0,,poldrack-single-stim,s590
5316.0,smaller_sooner,,discount_fixed,71,29.0,58.0,"89,71",1320,20.0,4000.0,,319553,0.0,,poldrack-single-stim,s590
4976.0,smaller_sooner,,discount_fixed,71,39.0,104.0,"89,71",1459,20.0,4000.0,,324535,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,33.0,103.0,"89,71",910,20.0,4000.0,,329106,0.0,,poldrack-single-stim,s590
5520.0,smaller_sooner,,discount_fixed,71,33.0,78.0,"89,71",1238,20.0,4000.0,,334631,0.0,,poldrack-single-stim,s590
5588.0,smaller_sooner,,discount_fixed,71,74.0,52.0,"89,71",1357,20.0,4000.0,,340220,0.0,,poldrack-single-stim,s590
5792.0,smaller_sooner,,discount_fixed,71,28.0,132.0,"89,71",1348,20.0,4000.0,,346018,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,28.0,59.0,"89,71",1571,20.0,4000.0,,350589,0.0,,poldrack-single-stim,s590
5112.0,smaller_sooner,,discount_fixed,71,28.0,163.0,"89,71",1186,20.0,4000.0,,355704,0.0,,poldrack-single-stim,s590
4500.0,smaller_sooner,,discount_fixed,71,32.0,74.0,"89,71",1204,20.0,4000.0,,360205,0.0,,poldrack-single-stim,s590
4840.0,smaller_sooner,,discount_fixed,71,57.0,89.0,"89,71",2519,20.0,4000.0,,365047,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,70.0,108.0,"89,71",1808,20.0,4000.0,,369620,0.0,,poldrack-single-stim,s590
