"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","current_position","num_moves_made","min_moves","start_state","goal_state","condition","problem_id","exp_stage","problem_time","correct"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1819","89","1819","500","fmri_response_test","poldrack-text","0","1822","0.0-0.0","ward_and_allport","","","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","1282","71","1282","500","fmri_response_test","poldrack-text","1","3606","0.0-1.0","ward_and_allport","","","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","1305","82","1305","500","fmri_response_test","poldrack-text","2","5417","0.0-2.0","ward_and_allport","","","","","","","","","","","","","",""
"","12872","32","12872","0","instructions","poldrack-single-stim","3","18796","0.0-3.0","ward_and_allport","","<div class = centerbox><div class = center-text>Solve the Tower Tasks!<br><br>Plan ahead first and work swiftly!<br><br>We'll start with some practice.</div></div>","32","12872","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","28776","32","28776","0","fmri_scanner_wait","poldrack-text","4","47573","0.0-4.0","ward_and_allport","30110,31968,33027,33060,33327,39498","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","618","84","618","0","fmri_trigger_wait","poldrack-text","5","48191","0.0-5.0","ward_and_allport","","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","6","48871","0.0-6.0","ward_and_allport","48192","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","7","49552","0.0-7.0","ward_and_allport","48872","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","8","50231","0.0-8.0","ward_and_allport","49553","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","9","50912","0.0-9.0","ward_and_allport","50232","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","10","51592","0.0-10.0","ward_and_allport","50912","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","11","52272","0.0-11.0","ward_and_allport","51592","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","12","52952","0.0-12.0","ward_and_allport","52272","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","13","53632","0.0-13.0","ward_and_allport","52952","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","14","54312","0.0-14.0","ward_and_allport","53633","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","15","54993","0.0-15.0","ward_and_allport","54312","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","16","55672","0.0-16.0","ward_and_allport","54993","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","17","56352","0.0-17.0","ward_and_allport","55673","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","18","57032","0.0-18.0","ward_and_allport","56353","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","19","57714","0.0-19.0","ward_and_allport","57032","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","84","678","0","fmri_trigger_wait","poldrack-text","20","58392","0.0-20.0","ward_and_allport","57715","","","","","","","","","","","","",""
"","-1","-1","1000","0","fmri_buffer","poldrack-single-stim","21","59399","0.0-21.0","ward_and_allport","58393,59073","","none","1000","","","","","","","","","",""
"","-1","-1","1500","500","practice_start_block","poldrack-single-stim","22","60902","0.0-22.0","ward_and_allport","59752,60432","<div class = centerbox><div class = center-text>About to start practice</p></div>","none","1500","","","","","","","","","",""
"","2984","71","2984","0","to_hand","poldrack-single-stim","23","64390","0.0-23.0-0.0-0.0","ward_and_allport","61112,61792,62472,63152,63832","<div class = watt_canvas><div class=""watt_vertical_line""></div></div><div class = watt_your_board><div class = watt_base></div><div class = watt_board_label><strong>Your Board</strong></div><div id = watt_peg_1><div class = watt_peg></div></div><div class = special id = watt_peg_1 onclick = ""pegClick(this.id)""><div class = ""watt_ball watt_Blue""><div class = watt_ball_label>B</div></div></div><div id = watt_peg_2><div class = watt_peg></div></div><div class = special id = watt_peg_2 onclick = ""pegClick(this.id)""><div class = ""watt_ball watt_Green""><div class = watt_ball_label>G</div></div><div class = ""watt_ball watt_Red""><div class = watt_ball_label>R</div></div></div><div id = watt_peg_3><div class = watt_peg></div></div><div id = watt_peg_3 onclick = ""pegClick(this.id)""></div></div><div class = watt_peg_board><div class = watt_base></div><div class = watt_board_label><strong>Target Board</strong></div><div id = watt_peg_1><div class = watt_peg></div></div><div id = watt_peg_1 ><div class = ""watt_ball watt_Blue""><div class = watt_ball_label>B</div></div><div class = ""watt_ball watt_Green""><div class = watt_ball_label>G</div></div><div class = ""watt_ball watt_Red""><div class = watt_ball_label>R</div></div></div><div id = watt_peg_2><div class = watt_peg></div></div><div id = watt_peg_2 ></div><div id = watt_peg_3><div class = watt_peg></div></div><div id = watt_peg_3 ></div></div><div class = watt_hand_box></div><div class = watt_hand_label><strong>Ball in Hand</strong></div>","89,71","2984","1,0,0,2,0,0,0,0,0","1","3","1,0,0,2,3,0,0,0,0","1,2,3,0,0,0,0,0,0","UA_with_intermeidate","0","practice","",""
