"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"513","89","poldrack-single-stim","82","180220","0.0-26.0-39.0","s593","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","39","test",""
"561","82","poldrack-single-stim","83","182222","0.0-26.0-40.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","40","test",""
"476","89","poldrack-single-stim","84","184635","0.0-26.0-41.0","s593","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","41","test",""
"385","82","poldrack-single-stim","85","186776","0.0-26.0-42.0","s593","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","42","test",""
"353","89","poldrack-single-stim","86","189459","0.0-26.0-43.0","s593","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","43","test",""
"441","82","poldrack-single-stim","87","191464","0.0-26.0-44.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","44","test",""
"448","82","poldrack-single-stim","88","193603","0.0-26.0-45.0","s593","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","45","test",""
"500","89","poldrack-single-stim","89","196558","0.0-26.0-46.0","s593","","2952","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","46","test",""
"474","82","poldrack-single-stim","90","198563","0.0-26.0-47.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","47","test",""
"480","89","poldrack-single-stim","91","200841","0.0-26.0-48.0","s593","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","48","test",""
"358","89","poldrack-single-stim","92","202845","0.0-26.0-49.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","49","test",""
"712","71","poldrack-single-stim","93","204850","0.0-26.0-50.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","50","test",""
"499","71","poldrack-single-stim","94","206853","0.0-26.0-51.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","51","test",""
"545","89","poldrack-single-stim","95","208857","0.0-26.0-52.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","52","test",""
"493","71","poldrack-single-stim","96","210999","0.0-26.0-53.0","s593","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","53","test",""
"449","71","poldrack-single-stim","97","213004","0.0-26.0-54.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","54","test",""
"348","71","poldrack-single-stim","98","215006","0.0-26.0-55.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","55","test",""
"424","89","poldrack-single-stim","99","217145","0.0-26.0-56.0","s593","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","56","test",""
"300","82","poldrack-single-stim","100","219150","0.0-26.0-57.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","57","test",""
"524","82","poldrack-single-stim","101","221156","0.0-26.0-58.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","58","test",""
"458","89","poldrack-single-stim","102","223293","0.0-26.0-59.0","s593","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","59","test",""
"458","89","poldrack-single-stim","103","225433","0.0-26.0-60.0","s593","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","60","test",""
"400","71","poldrack-single-stim","104","227707","0.0-26.0-61.0","s593","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","false","82","","congruent","green","green","61","test",""
"579","82","poldrack-single-stim","105","230393","0.0-26.0-62.0","s593","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","62","test",""
"489","82","poldrack-single-stim","106","232397","0.0-26.0-63.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","63","test",""
"1154","82","poldrack-single-stim","107","234404","0.0-26.0-64.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","64","test",""
"496","89","poldrack-single-stim","108","236681","0.0-26.0-65.0","s593","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","65","test",""
"586","71","poldrack-single-stim","109","238687","0.0-26.0-66.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","66","test",""
"484","82","poldrack-single-stim","110","240692","0.0-26.0-67.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","67","test",""
"554","71","poldrack-single-stim","111","242698","0.0-26.0-68.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","68","test",""
"466","82","poldrack-single-stim","112","244703","0.0-26.0-69.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","69","test",""
"509","82","poldrack-single-stim","113","246708","0.0-26.0-70.0","s593","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","70","test",""
