"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","survey","item_coding","item_text","options","response","coded_response","exp_id"
"3674","13","text","0","3676","0.0-0.0","s519","","","","","","","","","","","","","",""
"2541","66","poldrack-text","1","7220","0.0-1.0","s519","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb finger</p></div>","2541","500","fmri_response_test","","","","","","","","","",""
"794","89","poldrack-text","2","8514","0.0-2.0","s519","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","794","500","fmri_response_test","","","","","","","","","",""
"629","71","poldrack-text","3","9644","0.0-3.0","s519","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","629","500","fmri_response_test","","","","","","","","","",""
"1894","82","poldrack-text","4","12038","0.0-4.0","s519","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","1894","500","fmri_response_test","","","","","","","","","",""
"1858","77","poldrack-text","5","14397","0.0-5.0","s519","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>","1858","500","fmri_response_test","","","","","","","","","",""
"12889","32","poldrack-single-stim","6","27788","0.0-6.0","s519","","12889","0","instructions","<div class = centerbox><div class = center-text>Respond to the questions!</div></div>","32","12889","","","","","","",""
"40856","32","poldrack-text","7","68646","0.0-7.0","s519","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","40856","0","fmri_scanner_wait","","","","","","","","","",""
"4619","84","poldrack-text","8","73265","0.0-8.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","4619","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","9","73945","0.0-9.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","10","74625","0.0-10.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","11","75306","0.0-11.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","12","75985","0.0-12.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","13","76665","0.0-13.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","14","77345","0.0-14.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","15","78025","0.0-15.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","16","78706","0.0-16.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","17","79385","0.0-17.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","18","80065","0.0-18.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","19","80745","0.0-19.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","20","81425","0.0-20.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","21","82106","0.0-21.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","22","82786","0.0-22.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","23","83466","0.0-23.0","s519","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"-1","-1","poldrack-single-stim","24","84468","0.0-24.0","s519","","1000","0","fmri_buffer","","none","1000","","","","","","",""
"8805","82","poldrack-single-stim","25","95781","0.0-25.0-0.0","s519","","11312","0","","<div class = centerbox><p class=item-text>I have difficulty maintaining my focus on projects that take more than a few months to complete.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77","8500","grit","reverse","I have difficulty maintaining my focus on projects that take more than a few months to complete.","<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","4","2",""
