"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","bonus"
"","847","89","4840","0","","poldrack-single-stim","70","344498","0.0-70.0","discount_fixed","339723,340403,341083,341763,342443,343123,343803,344483","<div class = dd-stim><div class = amtbox style = ""color:white"">$23</div><br><br><div class = delbox style = ""color:white"">134 days</div></div>","89,71","4000","","20","23","134","larger_later",""
"","908","89","4500","0","","poldrack-single-stim","71","349000","0.0-71.0","discount_fixed","345163,345843,346523,347203,347882,348562","<div class = dd-stim><div class = amtbox style = ""color:white"">$55</div><br><br><div class = delbox style = ""color:white"">107 days</div></div>","89,71","4000","","20","55","107","larger_later",""
"","360","89","5656","0","","poldrack-single-stim","72","354658","0.0-72.0","discount_fixed","349242,349922,350602,351282,351962,352643,353322,354002","<div class = dd-stim><div class = amtbox style = ""color:white"">$44</div><br><br><div class = delbox style = ""color:white"">143 days</div></div>","89,71","4000","","20","44","143","larger_later",""
"","468","89","4908","0","","poldrack-single-stim","73","359571","0.0-73.0","discount_fixed","354682,355362,356042,356722,357403,358082,358762,359443","<div class = dd-stim><div class = amtbox style = ""color:white"">$23</div><br><br><div class = delbox style = ""color:white"">110 days</div></div>","89,71","4000","","20","23","110","larger_later",""
"","641","89","4636","0","","poldrack-single-stim","74","364209","0.0-74.0","discount_fixed","360122,360802,361482,362163,362842,363523,364202","<div class = dd-stim><div class = amtbox style = ""color:white"">$65</div><br><br><div class = delbox style = ""color:white"">156 days</div></div>","89,71","4000","","20","65","156","larger_later",""
"","411","89","4500","0","","poldrack-single-stim","75","368711","0.0-75.0","discount_fixed","364883,365562,366243,366922,367603,368283","<div class = dd-stim><div class = amtbox style = ""color:white"">$22</div><br><br><div class = delbox style = ""color:white"">27 days</div></div>","89,71","4000","","20","22","27","larger_later",""
"","617","89","4500","0","","poldrack-single-stim","76","373214","0.0-76.0","discount_fixed","368963,369643,370323,371003,371683,372363,373042","<div class = dd-stim><div class = amtbox style = ""color:white"">$50</div><br><br><div class = delbox style = ""color:white"">59 days</div></div>","89,71","4000","","20","50","59","larger_later",""
"","571","89","5112","0","","poldrack-single-stim","77","378329","0.0-77.0","discount_fixed","373722,374402,375082,375762,376442,377122,377802","<div class = dd-stim><div class = amtbox style = ""color:white"">$85</div><br><br><div class = delbox style = ""color:white"">129 days</div></div>","89,71","4000","","20","85","129","larger_later",""
"","407","89","6132","0","","poldrack-single-stim","78","384462","0.0-78.0","discount_fixed","378483,379162,379843,380522,381202,381882,382563,383242,383922","<div class = dd-stim><div class = amtbox style = ""color:white"">$66</div><br><br><div class = delbox style = ""color:white"">58 days</div></div>","89,71","4000","","20","66","58","larger_later",""
"","387","89","4840","0","","poldrack-single-stim","79","389305","0.0-79.0","discount_fixed","384602,385282,385962,386642,387322,388003,388682","<div class = dd-stim><div class = amtbox style = ""color:white"">$49</div><br><br><div class = delbox style = ""color:white"">172 days</div></div>","89,71","4000","","20","49","172","larger_later",""
"","492","89","4568","0","","poldrack-single-stim","80","393876","0.0-80.0","discount_fixed","389362,390042,390722,391402,392083,392762,393442","<div class = dd-stim><div class = amtbox style = ""color:white"">$73</div><br><br><div class = delbox style = ""color:white"">44 days</div></div>","89,71","4000","","20","73","44","larger_later",""
"","695","89","4704","0","","poldrack-single-stim","81","398585","0.0-81.0","discount_fixed","394123,394802,395483,396163,396843,397523,398204","<div class = dd-stim><div class = amtbox style = ""color:white"">$58</div><br><br><div class = delbox style = ""color:white"">73 days</div></div>","89,71","4000","","20","58","73","larger_later",""
"","419","89","5860","0","","poldrack-single-stim","82","404447","0.0-82.0","discount_fixed","398883,399563,400242,400922,401602,402282,402962,403642,404322","<div class = dd-stim><div class = amtbox style = ""color:white"">$71</div><br><br><div class = delbox style = ""color:white"">76 days</div></div>","89,71","4000","","20","71","76","larger_later",""
"","1191","89","4636","0","","poldrack-single-stim","83","409084","0.0-83.0","discount_fixed","405002,405682,406362,407042,407722,408404,409082","<div class = dd-stim><div class = amtbox style = ""color:white"">$67</div><br><br><div class = delbox style = ""color:white"">74 days</div></div>","89,71","4000","","20","67","74","larger_later",""
"","-1","-1","7500","1000","rest_block","poldrack-single-stim","84","416586","0.0-84.0","discount_fixed","409762,410443,411122,411803,412482,413163,413842,414523,415202,415883,416562","<div class = centerbox><div class = center-text>In this next block of trials<br><strong>Index:</strong> Accept option on screen (reject $20 today). <br><strong>Middle:</strong> Reject option on screen (accept $20 today)<br>Next run will start in a moment</div></div>","none","7500","","","","","",""
"","3098","89","5316","0","","poldrack-single-stim","85","422906","0.0-85.0","discount_fixed","417243,417922,418604,419283,419963,420643,421323,422003,422683","<div class = dd-stim><div class = amtbox style = ""color:white"">$29</div><br><br><div class = delbox style = ""color:white"">58 days</div></div>","89,71","4000","","20","29","58","larger_later",""
"","2028","89","4976","0","","poldrack-single-stim","86","427888","0.0-86.0","discount_fixed","423363,424043,424723,425402,426082,426762,427442","<div class = dd-stim><div class = amtbox style = ""color:white"">$39</div><br><br><div class = delbox style = ""color:white"">104 days</div></div>","89,71","4000","","20","39","104","larger_later",""
"","1978","89","4568","0","","poldrack-single-stim","87","432459","0.0-87.0","discount_fixed","428122,428803,429482,430162,430842,431522,432203","<div class = dd-stim><div class = amtbox style = ""color:white"">$33</div><br><br><div class = delbox style = ""color:white"">103 days</div></div>","89,71","4000","","20","33","103","larger_later",""
"","475","89","5520","0","","poldrack-single-stim","88","437983","0.0-88.0","discount_fixed","432882,433562,434242,434922,435602,436283,436962,437642","<div class = dd-stim><div class = amtbox style = ""color:white"">$33</div><br><br><div class = delbox style = ""color:white"">78 days</div></div>","89,71","4000","","20","33","78","larger_later",""
"","425","89","5588","0","","poldrack-single-stim","89","443574","0.0-89.0","discount_fixed","438322,439004,439682,440362,441042,441722,442402,443082","<div class = dd-stim><div class = amtbox style = ""color:white"">$74</div><br><br><div class = delbox style = ""color:white"">52 days</div></div>","89,71","4000","","20","74","52","larger_later",""
"","310","89","5792","0","","poldrack-single-stim","90","449371","0.0-90.0","discount_fixed","443762,444443,445122,445803,446482,447162,447842,448523,449203","<div class = dd-stim><div class = amtbox style = ""color:white"">$28</div><br><br><div class = delbox style = ""color:white"">132 days</div></div>","89,71","4000","","20","28","132","larger_later",""
"","405","89","4568","0","","poldrack-single-stim","91","453945","0.0-91.0","discount_fixed","449883,450563,451243,451922,452602,453282","<div class = dd-stim><div class = amtbox style = ""color:white"">$28</div><br><br><div class = delbox style = ""color:white"">59 days</div></div>","89,71","4000","","20","28","59","larger_later",""
"","452","89","5112","0","","poldrack-single-stim","92","459062","0.0-92.0","discount_fixed","453962,454642,455322,456002,456682,457362,458043,458722","<div class = dd-stim><div class = amtbox style = ""color:white"">$28</div><br><br><div class = delbox style = ""color:white"">163 days</div></div>","89,71","4000","","20","28","163","larger_later",""
"","927","89","4500","0","","poldrack-single-stim","93","463564","0.0-93.0","discount_fixed","459403,460082,460763,461442,462122,462802,463482","<div class = dd-stim><div class = amtbox style = ""color:white"">$32</div><br><br><div class = delbox style = ""color:white"">74 days</div></div>","89,71","4000","","20","32","74","larger_later",""
"","588","89","4840","0","","poldrack-single-stim","94","468407","0.0-94.0","discount_fixed","464162,464842,465522,466202,466882,467562,468242","<div class = dd-stim><div class = amtbox style = ""color:white"">$57</div><br><br><div class = delbox style = ""color:white"">89 days</div></div>","89,71","4000","","20","57","89","larger_later",""
"","461","89","4568","0","","poldrack-single-stim","95","472978","0.0-95.0","discount_fixed","468923,469603,470282,470962,471642,472322","<div class = dd-stim><div class = amtbox style = ""color:white"">$70</div><br><br><div class = delbox style = ""color:white"">108 days</div></div>","89,71","4000","","20","70","108","larger_later",""
"","347","89","5384","0","","poldrack-single-stim","96","478364","0.0-96.0","discount_fixed","473003,473682,474363,475043,475722,476403,477081,477762","<div class = dd-stim><div class = amtbox style = ""color:white"">$72</div><br><br><div class = delbox style = ""color:white"">95 days</div></div>","89,71","4000","","20","72","95","larger_later",""
"","517","89","5044","0","","poldrack-single-stim","97","483410","0.0-97.0","discount_fixed","478442,479122,479802,480482,481162,481842,482522,483202","<div class = dd-stim><div class = amtbox style = ""color:white"">$30</div><br><br><div class = delbox style = ""color:white"">36 days</div></div>","89,71","4000","","20","30","36","larger_later",""
"","621","89","4704","0","","poldrack-single-stim","98","488119","0.0-98.0","discount_fixed","483882,484562,485242,485922,486602,487282,487962","<div class = dd-stim><div class = amtbox style = ""color:white"">$41</div><br><br><div class = delbox style = ""color:white"">129 days</div></div>","89,71","4000","","20","41","129","larger_later",""
"","449","89","4908","0","","poldrack-single-stim","99","493032","0.0-99.0","discount_fixed","488643,489322,490003,490682,491363,492042,492723","<div class = dd-stim><div class = amtbox style = ""color:white"">$78</div><br><br><div class = delbox style = ""color:white"">129 days</div></div>","89,71","4000","","20","78","129","larger_later",""
"","401","89","4908","0","","poldrack-single-stim","100","497944","0.0-100.0","discount_fixed","493402,494083,494762,495443,496122,496803,497482","<div class = dd-stim><div class = amtbox style = ""color:white"">$71</div><br><br><div class = delbox style = ""color:white"">88 days</div></div>","89,71","4000","","20","71","88","larger_later",""
"","539","89","4840","0","","poldrack-single-stim","101","502786","0.0-101.0","discount_fixed","498163,498842,499523,500203,500883,501563,502243","<div class = dd-stim><div class = amtbox style = ""color:white"">$65</div><br><br><div class = delbox style = ""color:white"">159 days</div></div>","89,71","4000","","20","65","159","larger_later",""
"","450","89","5112","0","","poldrack-single-stim","102","507902","0.0-102.0","discount_fixed","502923,503602,504282,504962,505642,506322,507002,507682","<div class = dd-stim><div class = amtbox style = ""color:white"">$24</div><br><br><div class = delbox style = ""color:white"">125 days</div></div>","89,71","4000","","20","24","125","larger_later",""
"","1458","89","5112","0","","poldrack-single-stim","103","513016","0.0-103.0","discount_fixed","508362,509042,509722,510404,511082,511762,512442","<div class = dd-stim><div class = amtbox style = ""color:white"">$58</div><br><br><div class = delbox style = ""color:white"">36 days</div></div>","89,71","4000","","20","58","36","larger_later",""
"","1057","89","4704","0","","poldrack-single-stim","104","517726","0.0-104.0","discount_fixed","513122,513802,514482,515162,515842,516522,517202","<div class = dd-stim><div class = amtbox style = ""color:white"">$63</div><br><br><div class = delbox style = ""color:white"">37 days</div></div>","89,71","4000","","20","63","37","larger_later",""
