"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage"
"","637","82","2000","0","stim","poldrack-single-stim","78","182088","0.0-25.0-36.0","stroop","180303,180983,181664","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","36","test"
"","474","82","2680","0","stim","poldrack-single-stim","79","184774","0.0-25.0-37.0","stroop","182343,183022,183703,184382","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","37","test"
"","635","82","2000","0","stim","poldrack-single-stim","80","186776","0.0-25.0-38.0","stroop","185063,185742,186422","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","38","test"
"","527","89","2272","0","stim","poldrack-single-stim","81","189053","0.0-25.0-39.0","stroop","187102,187782,188462","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","39","test"
"","528","71","2000","0","stim","poldrack-single-stim","82","191059","0.0-25.0-40.0","stroop","189142,189822,190502","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","40","test"
"","438","82","2000","0","stim","poldrack-single-stim","83","193064","0.0-25.0-41.0","stroop","191182,191863,192542","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","41","test"
"","764","82","2272","0","stim","poldrack-single-stim","84","195342","0.0-25.0-42.0","stroop","193223,193902,194585,195262","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","42","test"
"","518","89","2136","0","stim","poldrack-single-stim","85","197480","0.0-25.0-43.0","stroop","195943,196622,197303","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","43","test"
"","441","89","2544","0","stim","poldrack-single-stim","86","200026","0.0-25.0-44.0","stroop","197983,198663,199343,200022","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","44","test"
"","473","89","2408","0","stim","poldrack-single-stim","87","202435","0.0-25.0-45.0","stroop","200703,201382,202064","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","45","test"
