"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","current_position","num_moves_made","min_moves","start_state","goal_state","condition","problem_id","exp_stage","problem_time","correct","exp_id"
"1809","13","text","0","1811","0.0-0.0","s616","","","","","","","","","","","","","","","","","",""
"32457","89","poldrack-text","1","35273","0.0-1.0","s616","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","32457","500","fmri_response_test","","","","","","","","","","","","","",""
"1000","71","poldrack-text","2","36775","0.0-2.0","s616","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","1000","500","fmri_response_test","","","","","","","","","","","","","",""
"995","82","poldrack-text","3","38274","0.0-3.0","s616","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","995","500","fmri_response_test","","","","","","","","","","","","","",""
"22888","32","poldrack-single-stim","4","61666","0.0-4.0","s616","","22888","0","instructions","<div class = centerbox><div class = center-text>Solve the Tower Tasks!<br><br>Plan ahead first and work swiftly!<br><br>We'll start with some practice.</div></div>","32","22888","","","","","","","","","","",""
"30211","32","poldrack-text","5","91879","0.0-5.0","s616","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","30211","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"1281","84","poldrack-text","6","93160","0.0-6.0","s616","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1281","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","7","93839","0.0-7.0","s616","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","8","94519","0.0-8.0","s616","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","9","95199","0.0-9.0","s616","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","10","95879","0.0-10.0","s616","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","11","96559","0.0-11.0","s616","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","12","97239","0.0-12.0","s616","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
