rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,survey,item_responses,item_coding,item_text,options,response,coded_response,exp_id
2639,13,text,0,2641,0.0-0.0,s616,,,,,,,,,,,,,,,
3165,66,poldrack-text,1,6810,0.0-1.0,s616,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb</p></div>,3165.0,500.0,fmri_response_test,,,,,,,,,,,
946,89,poldrack-text,2,8259,0.0-2.0,s616,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,946.0,500.0,fmri_response_test,,,,,,,,,,,
755,71,poldrack-text,3,9518,0.0-3.0,s616,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,755.0,500.0,fmri_response_test,,,,,,,,,,,
859,82,poldrack-text,4,10882,0.0-4.0,s616,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>,859.0,500.0,fmri_response_test,,,,,,,,,,,
791,77,poldrack-text,5,12180,0.0-5.0,s616,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>,791.0,500.0,fmri_response_test,,,,,,,,,,,
37094,32,poldrack-single-stim,6,49780,0.0-6.0,s616,,37094.0,0.0,instructions,<div class = centerbox><div class = center-text>Respond to the questions!</div></div>,32,37094.0,,,,,,,,
21977,32,poldrack-text,7,71758,0.0-7.0,s616,<div class = centerbox><div  class = center-text>Scanner Setup</div></div>,21977.0,0.0,fmri_scanner_wait,,,,,,,,,,,
1372,84,poldrack-text,8,73130,0.0-8.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,1372.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,9,73810,0.0-9.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,10,74490,0.0-10.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,11,75170,0.0-11.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,12,75849,0.0-12.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,13,76529,0.0-13.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,14,77209,0.0-14.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
682,84,poldrack-text,15,77892,0.0-15.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,682.0,0.0,fmri_trigger_wait,,,,,,,,,,,
676,84,poldrack-text,16,78569,0.0-16.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,676.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,17,79249,0.0-17.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,18,79930,0.0-18.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,19,80610,0.0-19.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,20,81289,0.0-20.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,21,81969,0.0-21.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,22,82649,0.0-22.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
681,84,poldrack-text,23,83330,0.0-23.0,s616,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,681.0,0.0,fmri_trigger_wait,,,,,,,,,,,
-1,-1,poldrack-single-stim,24,84336,0.0-24.0,s616,,1000.0,0.0,fmri_buffer,,none,1000.0,,,,,,,,
8902,89,poldrack-single-stim,25,95655,0.0-25.0-0.0,s616,,11312.0,0.0,,"<div class = centerbox><p class=item-text>I have difficulty maintaining my focus on projects that take more than a few months to complete.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77",8500.0,grit,"66,89,71,82,77",reverse,I have difficulty maintaining my focus on projects that take more than a few months to complete.,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>",2.0,4.0,
3838,89,poldrack-single-stim,26,105271,0.0-25.0-1.0,s616,,9612.0,0.0,,"<div class = centerbox><p class=item-text>New ideas and projects sometimes distract me from previous ones.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77",8500.0,grit,"66,89,71,82,77",reverse,New ideas and projects sometimes distract me from previous ones.,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>",2.0,4.0,
