"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"1956","13","text","0","1959","0.0-0.0","s570","","","","","","","","","","","","","",""
"1883","89","poldrack-text","1","4847","0.0-1.0","s570","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1883","500","fmri_response_test","","","","","","","","","",""
"903","71","poldrack-text","2","6256","0.0-2.0","s570","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","903","500","fmri_response_test","","","","","","","","","",""
"26350","32","poldrack-single-stim","3","33113","0.0-3.0","s570","","26350","500","instructions","<div class = centerbox><div class = center-text>Choose between <strong>$20 today</strong> or the presented option.<br><br><strong>Index:</strong> Accept option on screen (reject $20 today). <br><br><strong>Middle:</strong> Reject option on screen (accept $20 today)<br><br>We will start with a practice trial.</div></div>","32","26350","","","","","","",""
"2000","89","poldrack-single-stim","4","35616","0.0-4.0","s570","","2000","1000","stim","<div class = dd-stim><div class = amtbox style = ""color:white"">$53.75</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","2000","practice","","","","","",""
"31708","32","poldrack-text","5","68326","0.0-5.0","s570","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","31708","0","fmri_scanner_wait","","","","","","","","","",""
"3620","84","poldrack-text","6","71947","0.0-6.0","s570","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","3620","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","7","72627","0.0-7.0","s570","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","8","73307","0.0-8.0","s570","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","9","73987","0.0-9.0","s570","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","10","74667","0.0-10.0","s570","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","11","75347","0.0-11.0","s570","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","12","76027","0.0-12.0","s570","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","13","76707","0.0-13.0","s570","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","14","77387","0.0-14.0","s570","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
