,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,900.0,2000.0,True,71.0,Color,stay,practice,twobytwo,500.0,71.0,"89,71",479.0,#1F45FC,1000.0,6.0,color,stay,,-106345,stim,0.0,poldrack-categorize,s553
13,100.0,2000.0,False,89.0,Orange-Blue,switch,practice,twobytwo,500.0,-1.0,"89,71",-1.0,orange,1000.0,1.0,color,stay,,-102721,stim,1.0,poldrack-categorize,s553
18,900.0,2000.0,True,89.0,Color,switch,practice,twobytwo,500.0,89.0,"89,71",566.0,orange,1000.0,7.0,color,stay,,-98305,stim,2.0,poldrack-categorize,s553
23,100.0,2000.0,True,89.0,High-Low,,practice,twobytwo,500.0,89.0,"89,71",889.0,orange,1000.0,1.0,magnitude,switch,,-94684,stim,3.0,poldrack-categorize,s553
28,900.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",669.0,#1F45FC,1000.0,2.0,color,switch,,-90262,stim,4.0,poldrack-categorize,s553
33,900.0,2000.0,True,89.0,Color,switch,practice,twobytwo,500.0,89.0,"89,71",470.0,orange,1000.0,6.0,color,stay,,-85846,stim,5.0,poldrack-categorize,s553
38,900.0,2000.0,True,71.0,Color,stay,practice,twobytwo,500.0,71.0,"89,71",533.0,#1F45FC,1000.0,9.0,color,stay,,-81430,stim,6.0,poldrack-categorize,s553
43,900.0,2000.0,True,71.0,High-Low,,practice,twobytwo,500.0,71.0,"89,71",524.0,#1F45FC,1000.0,9.0,magnitude,switch,,-77008,stim,7.0,poldrack-categorize,s553
48,900.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",694.0,orange,1000.0,3.0,color,switch,,-72583,stim,8.0,poldrack-categorize,s553
53,100.0,2000.0,True,71.0,Orange-Blue,stay,practice,twobytwo,500.0,71.0,"89,71",887.0,#1F45FC,1000.0,6.0,color,stay,,-68966,stim,9.0,poldrack-categorize,s553
58,100.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",932.0,#1F45FC,1000.0,3.0,magnitude,switch,,-65349,stim,10.0,poldrack-categorize,s553
63,100.0,2000.0,False,71.0,Magnitude,stay,practice,twobytwo,500.0,89.0,"89,71",1110.0,orange,1000.0,8.0,magnitude,stay,,-61733,stim,11.0,poldrack-categorize,s553
68,900.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",1138.0,#1F45FC,1000.0,8.0,color,switch,,-57317,stim,12.0,poldrack-categorize,s553
73,100.0,2000.0,True,89.0,High-Low,,practice,twobytwo,500.0,89.0,"89,71",994.0,#1F45FC,1000.0,3.0,magnitude,switch,,-53701,stim,13.0,poldrack-categorize,s553
78,100.0,2000.0,False,71.0,Magnitude,switch,practice,twobytwo,500.0,89.0,"89,71",1141.0,#1F45FC,1000.0,7.0,magnitude,stay,,-50085,stim,14.0,poldrack-categorize,s553
83,100.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",1467.0,orange,1000.0,6.0,color,switch,,-46469,stim,15.0,poldrack-categorize,s553
107,100.0,2136.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",892.0,#1F45FC,1000.0,6.0,color,stay,,5762,stim,0.0,poldrack-single-stim,s553
110,900.0,2272.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",811.0,orange,1000.0,1.0,magnitude,switch,,8946,stim,1.0,poldrack-single-stim,s553
113,900.0,2136.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",570.0,orange,1000.0,7.0,color,switch,,11992,stim,2.0,poldrack-single-stim,s553
116,900.0,2272.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",651.0,orange,1000.0,1.0,color,stay,,15176,stim,3.0,poldrack-single-stim,s553
119,900.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",582.0,#1F45FC,1000.0,2.0,magnitude,switch,,18084,stim,4.0,poldrack-single-stim,s553
122,900.0,2816.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",1202.0,orange,1000.0,6.0,magnitude,stay,,21811,stim,5.0,poldrack-single-stim,s553
125,100.0,2408.0,False,71.0,High-Low,switch,test,twobytwo,,-1.0,"89,71",-1.0,#1F45FC,1000.0,9.0,magnitude,stay,,24328,stim,6.0,poldrack-single-stim,s553
