,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,900.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",663.0,#1F45FC,1000.0,4.0,color,switch,,-161742,stim,0.0,poldrack-categorize,s579
13,100.0,2000.0,True,89.0,High-Low,,practice,twobytwo,500.0,89.0,"89,71",929.0,#1F45FC,1000.0,8.0,magnitude,switch,,-158127,stim,1.0,poldrack-categorize,s579
18,100.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",1086.0,orange,1000.0,2.0,color,switch,,-154510,stim,2.0,poldrack-categorize,s579
23,900.0,2000.0,True,89.0,Orange-Blue,switch,practice,twobytwo,500.0,89.0,"89,71",528.0,#1F45FC,1000.0,3.0,color,stay,,-150094,stim,3.0,poldrack-categorize,s579
28,900.0,2000.0,False,71.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",453.0,orange,1000.0,3.0,magnitude,switch,,-145675,stim,4.0,poldrack-categorize,s579
33,100.0,2000.0,True,71.0,High-Low,switch,practice,twobytwo,500.0,71.0,"89,71",1477.0,#1F45FC,1000.0,3.0,magnitude,stay,,-142063,stim,5.0,poldrack-categorize,s579
38,900.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",1144.0,#1F45FC,1000.0,7.0,color,switch,,-137640,stim,6.0,poldrack-categorize,s579
43,100.0,2000.0,True,71.0,Orange-Blue,stay,practice,twobytwo,500.0,71.0,"89,71",1508.0,orange,1000.0,1.0,color,stay,,-134024,stim,7.0,poldrack-categorize,s579
48,900.0,2000.0,True,89.0,Orange-Blue,stay,practice,twobytwo,500.0,89.0,"89,71",843.0,#1F45FC,1000.0,9.0,color,stay,,-129608,stim,8.0,poldrack-categorize,s579
53,100.0,2000.0,False,71.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",630.0,#1F45FC,1000.0,4.0,magnitude,switch,,-125992,stim,9.0,poldrack-categorize,s579
58,900.0,2000.0,False,71.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",706.0,orange,1000.0,7.0,color,switch,,-121576,stim,10.0,poldrack-categorize,s579
63,100.0,2000.0,True,71.0,Orange-Blue,stay,practice,twobytwo,500.0,71.0,"89,71",859.0,orange,1000.0,2.0,color,stay,,-117959,stim,11.0,poldrack-categorize,s579
68,100.0,2000.0,False,89.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",845.0,orange,1000.0,7.0,magnitude,switch,,-114343,stim,12.0,poldrack-categorize,s579
73,900.0,2000.0,True,89.0,Magnitude,stay,practice,twobytwo,500.0,89.0,"89,71",541.0,orange,1000.0,8.0,magnitude,stay,,-109922,stim,13.0,poldrack-categorize,s579
78,900.0,2000.0,True,71.0,High-Low,switch,practice,twobytwo,500.0,71.0,"89,71",743.0,orange,1000.0,2.0,magnitude,stay,,-105506,stim,14.0,poldrack-categorize,s579
