,SS_delay,SS_duration,SS_stimulus,SS_trial_type,correct,correct_response,exp_stage,experiment_exp_id,key_press,passed_check,possible_responses,rt,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
49,500.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",1391,False,,32595,stim,11.0,stop-signal,499
50,500.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",1199,False,,35257,stim,12.0,stop-signal,499
51,500.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",755,False,,37510,stim,13.0,stop-signal,499
52,500.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",782,False,,40035,stim,14.0,stop-signal,499
53,500.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",701,False,,42289,stim,15.0,stop-signal,499
54,500.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,1.0,89.0,test,stop_signal,89.0,True,"89,71",656,False,,44814,stim,16.0,stop-signal,499
55,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",1214,False,,47341,stim,17.0,stop-signal,499
56,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,1.0,89.0,test,stop_signal,89.0,True,"89,71",711,False,,49866,stim,18.0,stop-signal,499
57,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,1.0,89.0,test,stop_signal,89.0,True,"89,71",759,False,,52255,stim,19.0,stop-signal,499
58,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,0.0,71.0,test,stop_signal,-1.0,True,"89,71",-1,True,,54781,stim,20.0,stop-signal,499
59,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",1009,False,,57306,stim,21.0,stop-signal,499
60,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",1083,False,,59695,stim,22.0,stop-signal,499
61,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",930,False,,61947,stim,23.0,stop-signal,499
